"municipality","Municipality_code","date","population","cases_d0","cases_d7","cases_d14","rel_cases_7d","rel_cases_14d","rel_cases_total","color","hosp_d0","hosp_d7","hosp_d14","rel_hosp_7d","rel_hosp_14d","rel_hosp_total","deaths_d0","deaths_d7","deaths_d14","rel_deaths_7d","rel_deaths_14d","rel_deaths_total","perc_cases","perc_hosp","perc_deaths","perc_deaths_per_case"
"Netherlands","",2021-02-04,17443797,993430,966252,932884,155.8,347.1,5695,"⚡",41979,40893,39576,6.2,13.8,240.7,14234,13816,13337,2.4,5.1,81.6,5.7,0.2,0.1,1.4
"Unknown","",2021-02-04,NA,3633,3659,3637,NA,NA,NA,NA,1174,1151,1113,NA,NA,NA,34,31,31,NA,NA,NA,NA,NA,NA,0.9
"Groningen","GM0014",2021-02-04,233456,7881,7696,7444,79.2,187.2,3375.8,"⚡",163,157,143,2.6,8.6,69.8,25,24,23,0.4,0.9,10.7,3.4,0.1,0,0.3
"Almere","GM0034",2021-02-04,214551,13300,12920,12516,177.1,365.4,6199,"🟣",157,155,148,0.9,4.2,73.2,68,68,64,0,1.9,31.7,6.2,0.1,0,0.5
"Stadskanaal","GM0037",2021-02-04,31702,1533,1490,1448,135.6,268.1,4835.7,"⚡",45,45,42,0,9.5,141.9,9,9,9,0,0,28.4,4.8,0.1,0,0.6
"Veendam","GM0047",2021-02-04,27416,1078,1030,965,175.1,412.2,3932,"⚡",38,34,30,14.6,29.2,138.6,7,7,7,0,0,25.5,3.9,0.1,0,0.6
"Zeewolde","GM0050",2021-02-04,22836,1101,1058,1028,188.3,319.7,4821.3,"⚡",44,43,42,4.4,8.8,192.7,12,12,12,0,0,52.5,4.8,0.2,0.1,1.1
"Achtkarspelen","GM0059",2021-02-04,27881,1278,1172,1021,380.2,921.8,4583.8,"⚡",41,35,28,21.5,46.6,147.1,17,9,6,28.7,39.5,61,4.6,0.1,0.1,1.3
"Ameland","GM0060",2021-02-04,3747,135,133,133,53.4,53.4,3602.9,"✅",3,3,3,0,0,80.1,0,0,0,0,0,0,3.6,0.1,0,0
"Harlingen","GM0072",2021-02-04,15835,314,304,281,63.2,208.4,1982.9,"✅",10,10,10,0,0,63.2,2,2,2,0,0,12.6,2,0.1,0,0.6
"Heerenveen","GM0074",2021-02-04,50626,1432,1375,1280,112.6,300.2,2828.6,"⚡",58,54,51,7.9,13.8,114.6,26,25,25,2,2,51.4,2.8,0.1,0.1,1.8
"Leeuwarden","GM0080",2021-02-04,124517,3866,3712,3534,123.7,266.6,3104.8,"⚡",129,120,113,7.2,12.8,103.6,39,33,30,4.8,7.2,31.3,3.1,0.1,0,1
"Ooststellingwerf","GM0085",2021-02-04,25437,697,667,622,117.9,294.8,2740.1,"⚡",28,25,23,11.8,19.7,110.1,5,5,3,0,7.9,19.7,2.7,0.1,0,0.7
"Opsterland","GM0086",2021-02-04,29812,886,834,753,174.4,446.1,2972,"⚡",39,36,34,10.1,16.8,130.8,4,3,3,3.4,3.4,13.4,3,0.1,0,0.5
"Schiermonnikoog","GM0088",2021-02-04,936,10,10,9,0,106.8,1068.4,"✅",1,1,1,0,0,106.8,0,0,0,0,0,0,1.1,0.1,0,0
"Smallingerland","GM0090",2021-02-04,56060,1708,1610,1499,174.8,372.8,3046.7,"⚡",72,68,59,7.1,23.2,128.4,23,21,16,3.6,12.5,41,3,0.1,0,1.3
"Terschelling","GM0093",2021-02-04,4883,158,157,156,20.5,41,3235.7,"✅",2,2,2,0,0,41,1,1,1,0,0,20.5,3.2,0,0,0.6
"Vlieland","GM0096",2021-02-04,1200,36,32,27,333.3,750,3000,"✅",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"Weststellingwerf","GM0098",2021-02-04,26112,818,764,713,206.8,402.1,3132.7,"⚡",22,18,17,15.3,19.1,84.3,13,13,12,0,3.8,49.8,3.1,0.1,0,1.6
"Assen","GM0106",2021-02-04,68812,1951,1884,1808,97.4,207.8,2835.3,"⚡",76,72,67,5.8,13.1,110.4,11,11,11,0,0,16,2.8,0.1,0,0.6
"Coevorden","GM0109",2021-02-04,35309,1713,1618,1504,269.1,591.9,4851.5,"⚡",81,76,71,14.2,28.3,229.4,20,20,19,0,2.8,56.6,4.9,0.2,0.1,1.2
"Emmen","GM0114",2021-02-04,106984,4772,4569,4434,189.7,315.9,4460.5,"⚡",191,185,175,5.6,15,178.5,50,48,47,1.9,2.8,46.7,4.5,0.2,0,1
"Hoogeveen","GM0118",2021-02-04,55604,2942,2790,2694,273.4,446,5291,"⚡",109,107,103,3.6,10.8,196,35,33,31,3.6,7.2,62.9,5.3,0.2,0.1,1.2
"Meppel","GM0119",2021-02-04,34324,1371,1340,1267,90.3,303,3994.3,"⚡",32,30,28,5.8,11.7,93.2,23,22,21,2.9,5.8,67,4,0.1,0.1,1.7
"Almelo","GM0141",2021-02-04,73180,5097,4957,4811,191.3,390.8,6965,"⚡",258,254,246,5.5,16.4,352.6,48,47,45,1.4,4.1,65.6,7,0.4,0.1,0.9
"Borne","GM0147",2021-02-04,23637,1680,1637,1572,181.9,456.9,7107.5,"⚡",64,60,58,16.9,25.4,270.8,33,30,25,12.7,33.8,139.6,7.1,0.3,0.1,2
"Dalfsen","GM0148",2021-02-04,28919,1440,1420,1353,69.2,300.8,4979.4,"⚡",31,31,28,0,10.4,107.2,18,17,17,3.5,3.5,62.2,5,0.1,0.1,1.2
"Deventer","GM0150",2021-02-04,101100,5156,5070,4955,85.1,198.8,5099.9,"⚡",211,205,199,5.9,11.9,208.7,78,77,74,1,4,77.2,5.1,0.2,0.1,1.5
"Enschede","GM0153",2021-02-04,159872,9344,9129,8821,134.5,327.1,5844.7,"⚡",389,377,370,7.5,11.9,243.3,149,143,137,3.8,7.5,93.2,5.8,0.2,0.1,1.6
"Haaksbergen","GM0158",2021-02-04,24237,2062,2022,1948,165,470.4,8507.7,"⚡",80,76,73,16.5,28.9,330.1,30,30,30,0,0,123.8,8.5,0.3,0.1,1.5
"Hardenberg","GM0160",2021-02-04,61327,3681,3552,3383,210.3,485.9,6002.3,"⚡",103,101,97,3.3,9.8,168,36,34,34,3.3,3.3,58.7,6,0.2,0.1,1
"Hellendoorn","GM0163",2021-02-04,35903,2742,2620,2498,339.8,679.6,7637.2,"⚡",85,80,74,13.9,30.6,236.7,44,39,38,13.9,16.7,122.6,7.6,0.2,0.1,1.6
"Hengelo","GM0164",2021-02-04,81099,5192,5065,4896,156.6,365,6402.1,"⚡",203,195,187,9.9,19.7,250.3,63,58,56,6.2,8.6,77.7,6.4,0.3,0.1,1.2
"Kampen","GM0166",2021-02-04,54438,2187,2147,2074,73.5,207.6,4017.4,"⚡",54,51,51,5.5,5.5,99.2,41,41,41,0,0,75.3,4,0.1,0.1,1.9
"Losser","GM0168",2021-02-04,22867,1942,1885,1786,249.3,682.2,8492.6,"⚡",79,78,76,4.4,13.1,345.5,29,27,26,8.7,13.1,126.8,8.5,0.3,0.1,1.5
"Noordoostpolder","GM0171",2021-02-04,47597,2299,2242,2182,119.8,245.8,4830.1,"🟣",56,55,54,2.1,4.2,117.7,26,25,23,2.1,6.3,54.6,4.8,0.1,0.1,1.1
"Oldenzaal","GM0173",2021-02-04,31734,2286,2243,2155,135.5,412.8,7203.6,"⚡",98,96,93,6.3,15.8,308.8,40,40,39,0,3.2,126,7.2,0.3,0.1,1.7
"Ommen","GM0175",2021-02-04,18272,884,849,809,191.5,410.5,4838,"⚡",37,37,34,0,16.4,202.5,15,14,13,5.5,10.9,82.1,4.8,0.2,0.1,1.7
"Raalte","GM0177",2021-02-04,37920,2373,2307,2198,174.1,461.5,6257.9,"⚡",66,64,58,5.3,21.1,174.1,33,30,29,7.9,10.5,87,6.3,0.2,0.1,1.4
"Staphorst","GM0180",2021-02-04,17276,1537,1484,1419,306.8,683,8896.7,"⚡",33,33,31,0,11.6,191,17,16,14,5.8,17.4,98.4,8.9,0.2,0.1,1.1
"Tubbergen","GM0183",2021-02-04,21322,1974,1952,1883,103.2,426.8,9258,"⚡",56,56,54,0,9.4,262.6,16,15,15,4.7,4.7,75,9.3,0.3,0.1,0.8
