"current","color_incl_new","municipality","increase_1d","increase_7d","growth"
82,"&#x1F7E3;","Hollands Kroon",0,1,"-"
67,"&#x26a1;","Hoogeveen",0,2,"&#x279A;"
190,"&#x26a1;","Hoorn",0,0,"&#x2798;"
13,"&#x26a1;","Horst aan de Maas",0,1,"&#x2798;"
38,"&#x26a1;","Houten",0,3,"&#x2798;"
56,"&#x26a1;","Huizen",1,1,"&#x2798;"
36,"&#x26a1;","Hulst",0,2,"&#x2798;"
48,"&#x26a1;","IJsselstein",1,2,"&#x2798;"
29,"&#x26a1;","Kaag en Braassem",0,1,"-"
31,"&#128721;","Kampen",0,0,"&#x2798;"
9,"&#128165;","Kapelle",1,1,"&#x279A;"
129,"&#x26a1;","Katwijk",1,4,"&#x2798;"
54,"&#x26a1;","Kerkrade",1,7,"&#x279A;"
49,"&#x26a1;","Koggenland",0,1,"&#x2798;"
68,"&#x26a1;","Krimpen aan den IJssel",2,3,"&#x2798;"
118,"&#x26a1;","Krimpenerwaard",2,9,"&#x279A;"
43,"&#x26a1;","Laarbeek",1,3,"&#x279A;"
25,"&#x26a1;","Landerd",0,1,"&#x2798;"
40,"&#x26a1;","Landgraaf",0,1,"&#x2798;"
20,"&#x26a1;","Landsmeer",0,0,"&#x2798;"
40,"&#x26a1;","Langedijk",0,0,"&#x2798;"
60,"&#x26a1;","Lansingerland",1,4,"-"
7,"&#9989;","Laren",0,0,"-"
157,"&#x26a1;","Leeuwarden",1,1,"&#x2798;"
102,"&#x26a1;","Leiden",1,6,"&#x2798;"
23,"&#x26a1;","Leiderdorp",0,0,"&#x2798;"
97,"&#x26a1;","Leidschendam-Voorburg",0,4,"&#x2798;"
92,"&#x26a1;","Lelystad",1,3,"&#x2798;"
53,"&#x26a1;","Leudal",1,3,"-"
26,"&#x1F7E3;","Leusden",0,0,"&#x2798;"
64,"&#x26a1;","Lingewaard",0,2,"-"
24,"&#x26a1;","Lisse",0,1,"-"
28,"&#x26a1;","Lochem",1,1,"&#x2798;"
54,"&#x26a1;","Loon op Zand",3,6,"-"
20,"&#x26a1;","Lopik",0,1,"&#x279A;"
31,"&#x1F7E3;","Losser",0,0,"&#x2798;"
69,"&#x26a1;","Maasdriel",0,2,"&#x2798;"
44,"&#128165;","Maasgouw",1,1,"&#x2798;"
49,"&#x26a1;","Maassluis",1,5,"-"
164,"&#x26a1;","Maastricht",1,6,"&#x2798;"
103,"&#x1F7E3;","Medemblik",0,1,"&#x279A;"
33,"&#x26a1;","Meerssen",1,6,"&#x279A;"
135,"&#x26a1;","Meierijstad",1,7,"&#x279A;"
41,"&#x26a1;","Meppel",0,2,"&#x2798;"
53,"&#x1F7E3;","Middelburg",0,0,"&#x2798;"
16,"&#x1F7E3;","Midden-Delfland",0,0,"&#x2798;"
36,"&#128721;","Midden-Drenthe",0,0,"&#x2798;"
124,"&#x26a1;","Midden-Groningen",1,5,"&#x279A;"
13,"&#9989;","Mill en Sint Hubert",0,0,"-"
72,"&#x26a1;","Moerdijk",1,7,"&#x279A;"
72,"&#x26a1;","Molenlanden",1,3,"-"
57,"&#x26a1;","Montferland",2,3,"&#x2798;"
19,"&#x26a1;","Montfoort",0,2,"&#x2798;"
4,"&#9989;","Mook en Middelaar",0,0,"-"
40,"&#x26a1;","Neder-Betuwe",0,0,"&#x2798;"
38,"&#x26a1;","Nederweert",0,3,"&#x279A;"
94,"&#x26a1;","Nieuwegein",1,2,"&#x2798;"
49,"&#x26a1;","Nieuwkoop",0,3,"-"
66,"&#x26a1;","Nijkerk",1,2,"-"
277,"&#x26a1;","Nijmegen",3,13,"&#x2798;"
197,"&#x26a1;","Nissewaard",3,7,"&#x2798;"
87,"&#x26a1;","Noardeast-Fryslân",1,2,"&#x279A;"
13,"&#9989;","Noord-Beveland",0,0,"-"
40,"&#9989;","Noordenveld",0,0,"-"
35,"&#x1F7E3;","Noordoostpolder",0,1,"&#x279A;"
62,"&#x26a1;","Noordwijk",0,0,"&#x2798;"
51,"&#x26a1;","Nuenen, Gerwen en Nederwetten",0,1,"&#x2798;"
47,"&#128165;","Nunspeet",1,1,"&#x2798;"
26,"&#x26a1;","Oegstgeest",0,1,"&#x2798;"
39,"&#x26a1;","Oirschot",0,4,"&#x279A;"
39,"&#x26a1;","Oisterwijk",1,1,"&#x2798;"
104,"&#x26a1;","Oldambt",1,3,"&#x279A;"
32,"&#x26a1;","Oldebroek",1,3,"&#x279A;"
44,"&#x26a1;","Oldenzaal",0,4,"&#x279A;"
12,"&#x26a1;","Olst-Wijhe",0,0,"&#x2798;"
18,"&#x26a1;","Ommen",0,0,"&#x2798;"
30,"&#x26a1;","Oost Gelre",0,1,"&#x2798;"
68,"&#x26a1;","Oosterhout",0,1,"&#x2798;"
22,"&#x26a1;","Ooststellingwerf",0,2,"&#x279A;"
11,"&#9989;","Oostzaan",0,0,"-"
21,"&#x26a1;","Opmeer",0,1,"&#x279A;"
33,"&#x26a1;","Opsterland",0,0,"&#x2798;"
179,"&#x26a1;","Oss",1,5,"&#x2798;"
68,"&#x26a1;","Oude IJsselstreek",3,7,"&#x279A;"
14,"&#x26a1;","Ouder-Amstel",0,2,"&#x279A;"
9,"&#9989;","Oudewater",0,0,"-"
36,"&#x26a1;","Overbetuwe",0,1,"&#x2798;"
67,"&#x26a1;","Papendrecht",1,2,"&#x279A;"
16,"&#128721;","Peel en Maas",0,0,"&#x2798;"
44,"&#x26a1;","Pekela",0,3,"&#x279A;"
65,"&#x26a1;","Pijnacker-Nootdorp",1,2,"-"
276,"&#x26a1;","Purmerend",1,5,"&#x2798;"
33,"&#x26a1;","Putten",1,2,"&#x279A;"
39,"&#x1F7E3;","Raalte",0,1,"-"
56,"&#x26a1;","Reimerswaal",0,4,"-"
35,"&#x26a1;","Renkum",0,2,"&#x2798;"
3,"&#9989;","Renswoude",0,0,"-"
21,"&#x26a1;","Reusel-De Mierden",0,1,"-"
62,"&#9989;","Rheden",0,0,"-"
