"","Municipality_code","population","Municipality_name","Hospital_admission.2020-10-23"
"222","GM0794",92420,"Helmond",123
"223","GM0796",155409,"'s-Hertogenbosch",144
"224","GM0797",44897,"Heusden",48
"225","GM0798",15617,"Hilvarenbeek",12
"226","GM0809",23466,"Loon op Zand",29
"227","GM0815",11007,"Mill en Sint Hubert",9
"228","GM0820",23526,"Nuenen, Gerwen en Nederwetten",19
"229","GM0823",18832,"Oirschot",17
"230","GM0824",26344,"Oisterwijk",27
"231","GM0826",56232,"Oosterhout",52
"232","GM0828",92229,"Oss",175
"233","GM0840",23009,"Rucphen",14
"234","GM0845",29422,"Sint-Michielsgestel",37
"235","GM0847",19331,"Someren",34
"236","GM0848",17465,"Son en Breugel",31
"237","GM0851",24302,"Steenbergen",18
"238","GM0852",17393,"Waterland",19
"239","GM0855",219599,"Tilburg",264
"240","GM0856",42163,"Uden",115
"241","GM0858",31230,"Valkenswaard",22
"242","GM0861",45625,"Veldhoven",36
"243","GM0865",26709,"Vught",43
"244","GM0866",17518,"Waalre",8
"245","GM0867",48754,"Waalwijk",42
"246","GM0873",21954,"Woensdrecht",8
"247","GM0879",22141,"Zundert",24
"248","GM0880",16203,"Wormerland",21
"249","GM0882",37267,"Landgraaf",54
"250","GM0888",15889,"Beek",17
"251","GM0889",13439,"Beesel",20
"252","GM0893",13089,"Bergen (L.)",9
"253","GM0899",27709,"Brunssum",50
"254","GM0907",16968,"Gennep",17
"255","GM0917",86915,"Heerlen",128
"256","GM0928",45527,"Kerkrade",66
"257","GM0935",118636,"Maastricht",197
"258","GM0938",18759,"Meerssen",23
"259","GM0944",7879,"Mook en Middelaar",7
"260","GM0946",17086,"Nederweert",33
"261","GM0957",58620,"Roermond",65
"262","GM0965",10515,"Simpelveld",19
"263","GM0971",24935,"Stein",46
"264","GM0981",10055,"Vaals",10
"265","GM0983",101853,"Venlo",139
"266","GM0984",43707,"Venray",38
"267","GM0986",12459,"Voerendaal",17
"268","GM0988",50109,"Weert",69
"269","GM0994",16399,"Valkenburg aan de Geul",20
"270","GM0995",79284,"Lelystad",80
"271","GM1507",42416,"Horst aan de Maas",41
"272","GM1509",39331,"Oude IJsselstreek",23
"273","GM1525",37655,"Teylingen",18
"274","GM1581",49784,"Utrechtse Heuvelrug",31
"275","GM1586",29644,"Oost Gelre",21
"276","GM1598",22864,"Koggenland",8
"277","GM1621",62882,"Lansingerland",49
"278","GM1640",35999,"Leudal",54
"279","GM1641",23936,"Maasgouw",28
"280","GM1652",30693,"Gemert-Bakel",79
"281","GM1655",30314,"Halderberge",23
"282","GM1658",16217,"Heeze-Leende",17
"283","GM1659",22665,"Laarbeek",41
"284","GM1667",13066,"Reusel-De Mierden",15
"285","GM1669",20552,"Roerdalen",27
"286","GM1674",77308,"Roosendaal",44
"287","GM1676",34012,"Schouwen-Duiveland",12
"288","GM1680",25393,"Aa en Hunze",1
"289","GM1681",25554,"Borger-Odoorn",8
"290","GM1684",25291,"Cuijk",13
"291","GM1685",15761,"Landerd",42
"292","GM1690",24357,"De Wolden",14
"293","GM1695",7560,"Noord-Beveland",1
"294","GM1696",24414,"Wijdemeren",11
"295","GM1699",31270,"Noordenveld",6
"296","GM1700",33729,"Twenterand",12
"297","GM1701",19573,"Westerveld",9
"298","GM1702",11662,"Sint Anthonis",21
"299","GM1705",46723,"Lingewaard",38
"300","GM1706",20941,"Cranendonck",63
"301","GM1708",44258,"Steenwijkerland",15
"302","GM1709",37184,"Moerdijk",19
"303","GM1711",31654,"Echt-Susteren",43
"304","GM1714",23173,"Sluis",9
"305","GM1719",27251,"Drimmelen",21
"306","GM1721",31313,"Bernheze",96
"307","GM1723",10298,"Alphen-Chaam",18
"308","GM1724",18674,"Bergeijk",19
"309","GM1728",20531,"Bladel",23
"310","GM1729",14205,"Gulpen-Wittem",23
"311","GM1730",33842,"Tynaarlo",11
"312","GM1731",33280,"Midden-Drenthe",6
"313","GM1734",48057,"Overbetuwe",60
"314","GM1735",35129,"Hof van Twente",18
"315","GM1740",24526,"Neder-Betuwe",42
"316","GM1742",38227,"Rijssen-Holten",30
"317","GM1771",39997,"Geldrop-Mierlo",35
"318","GM1773",18300,"Olst-Wijhe",12
"319","GM1774",26545,"Dinkelland",21
"320","GM1783",110974,"Westland",69
"321","GM1842",19406,"Midden-Delfland",5
"322","GM1859",43845,"Berkelland",18
"323","GM1876",36077,"Bronckhorst",18
"324","GM1883",91928,"Sittard-Geleen",124
"325","GM1884",27492,"Kaag en Braassem",8
"326","GM1891",18928,"Dantumadiel",2
"327","GM1892",44750,"Zuidplas",31
"328","GM1894",43561,"Peel en Maas",145
"329","GM1895",38274,"Oldambt",10
"330","GM1896",22755,"Zwartewaterland",35
"331","GM1900",89976,"Súdwest-Fryslân",21
"332","GM1901",35157,"Bodegraven-Reeuwijk",11
"333","GM1903",25775,"Eijsden-Margraten",57
"334","GM1904",65087,"Stichtse Vecht",46
"335","GM1911",48637,"Hollands Kroon",26
"336","GM1916",76387,"Leidschendam-Voorburg",36
"337","GM1924",50356,"Goeree-Overflakkee",57
"338","GM1926",55360,"Pijnacker-Nootdorp",31
"339","GM1930",85173,"Nissewaard",68
"340","GM1931",56353,"Krimpenerwaard",52
"341","GM1940",51678,"De Fryske Marren",22
"342","GM1942",58247,"Gooise Meren",27
"343","GM1945",34972,"Berg en Dal",36
"344","GM1948",81467,"Meierijstad",213
"345","GM1949",46098,"Waadhoeke",14
"346","GM1950",25719,"Westerwolde",11
"347","GM1952",60720,"Midden-Groningen",10
"348","GM1954",35916,"Beekdaelen",52
"349","GM1955",36052,"Montferland",24
"350","GM1959",56194,"Altena",38
"351","GM1960",51281,"West Betuwe",49
"352","GM1961",57525,"Vijfheerenlanden",45
"353","GM1963",87614,"Hoeksche Waard",82
"354","GM1966",47878,"Het Hogeland",7
"355","GM1969",63458,"Westerkwartier",19
"356","GM1970",45433,"Noardeast-Fryslân",7
"357","GM1978",44042,"Molenlanden",20
