"","Municipality_code","population","Municipality_name","2021-06-08","2021-06-09"
"317","GM1842",19452,"Midden-Delfland",14,14
"318","GM1859",43812,"Berkelland",42,42
"319","GM1876",35997,"Bronckhorst",21,21
"320","GM1883",91698,"Sittard-Geleen",145,145
"321","GM1884",27646,"Kaag en Braassem",10,10
"322","GM1891",18916,"Dantumadiel",17,17
"323","GM1892",45316,"Zuidplas",47,47
"324","GM1894",43804,"Peel en Maas",85,85
"325","GM1895",38289,"Oldambt",37,37
"326","GM1896",22860,"Zwartewaterland",30,30
"327","GM1900",90033,"Súdwest-Fryslân",90,90
"328","GM1901",35402,"Bodegraven-Reeuwijk",36,36
"329","GM1903",25844,"Eijsden-Margraten",47,47
"330","GM1904",65013,"Stichtse Vecht",69,69
"331","GM1911",48597,"Hollands Kroon",34,34
"332","GM1916",76391,"Leidschendam-Voorburg",84,84
"333","GM1924",50754,"Goeree-Overflakkee",89,89
"334","GM1926",55972,"Pijnacker-Nootdorp",38,38
"335","GM1930",85647,"Nissewaard",99,99
"336","GM1931",56745,"Krimpenerwaard",64,64
"337","GM1940",51876,"De Fryske Marren",33,33
"338","GM1942",58659,"Gooise Meren",34,34
"339","GM1945",34978,"Berg en Dal",51,51
"340","GM1948",82014,"Meierijstad",167,167
"341","GM1949",46187,"Waadhoeke",36,36
"342","GM1950",26136,"Westerwolde",21,21
"343","GM1952",60830,"Midden-Groningen",39,39
"344","GM1954",36054,"Beekdaelen",49,49
"345","GM1955",36109,"Montferland",24,24
"346","GM1959",56515,"Altena",68,68
"347","GM1960",51594,"West Betuwe",61,61
"348","GM1961",58118,"Vijfheerenlanden",76,76
"349","GM1963",88160,"Hoeksche Waard",66,66
"350","GM1966",47846,"Het Hogeland",20,20
"351","GM1969",63766,"Westerkwartier",25,25
"352","GM1970",45471,"Noardeast-Fryslân",37,37
"353","GM1978",44264,"Molenlanden",35,35
"354","GM1979",45385,"Eemsdelta",23,23
