"current","color_incl_new","municipality","increase_1d","increase_7d","growth"
370,"&#x26a1;","Leusden",6,94,"&#x279A;"
686,"&#x26a1;","Lingewaard",18,184,"&#x279A;"
351,"&#x26a1;","Lisse",9,99,"&#x279A;"
398,"&#x26a1;","Lochem",2,113,"&#x279A;"
560,"&#x26a1;","Loon op Zand",25,123,"&#x279A;"
283,"&#x26a1;","Lopik",6,60,"-"
80,"&#x26a1;","Loppersum",3,26,"&#x279A;"
505,"&#x26a1;","Losser",19,98,"&#x279A;"
510,"&#x26a1;","Maasdriel",9,97,"&#x279A;"
323,"&#x26a1;","Maasgouw",15,68,"&#x2798;"
579,"&#x26a1;","Maassluis",2,95,"&#x279A;"
1701,"&#x26a1;","Maastricht",57,464,"&#x279A;"
731,"&#x26a1;","Medemblik",24,227,"&#x279A;"
249,"&#x26a1;","Meerssen",8,70,"&#x279A;"
1207,"&#x26a1;","Meierijstad",43,270,"&#x279A;"
307,"&#x1F7E3;","Meppel",6,72,"&#x279A;"
366,"&#x1F7E3;","Middelburg",6,99,"&#x279A;&#x279A;"
384,"&#x26a1;","Midden-Delfland",11,97,"&#x279A;"
253,"&#x1F7E3;","Midden-Drenthe",7,57,"&#x279A;"
500,"&#x1F7E3;","Midden-Groningen",10,110,"&#x279A;"
156,"&#x26a1;","Mill en Sint Hubert",3,30,"-"
556,"&#x1F7E3;","Moerdijk",16,89,"&#x279A;"
912,"&#x26a1;","Molenlanden",16,178,"&#x279A;"
435,"&#x1F7E3;","Montferland",2,85,"&#x279A;"
268,"&#x26a1;","Montfoort",8,66,"&#x279A;"
94,"&#x1F7E3;","Mook en Middelaar",2,14,"&#x279A;"
588,"&#x26a1;","Neder-Betuwe",11,137,"&#x279A;"
444,"&#x26a1;","Nederweert",28,153,"&#x279A;&#x279A;"
836,"&#x26a1;","Nieuwegein",32,176,"&#x279A;"
522,"&#x26a1;","Nieuwkoop",11,128,"&#x279A;"
750,"&#x26a1;","Nijkerk",22,207,"&#x279A;"
1983,"&#x1F7E3;","Nijmegen",54,423,"&#x279A;"
1602,"&#x1F7E3;","Nissewaard",14,189,"-"
413,"&#x1F7E3;","Noardeast-Fryslân",5,98,"&#x2798;"
33,"&#128999;","Noord-Beveland",0,3,"&#x2798;"
119,"&#128721;","Noordenveld",5,34,"&#x279A;"
922,"&#x26a1;","Noordoostpolder",29,220,"&#x279A;"
584,"&#x26a1;","Noordwijk",11,124,"&#x279A;"
322,"&#x1F7E3;","Nuenen, Gerwen en Nederwetten",1,56,"&#x279A;"
355,"&#x26a1;","Nunspeet",3,83,"&#x279A;"
384,"&#x26a1;","Oegstgeest",11,103,"&#x279A;"
366,"&#x26a1;","Oirschot",0,82,"&#x279A;"
550,"&#x26a1;","Oisterwijk",25,137,"&#x279A;"
269,"&#x1F7E3;","Oldambt",6,91,"&#x279A;"
279,"&#x26a1;","Oldebroek",8,100,"&#x279A;&#x279A;"
600,"&#x26a1;","Oldenzaal",19,115,"&#x279A;"
159,"&#x26a1;","Olst-Wijhe",13,59,"&#x279A;&#x279A;"
158,"&#x1F7E3;","Ommen",9,40,"&#x279A;&#x279A;"
412,"&#x26a1;","Oost Gelre",1,103,"&#x279A;"
1129,"&#x26a1;","Oosterhout",27,226,"&#x279A;"
218,"&#128721;","Ooststellingwerf",4,27,"&#x2798;"
143,"&#x26a1;","Oostzaan",5,40,"&#x279A;"
186,"&#x26a1;","Opmeer",9,58,"&#x279A;&#x279A;"
193,"&#x1F7E3;","Opsterland",5,67,"&#x279A;&#x279A;"
1385,"&#x1F7E3;","Oss",40,227,"&#x279A;"
566,"&#x26a1;","Oude IJsselstreek",8,104,"&#x279A;"
221,"&#x26a1;","Ouder-Amstel",7,55,"&#x279A;"
163,"&#x26a1;","Oudewater",9,47,"&#x279A;"
539,"&#x1F7E3;","Overbetuwe",12,113,"&#x279A;"
607,"&#x26a1;","Papendrecht",24,153,"&#x279A;"
626,"&#x26a1;","Peel en Maas",25,179,"&#x279A;&#x279A;"
71,"&#x1F7E3;","Pekela",5,27,"&#x279A;"
1026,"&#x26a1;","Pijnacker-Nootdorp",23,258,"&#x279A;"
908,"&#x1F7E3;","Purmerend",26,191,"&#x279A;"
476,"&#x26a1;","Putten",10,108,"&#x279A;"
743,"&#x26a1;","Raalte",29,235,"&#x279A;"
306,"&#x26a1;","Reimerswaal",8,84,"&#x279A;"
353,"&#x1F7E3;","Renkum",2,69,"&#x2798;"
103,"&#x26a1;","Renswoude",1,39,"&#x279A;"
234,"&#x26a1;","Reusel-De Mierden",5,55,"&#x279A;"
