"municipality","Municipality_code","date","d0","d1","d7","d8","d14","dec1","lowest_since_dec1","lowest_since_dec1_date","current","increase_1d","increase_7d","increase_14d","increase_growth","growth","population","rel_increase_1d","rel_increase_7d","rel_increase_14d"
"Teylingen","GM1525",2021-01-20,10,10,10,10,9,6,6,2020-12-01,10,0,0,1,-100,"&#x2798;",37761,0,0,2.64823495140489
"Utrechtse Heuvelrug","GM1581",2021-01-20,41,41,39,38,38,21,21,2020-12-01,41,0,2,3,100,"&#x279A;",49962,0,4.00304231215724,6.00456346823586
"Oost Gelre","GM1586",2021-01-20,34,33,32,32,30,26,26,2020-12-01,34,1,2,4,0,"-",29574,3.38134848177453,6.76269696354906,13.5253939270981
"Koggenland","GM1598",2021-01-20,14,14,13,13,13,12,12,2020-12-01,14,0,1,1,100,"&#x279A;",22932,0,4.36071864643293,4.36071864643293
"Lansingerland","GM1621",2021-01-20,57,56,55,55,54,48,48,2020-12-01,57,1,2,3,100,"&#x279A;",63295,1.57990362587882,3.15980725175764,4.73971087763646
"Leudal","GM1640",2021-01-20,44,44,43,43,42,40,40,2020-12-01,44,0,1,2,0,"-",36027,0,2.77569600577345,5.55139201154689
"Maasgouw","GM1641",2021-01-20,18,18,17,17,17,16,16,2020-12-01,18,0,1,1,100,"&#x279A;",23976,0,4.17083750417084,4.17083750417084
"Gemert-Bakel","GM1652",2021-01-20,35,35,35,35,34,34,34,2020-12-01,35,0,0,1,-100,"&#x2798;",30751,0,0,3.25192676660922
"Halderberge","GM1655",2021-01-20,17,17,17,17,17,16,16,2020-12-01,17,0,0,0,0,"-",30461,0,0,0
"Heeze-Leende","GM1658",2021-01-20,13,13,13,13,13,11,11,2020-12-01,13,0,0,0,0,"-",16222,0,0,0
"Laarbeek","GM1659",2021-01-20,31,31,31,30,30,27,27,2020-12-01,31,0,0,1,-100,"&#x2798;",22787,0,0,4.38846710843902
"Reusel-De Mierden","GM1667",2021-01-20,7,7,6,6,6,5,5,2020-12-01,7,0,1,1,100,"&#x279A;",13123,0,7.62020879372095,7.62020879372095
"Roerdalen","GM1669",2021-01-20,20,20,18,17,15,9,9,2020-12-01,20,0,2,5,-33.3333333333333,"&#x2798;",20612,0,9.70308558121483,24.2577139530371
"Roosendaal","GM1674",2021-01-20,60,59,58,58,58,41,41,2020-12-01,60,1,2,2,200,"&#x279A;",77256,1.29439784612198,2.58879569224397,2.58879569224397
"Schouwen-Duiveland","GM1676",2021-01-20,19,19,19,19,17,16,16,2020-12-01,19,0,0,2,-100,"&#x2798;",33990,0,0,5.88408355398647
"Aa en Hunze","GM1680",2021-01-20,9,9,8,8,1,1,1,2020-12-01,9,0,1,8,-85.7142857142857,"&#x2798;",25366,0,3.94228494835607,31.5382795868485
"Borger-Odoorn","GM1681",2021-01-20,11,11,11,11,11,9,9,2020-12-01,11,0,0,0,0,"-",25587,0,0,0
"Cuijk","GM1684",2021-01-20,19,19,19,19,18,15,15,2020-12-01,19,0,0,1,-100,"&#x2798;",25373,0,0,3.9411973357506
"Landerd","GM1685",2021-01-20,22,22,22,22,22,22,22,2020-12-01,22,0,0,0,0,"-",15838,0,0,0
"De Wolden","GM1690",2021-01-20,12,12,11,11,10,6,6,2020-12-01,12,0,1,2,0,"-",24374,0,4.10273241979158,8.20546483958316
"Noord-Beveland","GM1695",2021-01-20,1,1,1,1,1,1,1,2020-12-01,1,0,0,0,0,"-",7570,0,0,0
"Wijdemeren","GM1696",2021-01-20,11,11,11,9,8,5,5,2020-12-01,11,0,0,3,-100,"&#x2798;",24440,0,0,12.2749590834697
"Noordenveld","GM1699",2021-01-20,19,19,17,17,17,14,14,2020-12-01,19,0,2,2,200,"&#x279A;",31216,0,6.40697078421322,6.40697078421322
"Twenterand","GM1700",2021-01-20,25,25,22,22,13,5,5,2020-12-01,25,0,3,12,-66.6666666666667,"&#x2798;",33696,0,8.9031339031339,35.6125356125356
"Westerveld","GM1701",2021-01-20,6,6,6,6,6,5,5,2020-12-01,6,0,0,0,0,"-",19638,0,0,0
"Sint Anthonis","GM1702",2021-01-20,11,11,11,11,11,11,11,2020-12-01,11,0,0,0,0,"-",11687,0,0,0
"Lingewaard","GM1705",2021-01-20,22,22,22,22,20,17,17,2020-12-01,22,0,0,2,-100,"&#x2798;",46781,0,0,4.27523994784207
"Cranendonck","GM1706",2021-01-20,46,44,44,44,43,37,37,2020-12-01,46,2,2,3,100,"&#x279A;",21007,9.52063597848336,9.52063597848336,14.280953967725
