"","LeeftijdOp31December","Week","2001","2002","2003","2004","2005","2006","2013","2014","2015","2016","2017","2018","2019","2020","Average20152019","Average20132017","Average20012005","excess_death","excess_flu","excess_heatwave"
"31","Totaal","31",2655.6949785999,3018.98185595598,2748.89730921067,2623.21758254628,2471.39432361765,2507.5678101359,2580.08296396065,2587.98304551072,2565.70954407521,2564.11993083269,2558.94553097686,2797.51242703895,2751.9282511107,2651,2647.64313680688,2571.36820307123,2703.63720998609,3,226.14422396772,-196.06939985019
"32","Totaal","32",2668.76648792853,2661.0724740357,2982.27395870156,2829.94726545009,2396.63304330078,2486.24495460754,2479.41198749074,2628.3394384635,2621.35143780214,2623.60751322801,2708.81206207391,2782.30855515286,2649.14660277189,2628,2677.04523420576,2612.30448781166,2707.73864588333,-49,170.004067341202,-221.493691275792
"33","Totaal","33",2735.21332701573,2699.99917418413,3082.29252276908,2869.57938082543,2556.83578683693,2496.90638237172,2534.41777875781,2507.27025960514,2605.89535621132,2633.86399295134,2589.5305373232,2640.40575088277,2633.02399126776,3197,2620.54392572728,2574.19558496976,2788.78403832626,576,66.2101659130099,-291.877655954538
"34","Totaal","34",2884.44639185092,2837.32392192997,2684.36920336065,2585.72774367771,2521.59118325898,2554.47809229831,2492.90397402795,2564.18312146164,2595.59130181745,2770.27517327164,2594.62803838092,2647.50089109628,2637.05464414379,2821,2649.01000974202,2603.51632179192,2702.69168881565,172,43.984569304358,-148.213596517335
"35","Totaal","35",2658.96285593206,2554.02404862752,2578.97329713896,2601.79481747852,2587.80831725392,2532.08909399353,2528.19070804833,2771.13898275798,2603.83454533255,2657.453896315,2626.2325449388,2561.34561707515,2804.32673849911,2689,2650.63866843212,2637.37013547853,2596.31266728619,38,-76.0245184033815,-64.2235732926683
"36","0 tot 65","01",521.533887890845,443.43161229321,383.173275973374,276.160631940965,461.939814463386,472.380161572424,401.714052724319,300.244383554159,253.203926339813,467.039491393723,457.038754987036,433.258628193667,342.144246067073,272,390.537009396262,375.84812179981,417.247844512356,-119,57.4105063938568,55.1323170600683
"37","0 tot 65","02",525.592517368595,535.141332108397,532.630915031052,508.295655891341,476.937860387522,507.408351519532,464.984016028399,437.268665981561,446.889798281024,448.882448531764,420.797796441808,408.127617277561,464.553624425381,432,437.850256991508,443.764545052911,515.719656157381,-6,-35.6369277753505,-8.31130463784916
"38","0 tot 65","03",532.695118954657,502.891760305254,509.560272760404,508.295655891341,509.933561420621,487.392242978328,469.001156555643,436.261134493124,435.793211867726,435.769028687016,430.864729371038,425.216704700513,397.328801884343,416,424.994495302127,441.537852194909,512.675273866455,-9,-16.3211474943964,-25.2830308881277
"39","0 tot 65","04",544.871007387906,558.320711841906,533.633986434123,548.318935882786,473.938251202695,479.385799561846,493.103999719102,424.170756631883,477.153215771839,449.891173135206,449.991901936575,410.138098150849,421.409335331879,352,441.716744865269,458.862209438921,531.816578549883,-90,-48.7241112880716,-52.4307789880371
"40","0 tot 65","05",519.50457315197,528.086738276459,478.465059265182,496.288671893908,549.92835055165,521.419627498375,489.086859191859,354.651083929745,420.661503122319,458.969694566185,426.837956199346,458.389639109773,439.469735417531,449,440.865705683031,430.041419401891,514.454678627834,8,28.348219707882,6.96494887054121
