"","dates","Mean(R)","Std(R)","Rt_avg","Rt_low","Rt_up","R_lagged","R_Std_lag","R_est_up","R_est_low","diff"
"14",2021-01-21,0.887446385464771,0.00149539498714853,0.88,"0.86","0.91",0.87066537008893,0.00175549173397099,0.874106133887513,0.867224606290347,-0.01
"15",2021-01-22,0.866442718891753,0.00150450379682792,0.9,"0.87","0.93",0.887737615034769,0.00138539262283728,0.890452984575531,0.885022245494008,-0.01
"16",2021-01-23,0.87066537008893,0.00175549173397099,0.92,"0.89","0.94",0.905947708277311,0.00152376105271081,0.908934279940624,0.902961136613998,-0.01
"17",2021-01-24,0.887737615034769,0.00138539262283728,0.92,"0.89","0.95",0.924030575767339,0.00131204131814743,0.926602176750908,0.92145897478377,0
"18",2021-01-25,0.905947708277311,0.00152376105271081,0.91,"0.88","0.94",0.909081888432318,0.00162772736915875,0.91227223407587,0.905891542788767,0
"19",2021-01-26,0.924030575767339,0.00131204131814743,0.91,"0.88","0.94",0.920106843237256,0.00129718196483373,0.92264931988833,0.917564366586182,0.01
"20",2021-01-27,0.909081888432318,0.00162772736915875,0.92,"0.89","0.95",0.922996725172763,0.0018000435128262,0.926524810457903,0.919468639887624,0
"21",2021-01-28,0.920106843237256,0.00129718196483373,0.94,"0.91","0.97",0.937603825614745,0.00203931848292707,0.941600889841282,0.933606761388208,0
"22",2021-01-29,0.922996725172763,0.0018000435128262,0.97,"0.93","1.00",0.961560577271289,0.00144069285297244,0.964384335263115,0.958736819279463,-0.01
"23",2021-01-30,0.937603825614745,0.00203931848292707,0.98,"0.95","1.01",0.976148128875081,0.00149662917353759,0.979081522055215,0.973214735694947,0
"24",2021-01-31,0.961560577271289,0.00144069285297244,0.97,"0.93","1.00",0.981256458325877,0.00257502859700273,0.986303514376002,0.976209402275752,0.01
"25",2021-02-01,0.976148128875081,0.00149662917353759,0.94,"0.91","0.98",0.946370409257317,0.00192775702154462,0.950148813019545,0.94259200549509,0.01
"26",2021-02-02,0.981256458325877,0.00257502859700273,0.93,"0.90","0.96",0.932447891637981,0.00112586822734256,0.934654593363573,0.93024118991239,0
"27",2021-02-03,0.946370409257317,0.00192775702154462,0.93,"0.90","0.97",0.932373308866105,0.00244837312450964,0.937172120190144,0.927574497542066,0
"28",2021-02-04,0.932447891637981,0.00112586822734256,0.96,"0.92","0.99",0.942703015515641,0.00214624764269074,0.946909660895314,0.938496370135967,-0.02
"29",2021-02-05,0.932373308866105,0.00244837312450964,0.99,"0.96","1.02",0.971577887225462,0.00160964492001997,0.974732791268701,0.968422983182223,-0.02
"30",2021-02-06,0.942703015515641,0.00214624764269074,1.02,"0.99","1.06",0.999694505092171,0.00161250498326235,1.00285501485937,0.996533995324977,-0.02
"31",2021-02-07,0.971577887225462,0.00160964492001997,1.03,"0.99","1.07",1.01933952927644,0.00218874723116239,1.02362947384952,1.01504958470336,-0.01
"32",2021-02-08,0.999694505092171,0.00161250498326235,1.02,"0.99","1.06",1.02452770701336,0.00174672682311056,1.02795129158666,1.02110412244006,0
"33",2021-02-09,1.01933952927644,0.00218874723116239,1.03,"1.00","1.06",1.03784034221304,0.00243005524820744,1.04260325049953,1.03307743392656,0.01
"34",2021-02-10,1.02452770701336,0.00174672682311056,1.06,"1.03","1.09",1.06542666561031,0.00169379437450893,1.06874650258434,1.06210682863627,0.01
"35",2021-02-11,1.03784034221304,0.00243005524820744,1.1,"1.07","1.14",1.09927185870231,0.00150772776720614,1.10222700512603,1.09631671227859,0
"36",2021-02-12,1.06542666561031,0.00169379437450893,1.14,"1.11","1.18",1.13876003121516,0.00306387738987057,1.14476523089931,1.13275483153102,0
"37",2021-02-13,1.09927185870231,0.00150772776720614,1.16,"1.13","1.20",1.17018157278206,0.00255433919696024,1.1751880776081,1.16517506795602,0.01
"38",2021-02-14,1.13876003121516,0.00306387738987057,1.15,"1.11","1.18",1.16693225009387,0.00198119764218877,1.17081539747256,1.16304910271518,0.02
"39",2021-02-15,1.17018157278206,0.00255433919696024,1.11,"1.08","1.14",1.12775363597289,0.00114806313783607,1.13000383972305,1.12550343222273,0.02
"40",2021-02-16,1.16693225009387,0.00198119764218877,1.07,"1.04","1.10",1.09735270940801,0.00148656879908286,1.10026638425421,1.09443903456181,0.03
"41",2021-02-17,1.12775363597289,0.00114806313783607,1.05,"1.02","1.08",1.0638188076786,0.00193654791033719,1.06761444158286,1.06002317377434,0.01
"42",2021-02-18,1.09735270940801,0.00148656879908286,1.04,"1.01","1.07",1.04094424031843,0.00176703152487513,1.04440762210718,1.03748085852967,0
