"date","Hospital_Intake_Proven","Hospital_Intake_Suspected","IC_Intake_Proven","IC_Intake_Suspected","IC_Current","ICs_Used","IC_Cumulative","Hospital_Currently","IC_Deaths_Cumulative","IC_Discharge_Cumulative","IC_Discharge_InHospital","Hospital_Cumulative","Hospital_Intake","IC_Intake","Hosp_Intake_Suspec_Cumul","IC_Intake_Suspected_Cumul"
"2020-05-23",12,8,3,0,220,63,2845,292,817,1567,201,10955,20,3,1755,80
"2020-05-24",20,16,6,0,218,62,2851,288,818,1567,211,10982,36,6,1771,80
"2020-05-25",35,21,1,0,208,61,2852,321,819,1590,215,11033,56,1,1792,80
"2020-05-26",26,13,4,0,185,61,2856,314,823,1611,206,11068,39,4,1805,80
"2020-05-27",18,13,3,1,170,57,2860,286,824,1634,191,11094,31,4,1818,81
"2020-05-28",16,10,1,0,162,56,2861,261,826,1665,171,11115,26,1,1828,81
"2020-05-29",24,14,1,2,152,55,2864,263,829,1686,158,11148,38,3,1842,83
"2020-05-30",20,5,2,0,142,53,2866,244,829,1693,153,11171,25,2,1847,83
"2020-05-31",12,8,4,0,145,53,2870,237,829,1693,160,11190,20,4,1855,83
"2020-06-01",15,7,4,0,142,52,2874,242,832,1693,163,11208,22,4,1862,83
"2020-06-02",23,17,1,0,137,52,2875,263,832,1717,155,11244,40,1,1879,83
"2020-06-03",17,11,4,0,125,50,2879,254,837,1738,138,11264,28,4,1890,83
"2020-06-04",14,19,5,1,123,52,2885,241,840,1758,120,11289,33,6,1909,84
"2020-06-05",9,12,3,0,121,51,2888,224,840,1768,113,11307,21,3,1921,84
"2020-06-06",3,6,2,0,119,51,2890,185,841,1770,114,11315,9,2,1927,84
"2020-06-07",4,12,3,0,118,50,2893,184,841,1772,114,11329,16,3,1939,84
"2020-06-08",11,7,0,0,117,49,2894,183,841,1788,107,11347,18,0,1946,84
"2020-06-09",9,10,2,0,109,48,2896,162,842,1800,99,11364,19,2,1956,84
"2020-06-10",5,6,2,0,106,48,2898,145,843,1811,91,11373,11,2,1962,84
"2020-06-11",14,11,1,0,102,48,2899,151,843,1823,85,11394,25,1,1973,84
"2020-06-12",8,4,3,0,99,47,2902,144,844,1833,79,11405,12,3,1977,84
"2020-06-13",4,5,2,0,97,45,2904,123,845,1833,79,11412,9,2,1982,84
"2020-06-14",3,5,0,0,96,44,2904,121,847,1835,77,11420,8,0,1987,84
"2020-06-15",5,5,1,0,95,44,2905,124,848,1852,70,11429,10,1,1992,84
"2020-06-16",8,9,2,0,86,43,2907,125,851,1857,69,11445,17,2,2001,84
"2020-06-17",7,6,0,0,78,41,2907,117,852,1863,69,11456,13,0,2007,84
"2020-06-18",3,12,1,0,71,40,2908,118,853,1870,69,11470,15,1,2019,84
"2020-06-19",3,8,0,0,66,37,2909,114,854,1878,62,11480,11,0,2027,84
"2020-06-20",4,5,2,0,64,37,2911,96,855,1879,65,11486,9,2,2032,84
"2020-06-21",4,10,0,0,60,35,2911,99,856,1879,65,11499,14,0,2042,84
"2020-06-22",7,8,3,0,62,37,2914,103,857,1884,67,11513,15,3,2050,84
"2020-06-23",6,9,1,0,55,34,2915,102,858,1890,65,11523,15,1,2059,84
"2020-06-24",4,12,1,1,52,34,2917,99,859,1896,61,11538,16,2,2071,85
"2020-06-25",8,8,1,1,51,32,2919,105,859,1901,60,11553,16,2,2079,86
"2020-06-26",3,6,0,0,47,30,2919,102,860,1905,60,11560,9,0,2085,86
"2020-06-27",1,2,0,0,42,28,2919,80,861,1905,63,11563,3,0,2087,86
"2020-06-28",4,7,0,0,38,27,2919,84,861,1905,63,11574,11,0,2094,86
"2020-06-29",7,8,0,0,38,27,2919,95,861,1909,62,11587,15,0,2102,86
"2020-06-30",2,6,2,0,37,26,2921,80,861,1916,58,11593,8,2,2108,86
"2020-07-01",3,5,0,0,33,23,2921,75,861,1919,56,11601,8,0,2113,86
"2020-07-02",4,3,2,1,35,26,2924,69,862,1923,54,11605,7,3,2116,87
"2020-07-03",7,5,0,0,32,25,2924,70,862,1931,46,11615,12,0,2121,87
"2020-07-04",0,3,1,0,33,25,2925,60,862,1931,48,11617,3,1,2124,87
"2020-07-05",2,8,0,0,31,23,2925,64,862,1932,48,11625,10,0,2132,87
"2020-07-06",2,5,0,0,30,22,2925,68,863,1937,45,11632,7,0,2137,87
"2020-07-07",3,5,1,0,28,20,2926,71,864,1940,44,11639,8,1,2142,87
"2020-07-08",3,7,2,0,25,20,2928,71,864,1945,40,11648,10,2,2149,87
"2020-07-09",6,7,1,0,25,19,2929,74,864,1948,37,11658,13,1,2156,87
"2020-07-10",6,6,1,0,26,19,2930,82,864,1948,39,11668,12,1,2162,87
"2020-07-11",2,2,0,0,24,17,2930,71,864,1948,39,11671,4,0,2164,87
"2020-07-12",3,4,1,0,25,17,2931,72,865,1950,38,11675,7,1,2168,87
"2020-07-13",4,5,0,0,23,17,2931,79,866,1951,39,11684,9,0,2173,87
"2020-07-14",5,7,0,0,20,16,2931,81,866,1952,39,11695,12,0,2180,87
"2020-07-15",2,4,1,0,20,16,2932,72,866,1955,38,11700,6,1,2184,87
"2020-07-16",2,8,1,0,19,16,2933,68,866,1959,34,11709,10,1,2192,87
"2020-07-17",6,3,0,0,19,15,2933,67,866,1959,35,11717,9,0,2195,87
"2020-07-18",5,8,0,0,18,14,2933,70,866,1959,35,11730,13,0,2203,87
"2020-07-19",7,3,1,0,19,14,2934,75,866,1959,36,11740,10,1,2206,87
"2020-07-20",4,6,0,0,18,14,2934,80,866,1964,32,11749,10,0,2212,87
"2020-07-21",6,7,2,3,22,16,2937,82,866,1966,33,11760,13,5,2219,90
"2020-07-22",3,1,1,0,22,16,2938,69,867,1969,31,11763,4,1,2220,90
"2020-07-23",9,8,1,0,20,15,2939,76,867,1970,31,11779,17,1,2228,90
"2020-07-24",10,0,1,1,20,16,2941,72,867,1974,31,11788,10,2,2228,91
"2020-07-25",9,4,1,0,17,14,2942,72,867,1975,32,11800,13,1,2232,91
"2020-07-26",3,2,1,0,17,14,2944,73,867,1975,32,11803,5,1,2234,91
"2020-07-27",4,6,4,0,21,17,2948,80,867,1976,32,11812,10,4,2240,91
"2020-07-28",9,3,0,0,20,16,2948,83,867,1977,31,11824,12,0,2243,91
"2020-07-29",4,1,0,0,19,15,2948,77,868,1978,31,11828,5,0,2244,91
"2020-07-30",15,3,3,0,21,16,2951,83,868,1980,29,11845,18,3,2247,91
"2020-07-31",10,1,4,0,24,18,2955,85,870,1980,27,11854,11,4,2248,91
"2020-08-01",6,4,2,0,25,18,2957,85,870,1981,27,11863,10,2,2252,91
"2020-08-02",9,2,2,0,26,19,2959,92,870,1981,27,11873,11,2,2254,91
"2020-08-03",15,4,3,0,29,20,2962,104,870,1981,28,11891,19,3,2258,91
"2020-08-04",8,5,3,0,31,22,2965,101,872,1982,28,11902,13,3,2263,91
"2020-08-05",7,3,2,0,30,21,2967,97,872,1985,25,11911,10,2,2266,91
"2020-08-06",10,2,2,0,32,23,2969,95,873,1986,24,11920,12,2,2268,91
"2020-08-07",13,2,1,0,32,22,2970,101,873,1987,24,11935,15,1,2270,91
"2020-08-08",15,3,1,0,32,23,2971,107,873,1987,25,11953,18,1,2273,91
"2020-08-09",14,6,5,1,37,27,2977,118,875,1988,28,11969,20,6,2279,92
"2020-08-10",15,5,4,0,36,28,2981,129,875,1989,28,11989,20,4,2284,92
"2020-08-11",25,7,3,1,39,28,2984,149,876,1990,30,12019,32,4,2291,93
"2020-08-12",16,2,4,0,39,26,2988,153,876,1991,35,12034,18,4,2293,93
"2020-08-13",18,7,4,0,36,26,2992,154,876,1991,36,12056,25,4,2300,93
"2020-08-14",11,5,6,0,41,28,2998,152,876,1992,38,12068,16,6,2305,93
"2020-08-15",15,4,1,0,39,28,2999,149,877,1992,40,12087,19,1,2309,93
"2020-08-16",15,6,4,0,40,29,3003,156,877,1993,39,12106,21,4,2315,93
"2020-08-17",17,10,7,2,49,32,3012,174,879,1995,41,12130,27,9,2325,95
"2020-08-18",9,4,2,0,44,32,3014,168,879,1998,41,12141,13,2,2329,95
"2020-08-19",16,2,3,0,43,30,3017,168,879,2003,40,12155,18,3,2331,95
"2020-08-20",22,3,5,0,44,33,3022,177,880,2006,36,12178,25,5,2334,95
"2020-08-21",17,10,6,0,48,33,3028,171,881,2009,36,12201,27,6,2344,95
"2020-08-22",10,4,0,0,44,31,3028,151,881,2009,38,12215,14,0,2348,95
"2020-08-23",13,1,5,0,47,34,3033,153,881,2010,38,12226,14,5,2349,95
"2020-08-24",10,5,1,0,47,35,3035,156,882,2011,44,12239,15,1,2354,95
"2020-08-25",18,5,3,0,42,30,3038,163,882,2012,45,12259,23,3,2359,95
"2020-08-26",11,6,0,0,40,30,3038,153,882,2017,43,12276,17,0,2365,95
"2020-08-27",6,3,2,1,40,29,3040,139,882,2020,44,12284,9,3,2368,96
"2020-08-28",11,3,0,0,37,29,3041,143,883,2025,40,12296,14,0,2371,96
"2020-08-29",2,2,2,0,37,28,3044,122,883,2026,39,12299,4,2,2373,96
"2020-08-30",8,2,3,0,42,30,3047,121,884,2026,40,12309,10,3,2375,96
"2020-08-31",12,9,1,0,41,29,3048,136,886,2029,40,12329,21,1,2384,96
"2020-09-01",13,5,2,0,37,29,3050,139,887,2032,39,12345,18,2,2389,96
"2020-09-02",15,11,0,0,34,28,3050,147,887,2034,39,12370,26,0,2400,96
"2020-09-03",7,5,4,0,36,26,3054,139,887,2037,36,12380,12,4,2405,96
"2020-09-04",13,7,4,0,40,28,3058,145,888,2038,38,12399,20,4,2412,96
"2020-09-05",14,3,1,0,37,28,3059,140,888,2039,38,12416,17,1,2415,96
"2020-09-06",21,8,4,0,41,30,3063,160,888,2039,39,12440,29,4,2423,96
"2020-09-07",25,7,2,0,41,29,3065,180,888,2039,41,12469,32,2,2430,96
"2020-09-08",20,9,3,0,42,27,3069,194,889,2039,45,12496,29,3,2439,96
"2020-09-09",27,11,2,0,41,26,3072,209,890,2041,44,12533,38,2,2450,96
"2020-09-10",15,7,5,0,44,27,3077,204,891,2043,42,12551,22,5,2457,96
"2020-09-11",41,6,6,0,49,29,3083,222,891,2044,43,12591,47,6,2463,96
"2020-09-12",19,4,6,0,53,30,3089,220,891,2045,44,12612,23,6,2467,96
"2020-09-13",20,7,3,0,54,30,3092,232,891,2045,44,12637,27,3,2474,96
"2020-09-14",42,8,7,1,63,33,3101,265,892,2048,44,12685,50,8,2482,97
"2020-09-15",35,5,5,3,68,35,3110,273,893,2051,46,12722,40,8,2487,100
"2020-09-16",40,17,1,0,63,36,3111,297,894,2052,48,12777,57,1,2504,100
"2020-09-17",46,21,4,1,64,37,3116,323,894,2057,47,12841,67,5,2525,101
"2020-09-18",53,10,6,0,66,38,3122,346,894,2059,47,12895,63,6,2535,101
"2020-09-19",43,12,12,1,77,43,3135,356,895,2061,46,12945,55,13,2547,102
"2020-09-20",38,11,12,1,89,46,3149,378,896,2061,49,12985,49,13,2558,103
"2020-09-21",50,33,10,1,99,50,3163,430,898,2064,46,13064,83,11,2591,104
"2020-09-22",26,42,9,1,107,53,3173,472,898,2064,49,13123,68,10,2633,105
"2020-09-23",5,14,4,1,108,53,3178,452,899,2065,49,13141,19,5,2647,106
