"Datum","<20","20 - 24","25 - 29","30 - 34","35 - 39","40 - 44","45 - 49","50 - 54","55 - 59","60 - 64","65 - 69","70 - 74","75 - 79","80 - 84","85 - 89",">90","Totaal"
"2021-03-08",0,0,0,0,0,0,0,0,1,0,3,4,7,5,2,1,23
"2021-03-09",0,1,0,0,0,0,0,0,0,0,1,1,8,4,2,4,21
"2021-03-10",0,0,0,0,0,0,0,0,0,0,0,1,6,4,2,1,14
"2021-03-11",0,0,0,0,0,0,0,0,2,0,4,5,3,5,4,0,23
"2021-03-12",0,0,0,0,0,0,0,0,0,0,1,2,5,2,7,0,17
"2021-03-13",0,0,0,0,0,0,0,1,0,1,1,2,3,7,3,1,19
"2021-03-14",0,0,0,0,0,0,0,0,1,0,0,2,2,3,0,0,8
"2021-03-15",0,0,0,0,0,0,0,0,0,2,0,4,10,7,5,0,28
"2021-03-16",0,0,0,0,0,0,0,0,0,1,0,4,7,1,2,2,17
"2021-03-17",0,0,0,0,0,0,0,0,1,0,1,1,4,5,3,3,18
"2021-03-18",0,0,0,1,0,0,0,0,0,0,3,2,1,5,0,2,14
"2021-03-19",0,0,0,0,0,0,0,0,1,0,1,6,7,5,2,3,25
"2021-03-20",0,0,0,0,0,0,0,0,0,2,0,1,6,4,0,0,13
"2021-03-21",0,0,0,0,0,0,0,1,0,0,2,3,7,1,1,0,15
"2021-03-22",0,0,0,0,0,0,0,0,0,0,2,8,6,7,4,1,28
"2021-03-23",0,0,0,0,0,1,0,0,1,2,3,6,6,5,4,3,31
"2021-03-24",0,0,0,0,0,1,0,0,0,1,1,3,3,3,2,2,16
"2021-03-25",0,0,0,0,0,0,0,0,0,0,1,2,8,7,2,1,21
"2021-03-26",0,0,0,0,0,0,0,1,0,0,0,4,7,4,3,4,23
"2021-03-27",0,0,0,0,0,0,0,0,0,0,1,0,2,3,1,0,7
"2021-03-28",0,0,0,0,0,0,0,0,0,1,1,2,6,2,1,2,15
"2021-03-29",0,0,0,0,1,0,0,1,0,2,2,4,10,11,2,2,35
"2021-03-30",0,0,0,0,0,0,0,1,0,0,1,4,5,7,0,3,21
"2021-03-31",1,0,0,0,0,0,0,0,0,1,1,2,9,5,3,1,23
"2021-04-01",0,0,0,0,0,0,0,1,1,1,1,7,7,6,5,1,30
"2021-04-02",0,0,0,1,0,0,0,0,0,0,2,7,6,5,5,3,29
"2021-04-03",0,0,0,0,0,0,0,0,1,1,0,3,6,9,4,1,25
"2021-04-04",0,0,0,0,0,0,0,0,0,0,2,3,4,3,4,0,16
"2021-04-05",0,0,0,0,0,0,0,0,2,2,3,3,6,3,3,1,23
"2021-04-06",0,0,0,0,0,0,0,0,2,2,0,2,14,7,5,3,35
"2021-04-07",0,0,0,0,0,0,0,0,1,2,1,1,7,3,3,0,18
"2021-04-08",0,0,0,0,0,0,0,0,2,0,1,1,7,4,2,2,19
"2021-04-09",0,0,0,0,0,0,3,0,0,3,3,3,5,4,5,0,26
"2021-04-10",0,0,0,0,0,0,0,0,1,0,1,3,4,5,0,1,15
"2021-04-11",0,0,0,0,0,0,0,0,0,0,2,1,3,2,1,2,11
"2021-04-12",0,0,0,0,0,0,-1,0,0,1,1,4,7,6,3,1,22
"2021-04-13",0,0,0,1,0,0,0,0,0,0,0,11,5,8,4,2,31
"2021-04-14",0,0,0,0,0,0,0,0,0,1,0,4,10,5,1,2,23
"2021-04-15",0,0,0,0,0,0,0,1,0,1,1,3,8,8,1,2,25
"2021-04-16",0,0,0,0,0,0,0,0,0,0,1,0,5,4,2,0,12
"2021-04-17",0,0,0,1,0,0,0,0,2,0,1,6,5,3,3,1,22
"2021-04-18",0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,4
"2021-04-19",0,0,0,0,0,0,0,0,0,1,0,7,9,3,4,0,24
"2021-04-20",0,0,0,0,0,0,0,0,1,0,4,1,6,2,3,0,17
"2021-04-21",0,0,0,0,0,0,0,0,-1,0,2,3,2,3,1,0,10
"2021-04-22",0,0,0,0,0,0,0,1,1,0,1,3,9,6,4,1,26
"2021-04-23",0,0,0,0,0,0,0,0,1,0,2,2,7,6,0,0,18
"2021-04-24",0,0,0,0,0,0,0,0,1,0,2,2,1,3,3,0,12
"2021-04-25",0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,5
"2021-04-26",0,0,0,0,0,0,1,0,0,3,2,3,11,4,3,1,28
"2021-04-27",0,0,0,0,0,0,0,0,1,0,0,2,4,2,2,1,12
"2021-04-28",0,0,0,0,0,1,0,0,1,0,3,7,10,5,3,2,32
