"Leeftijd","Aanwezig","Datum","Type"
"30 - 34",1,"2020-07-19","IC"
"35 - 39",1,"2020-07-19","IC"
"40 - 44",1,"2020-07-19","IC"
"45 - 49",0,"2020-07-19","IC"
"50 - 54",4,"2020-07-19","IC"
"55 - 59",3,"2020-07-19","IC"
"60 - 64",3,"2020-07-19","IC"
"65 - 69",7,"2020-07-19","IC"
"70 - 74",5,"2020-07-19","IC"
"75 - 79",5,"2020-07-19","IC"
"80 - 84",0,"2020-07-19","IC"
"85 - 89",0,"2020-07-19","IC"
">90",0,"2020-07-19","IC"
"<20",0,"2020-07-20","IC"
"20 - 24",1,"2020-07-20","IC"
"25 - 29",1,"2020-07-20","IC"
"30 - 34",1,"2020-07-20","IC"
"35 - 39",1,"2020-07-20","IC"
"40 - 44",1,"2020-07-20","IC"
"45 - 49",0,"2020-07-20","IC"
"50 - 54",4,"2020-07-20","IC"
"55 - 59",3,"2020-07-20","IC"
"60 - 64",4,"2020-07-20","IC"
"65 - 69",7,"2020-07-20","IC"
"70 - 74",6,"2020-07-20","IC"
"75 - 79",5,"2020-07-20","IC"
"80 - 84",0,"2020-07-20","IC"
"85 - 89",0,"2020-07-20","IC"
">90",0,"2020-07-20","IC"
"<20",0,"2020-07-21","IC"
"20 - 24",1,"2020-07-21","IC"
"25 - 29",0,"2020-07-21","IC"
"30 - 34",1,"2020-07-21","IC"
"35 - 39",2,"2020-07-21","IC"
"40 - 44",1,"2020-07-21","IC"
"45 - 49",0,"2020-07-21","IC"
"50 - 54",2,"2020-07-21","IC"
"55 - 59",4,"2020-07-21","IC"
"60 - 64",4,"2020-07-21","IC"
"65 - 69",5,"2020-07-21","IC"
"70 - 74",7,"2020-07-21","IC"
"75 - 79",6,"2020-07-21","IC"
"80 - 84",0,"2020-07-21","IC"
"85 - 89",0,"2020-07-21","IC"
">90",0,"2020-07-21","IC"
"<20",0,"2020-07-22","IC"
"20 - 24",1,"2020-07-22","IC"
"25 - 29",0,"2020-07-22","IC"
"30 - 34",1,"2020-07-22","IC"
"35 - 39",2,"2020-07-22","IC"
"40 - 44",2,"2020-07-22","IC"
"45 - 49",0,"2020-07-22","IC"
"50 - 54",2,"2020-07-22","IC"
"55 - 59",3,"2020-07-22","IC"
"60 - 64",2,"2020-07-22","IC"
"65 - 69",5,"2020-07-22","IC"
"70 - 74",8,"2020-07-22","IC"
"75 - 79",6,"2020-07-22","IC"
"80 - 84",0,"2020-07-22","IC"
"85 - 89",0,"2020-07-22","IC"
">90",0,"2020-07-22","IC"
"<20",0,"2020-07-23","IC"
"20 - 24",1,"2020-07-23","IC"
"25 - 29",0,"2020-07-23","IC"
"30 - 34",1,"2020-07-23","IC"
"35 - 39",2,"2020-07-23","IC"
"40 - 44",2,"2020-07-23","IC"
"45 - 49",0,"2020-07-23","IC"
"50 - 54",2,"2020-07-23","IC"
"55 - 59",4,"2020-07-23","IC"
"60 - 64",2,"2020-07-23","IC"
"65 - 69",4,"2020-07-23","IC"
"70 - 74",8,"2020-07-23","IC"
"75 - 79",6,"2020-07-23","IC"
"80 - 84",0,"2020-07-23","IC"
"85 - 89",0,"2020-07-23","IC"
">90",0,"2020-07-23","IC"
"<20",0,"2020-07-24","IC"
"20 - 24",1,"2020-07-24","IC"
"25 - 29",0,"2020-07-24","IC"
"30 - 34",1,"2020-07-24","IC"
"35 - 39",2,"2020-07-24","IC"
"40 - 44",2,"2020-07-24","IC"
"45 - 49",0,"2020-07-24","IC"
"50 - 54",2,"2020-07-24","IC"
"55 - 59",4,"2020-07-24","IC"
"60 - 64",3,"2020-07-24","IC"
"65 - 69",2,"2020-07-24","IC"
"70 - 74",8,"2020-07-24","IC"
"75 - 79",6,"2020-07-24","IC"
"80 - 84",0,"2020-07-24","IC"
"85 - 89",0,"2020-07-24","IC"
">90",0,"2020-07-24","IC"
"<20",0,"2020-07-25","IC"
"20 - 24",1,"2020-07-25","IC"
"25 - 29",0,"2020-07-25","IC"
"30 - 34",0,"2020-07-25","IC"
"35 - 39",2,"2020-07-25","IC"
"40 - 44",2,"2020-07-25","IC"
"45 - 49",0,"2020-07-25","IC"
"50 - 54",2,"2020-07-25","IC"
"55 - 59",4,"2020-07-25","IC"
"60 - 64",4,"2020-07-25","IC"
"65 - 69",2,"2020-07-25","IC"
"70 - 74",8,"2020-07-25","IC"
"75 - 79",6,"2020-07-25","IC"
"80 - 84",0,"2020-07-25","IC"
"85 - 89",0,"2020-07-25","IC"
">90",0,"2020-07-25","IC"
"<20",0,"2020-07-26","IC"
"20 - 24",1,"2020-07-26","IC"
"25 - 29",0,"2020-07-26","IC"
"30 - 34",0,"2020-07-26","IC"
"35 - 39",2,"2020-07-26","IC"
"40 - 44",2,"2020-07-26","IC"
"45 - 49",0,"2020-07-26","IC"
"50 - 54",2,"2020-07-26","IC"
"55 - 59",3,"2020-07-26","IC"
"60 - 64",4,"2020-07-26","IC"
"65 - 69",3,"2020-07-26","IC"
"70 - 74",6,"2020-07-26","IC"
"75 - 79",6,"2020-07-26","IC"
"80 - 84",0,"2020-07-26","IC"
"85 - 89",0,"2020-07-26","IC"
">90",0,"2020-07-26","IC"
"<20",0,"2020-07-27","IC"
"20 - 24",1,"2020-07-27","IC"
"25 - 29",0,"2020-07-27","IC"
"30 - 34",1,"2020-07-27","IC"
"35 - 39",2,"2020-07-27","IC"
"40 - 44",1,"2020-07-27","IC"
"45 - 49",0,"2020-07-27","IC"
"50 - 54",2,"2020-07-27","IC"
"55 - 59",2,"2020-07-27","IC"
"60 - 64",4,"2020-07-27","IC"
"65 - 69",2,"2020-07-27","IC"
"70 - 74",5,"2020-07-27","IC"
"75 - 79",7,"2020-07-27","IC"
"80 - 84",2,"2020-07-27","IC"
"85 - 89",0,"2020-07-27","IC"
">90",0,"2020-07-27","IC"
"<20",0,"2020-07-28","IC"
"20 - 24",1,"2020-07-28","IC"
"25 - 29",0,"2020-07-28","IC"
"30 - 34",1,"2020-07-28","IC"
"35 - 39",2,"2020-07-28","IC"
"40 - 44",2,"2020-07-28","IC"
"45 - 49",0,"2020-07-28","IC"
"50 - 54",4,"2020-07-28","IC"
"55 - 59",2,"2020-07-28","IC"
"60 - 64",4,"2020-07-28","IC"
"65 - 69",3,"2020-07-28","IC"
"70 - 74",6,"2020-07-28","IC"
"75 - 79",5,"2020-07-28","IC"
"80 - 84",4,"2020-07-28","IC"
"85 - 89",0,"2020-07-28","IC"
">90",0,"2020-07-28","IC"
"<20",0,"2020-07-29","IC"
"20 - 24",1,"2020-07-29","IC"
"25 - 29",0,"2020-07-29","IC"
"30 - 34",1,"2020-07-29","IC"
"35 - 39",2,"2020-07-29","IC"
"40 - 44",1,"2020-07-29","IC"
"45 - 49",0,"2020-07-29","IC"
"50 - 54",4,"2020-07-29","IC"
"55 - 59",2,"2020-07-29","IC"
"60 - 64",3,"2020-07-29","IC"
"65 - 69",3,"2020-07-29","IC"
"70 - 74",5,"2020-07-29","IC"
"75 - 79",5,"2020-07-29","IC"
"80 - 84",1,"2020-07-29","IC"
"85 - 89",0,"2020-07-29","IC"
">90",0,"2020-07-29","IC"
"<20",0,"2020-07-30","IC"
"20 - 24",1,"2020-07-30","IC"
"25 - 29",0,"2020-07-30","IC"
"30 - 34",1,"2020-07-30","IC"
"35 - 39",2,"2020-07-30","IC"
"40 - 44",2,"2020-07-30","IC"
"45 - 49",0,"2020-07-30","IC"
"50 - 54",3,"2020-07-30","IC"
"55 - 59",2,"2020-07-30","IC"
"60 - 64",3,"2020-07-30","IC"
"65 - 69",3,"2020-07-30","IC"
"70 - 74",5,"2020-07-30","IC"
"75 - 79",5,"2020-07-30","IC"
"80 - 84",1,"2020-07-30","IC"
"85 - 89",0,"2020-07-30","IC"
">90",0,"2020-07-30","IC"
"<20",1,"2020-07-31","IC"
"20 - 24",1,"2020-07-31","IC"
"25 - 29",0,"2020-07-31","IC"
"30 - 34",1,"2020-07-31","IC"
"35 - 39",1,"2020-07-31","IC"
"40 - 44",4,"2020-07-31","IC"
"45 - 49",0,"2020-07-31","IC"
"50 - 54",2,"2020-07-31","IC"
"55 - 59",3,"2020-07-31","IC"
"60 - 64",5,"2020-07-31","IC"
"65 - 69",3,"2020-07-31","IC"
"70 - 74",4,"2020-07-31","IC"
"75 - 79",6,"2020-07-31","IC"
"80 - 84",3,"2020-07-31","IC"
"85 - 89",1,"2020-07-31","IC"
">90",0,"2020-07-31","IC"
"<20",1,"2020-08-01","IC"
"20 - 24",1,"2020-08-01","IC"
"25 - 29",0,"2020-08-01","IC"
"30 - 34",1,"2020-08-01","IC"
"35 - 39",1,"2020-08-01","IC"
"40 - 44",4,"2020-08-01","IC"
"45 - 49",0,"2020-08-01","IC"
"50 - 54",2,"2020-08-01","IC"
"55 - 59",3,"2020-08-01","IC"
"60 - 64",5,"2020-08-01","IC"
"65 - 69",3,"2020-08-01","IC"
"70 - 74",6,"2020-08-01","IC"
"75 - 79",6,"2020-08-01","IC"
"80 - 84",3,"2020-08-01","IC"
"85 - 89",0,"2020-08-01","IC"
">90",0,"2020-08-01","IC"
"<20",1,"2020-08-02","IC"
"20 - 24",1,"2020-08-02","IC"
"25 - 29",0,"2020-08-02","IC"
"30 - 34",1,"2020-08-02","IC"
"35 - 39",1,"2020-08-02","IC"
"40 - 44",4,"2020-08-02","IC"
"45 - 49",0,"2020-08-02","IC"
"50 - 54",2,"2020-08-02","IC"
"55 - 59",2,"2020-08-02","IC"
"60 - 64",5,"2020-08-02","IC"
"65 - 69",4,"2020-08-02","IC"
"70 - 74",5,"2020-08-02","IC"
"75 - 79",6,"2020-08-02","IC"
"80 - 84",3,"2020-08-02","IC"
"85 - 89",0,"2020-08-02","IC"
">90",0,"2020-08-02","IC"
"<20",1,"2020-08-03","IC"
"20 - 24",1,"2020-08-03","IC"
"25 - 29",0,"2020-08-03","IC"
"30 - 34",1,"2020-08-03","IC"
"35 - 39",1,"2020-08-03","IC"
"40 - 44",3,"2020-08-03","IC"
"45 - 49",1,"2020-08-03","IC"
"50 - 54",2,"2020-08-03","IC"
"55 - 59",5,"2020-08-03","IC"
"60 - 64",4,"2020-08-03","IC"
"65 - 69",5,"2020-08-03","IC"
"70 - 74",6,"2020-08-03","IC"
"75 - 79",8,"2020-08-03","IC"
"80 - 84",3,"2020-08-03","IC"
"85 - 89",1,"2020-08-03","IC"
">90",0,"2020-08-03","IC"
"<20",1,"2020-08-04","IC"
"20 - 24",1,"2020-08-04","IC"
"25 - 29",1,"2020-08-04","IC"
"30 - 34",1,"2020-08-04","IC"
"35 - 39",1,"2020-08-04","IC"
"40 - 44",2,"2020-08-04","IC"
"45 - 49",1,"2020-08-04","IC"
"50 - 54",2,"2020-08-04","IC"
"55 - 59",4,"2020-08-04","IC"
"60 - 64",6,"2020-08-04","IC"
"65 - 69",5,"2020-08-04","IC"
"70 - 74",7,"2020-08-04","IC"
"75 - 79",7,"2020-08-04","IC"
"80 - 84",2,"2020-08-04","IC"
"85 - 89",1,"2020-08-04","IC"
">90",0,"2020-08-04","IC"
"<20",1,"2020-08-05","IC"
"20 - 24",1,"2020-08-05","IC"
"25 - 29",1,"2020-08-05","IC"
"30 - 34",1,"2020-08-05","IC"
"35 - 39",0,"2020-08-05","IC"
"40 - 44",2,"2020-08-05","IC"
"45 - 49",1,"2020-08-05","IC"
"50 - 54",2,"2020-08-05","IC"
"55 - 59",5,"2020-08-05","IC"
"60 - 64",7,"2020-08-05","IC"
"65 - 69",6,"2020-08-05","IC"
"70 - 74",7,"2020-08-05","IC"
"75 - 79",5,"2020-08-05","IC"
"80 - 84",2,"2020-08-05","IC"
"85 - 89",1,"2020-08-05","IC"
">90",0,"2020-08-05","IC"
"<20",1,"2020-08-06","IC"
"20 - 24",1,"2020-08-06","IC"
"25 - 29",1,"2020-08-06","IC"
"30 - 34",1,"2020-08-06","IC"
"35 - 39",0,"2020-08-06","IC"
"40 - 44",2,"2020-08-06","IC"
"45 - 49",2,"2020-08-06","IC"
"50 - 54",2,"2020-08-06","IC"
"55 - 59",3,"2020-08-06","IC"
"60 - 64",6,"2020-08-06","IC"
"65 - 69",5,"2020-08-06","IC"
"70 - 74",7,"2020-08-06","IC"
"75 - 79",4,"2020-08-06","IC"
"80 - 84",2,"2020-08-06","IC"
"85 - 89",0,"2020-08-06","IC"
">90",0,"2020-08-06","IC"
"<20",1,"2020-08-07","IC"
"20 - 24",1,"2020-08-07","IC"
"25 - 29",1,"2020-08-07","IC"
"30 - 34",1,"2020-08-07","IC"
"35 - 39",0,"2020-08-07","IC"
"40 - 44",2,"2020-08-07","IC"
"45 - 49",3,"2020-08-07","IC"
"50 - 54",2,"2020-08-07","IC"
"55 - 59",3,"2020-08-07","IC"
"60 - 64",5,"2020-08-07","IC"
"65 - 69",6,"2020-08-07","IC"
"70 - 74",6,"2020-08-07","IC"
"75 - 79",4,"2020-08-07","IC"
"80 - 84",3,"2020-08-07","IC"
"85 - 89",0,"2020-08-07","IC"
">90",0,"2020-08-07","IC"
"<20",1,"2020-08-08","IC"
"20 - 24",1,"2020-08-08","IC"
"25 - 29",1,"2020-08-08","IC"
"30 - 34",1,"2020-08-08","IC"
"35 - 39",0,"2020-08-08","IC"
"40 - 44",2,"2020-08-08","IC"
"45 - 49",2,"2020-08-08","IC"
"50 - 54",3,"2020-08-08","IC"
"55 - 59",3,"2020-08-08","IC"
"60 - 64",5,"2020-08-08","IC"
"65 - 69",6,"2020-08-08","IC"
"70 - 74",6,"2020-08-08","IC"
"75 - 79",4,"2020-08-08","IC"
"80 - 84",3,"2020-08-08","IC"
"85 - 89",0,"2020-08-08","IC"
">90",0,"2020-08-08","IC"
"<20",1,"2020-08-09","IC"
"20 - 24",1,"2020-08-09","IC"
"25 - 29",1,"2020-08-09","IC"
"30 - 34",1,"2020-08-09","IC"
"35 - 39",0,"2020-08-09","IC"
"40 - 44",2,"2020-08-09","IC"
"45 - 49",2,"2020-08-09","IC"
"50 - 54",3,"2020-08-09","IC"
"55 - 59",3,"2020-08-09","IC"
"60 - 64",6,"2020-08-09","IC"
"65 - 69",6,"2020-08-09","IC"
"70 - 74",6,"2020-08-09","IC"
"75 - 79",4,"2020-08-09","IC"
"80 - 84",3,"2020-08-09","IC"
"85 - 89",0,"2020-08-09","IC"
">90",0,"2020-08-09","IC"
"<20",0,"2020-08-10","IC"
"20 - 24",1,"2020-08-10","IC"
"25 - 29",0,"2020-08-10","IC"
"30 - 34",1,"2020-08-10","IC"
"35 - 39",0,"2020-08-10","IC"
"40 - 44",2,"2020-08-10","IC"
"45 - 49",3,"2020-08-10","IC"
"50 - 54",6,"2020-08-10","IC"
"55 - 59",4,"2020-08-10","IC"
"60 - 64",9,"2020-08-10","IC"
"65 - 69",5,"2020-08-10","IC"
"70 - 74",6,"2020-08-10","IC"
"75 - 79",3,"2020-08-10","IC"
"80 - 84",2,"2020-08-10","IC"
"85 - 89",0,"2020-08-10","IC"
">90",0,"2020-08-10","IC"
"<20",0,"2020-08-11","IC"
"20 - 24",1,"2020-08-11","IC"
"25 - 29",0,"2020-08-11","IC"
"30 - 34",1,"2020-08-11","IC"
"35 - 39",1,"2020-08-11","IC"
"40 - 44",3,"2020-08-11","IC"
"45 - 49",3,"2020-08-11","IC"
"50 - 54",4,"2020-08-11","IC"
"55 - 59",4,"2020-08-11","IC"
"60 - 64",8,"2020-08-11","IC"
"65 - 69",7,"2020-08-11","IC"
"70 - 74",4,"2020-08-11","IC"
"75 - 79",2,"2020-08-11","IC"
"80 - 84",3,"2020-08-11","IC"
"85 - 89",0,"2020-08-11","IC"
">90",0,"2020-08-11","IC"
"<20",0,"2020-08-12","IC"
"20 - 24",1,"2020-08-12","IC"
"25 - 29",0,"2020-08-12","IC"
"30 - 34",2,"2020-08-12","IC"
"35 - 39",1,"2020-08-12","IC"
"40 - 44",3,"2020-08-12","IC"
"45 - 49",2,"2020-08-12","IC"
"50 - 54",6,"2020-08-12","IC"
"55 - 59",4,"2020-08-12","IC"
"60 - 64",10,"2020-08-12","IC"
"65 - 69",6,"2020-08-12","IC"
"70 - 74",4,"2020-08-12","IC"
"75 - 79",3,"2020-08-12","IC"
"80 - 84",2,"2020-08-12","IC"
"85 - 89",0,"2020-08-12","IC"
">90",0,"2020-08-12","IC"
"<20",0,"2020-08-13","IC"
"20 - 24",1,"2020-08-13","IC"
"25 - 29",0,"2020-08-13","IC"
"30 - 34",1,"2020-08-13","IC"
"35 - 39",1,"2020-08-13","IC"
"40 - 44",1,"2020-08-13","IC"
"45 - 49",4,"2020-08-13","IC"
"50 - 54",6,"2020-08-13","IC"
"55 - 59",5,"2020-08-13","IC"
"60 - 64",12,"2020-08-13","IC"
"65 - 69",8,"2020-08-13","IC"
"70 - 74",5,"2020-08-13","IC"
"75 - 79",6,"2020-08-13","IC"
"80 - 84",2,"2020-08-13","IC"
"85 - 89",0,"2020-08-13","IC"
">90",0,"2020-08-13","IC"
"<20",0,"2020-08-14","IC"
"20 - 24",1,"2020-08-14","IC"
"25 - 29",0,"2020-08-14","IC"
"30 - 34",1,"2020-08-14","IC"
"35 - 39",1,"2020-08-14","IC"
"40 - 44",2,"2020-08-14","IC"
"45 - 49",5,"2020-08-14","IC"
"50 - 54",5,"2020-08-14","IC"
"55 - 59",3,"2020-08-14","IC"
"60 - 64",14,"2020-08-14","IC"
"65 - 69",12,"2020-08-14","IC"
"70 - 74",8,"2020-08-14","IC"
"75 - 79",4,"2020-08-14","IC"
"80 - 84",3,"2020-08-14","IC"
"85 - 89",0,"2020-08-14","IC"
">90",0,"2020-08-14","IC"
"<20",0,"2020-08-15","IC"
"20 - 24",1,"2020-08-15","IC"
"25 - 29",0,"2020-08-15","IC"
"30 - 34",1,"2020-08-15","IC"
"35 - 39",1,"2020-08-15","IC"
"40 - 44",2,"2020-08-15","IC"
"45 - 49",4,"2020-08-15","IC"
"50 - 54",5,"2020-08-15","IC"
"55 - 59",3,"2020-08-15","IC"
"60 - 64",14,"2020-08-15","IC"
"65 - 69",12,"2020-08-15","IC"
"70 - 74",8,"2020-08-15","IC"
"75 - 79",5,"2020-08-15","IC"
"80 - 84",1,"2020-08-15","IC"
"85 - 89",0,"2020-08-15","IC"
">90",0,"2020-08-15","IC"
"<20",0,"2020-08-16","IC"
"20 - 24",1,"2020-08-16","IC"
"25 - 29",0,"2020-08-16","IC"
"30 - 34",1,"2020-08-16","IC"
"35 - 39",1,"2020-08-16","IC"
"40 - 44",2,"2020-08-16","IC"
"45 - 49",4,"2020-08-16","IC"
"50 - 54",6,"2020-08-16","IC"
"55 - 59",3,"2020-08-16","IC"
"60 - 64",12,"2020-08-16","IC"
"65 - 69",11,"2020-08-16","IC"
"70 - 74",8,"2020-08-16","IC"
"75 - 79",5,"2020-08-16","IC"
"80 - 84",1,"2020-08-16","IC"
"85 - 89",0,"2020-08-16","IC"
">90",0,"2020-08-16","IC"
"<20",0,"2020-08-17","IC"
"20 - 24",1,"2020-08-17","IC"
"25 - 29",1,"2020-08-17","IC"
"30 - 34",1,"2020-08-17","IC"
"35 - 39",1,"2020-08-17","IC"
"40 - 44",2,"2020-08-17","IC"
"45 - 49",4,"2020-08-17","IC"
"50 - 54",8,"2020-08-17","IC"
"55 - 59",2,"2020-08-17","IC"
"60 - 64",14,"2020-08-17","IC"
"65 - 69",9,"2020-08-17","IC"
"70 - 74",8,"2020-08-17","IC"
"75 - 79",4,"2020-08-17","IC"
"80 - 84",1,"2020-08-17","IC"
"85 - 89",0,"2020-08-17","IC"
">90",0,"2020-08-17","IC"
"<20",0,"2020-08-18","IC"
"20 - 24",1,"2020-08-18","IC"
"25 - 29",0,"2020-08-18","IC"
"30 - 34",1,"2020-08-18","IC"
"35 - 39",2,"2020-08-18","IC"
"40 - 44",2,"2020-08-18","IC"
"45 - 49",4,"2020-08-18","IC"
"50 - 54",7,"2020-08-18","IC"
"55 - 59",3,"2020-08-18","IC"
"60 - 64",11,"2020-08-18","IC"
"65 - 69",11,"2020-08-18","IC"
"70 - 74",5,"2020-08-18","IC"
"75 - 79",5,"2020-08-18","IC"
"80 - 84",1,"2020-08-18","IC"
"85 - 89",0,"2020-08-18","IC"
">90",0,"2020-08-18","IC"
"<20",0,"2020-08-19","IC"
"20 - 24",1,"2020-08-19","IC"
"25 - 29",0,"2020-08-19","IC"
"30 - 34",1,"2020-08-19","IC"
"35 - 39",2,"2020-08-19","IC"
"40 - 44",2,"2020-08-19","IC"
"45 - 49",4,"2020-08-19","IC"
"50 - 54",6,"2020-08-19","IC"
"55 - 59",4,"2020-08-19","IC"
"60 - 64",11,"2020-08-19","IC"
"65 - 69",11,"2020-08-19","IC"
"70 - 74",5,"2020-08-19","IC"
"75 - 79",4,"2020-08-19","IC"
"80 - 84",2,"2020-08-19","IC"
"85 - 89",0,"2020-08-19","IC"
">90",1,"2020-08-19","IC"
"<20",0,"2020-08-20","IC"
"20 - 24",1,"2020-08-20","IC"
"25 - 29",0,"2020-08-20","IC"
"30 - 34",1,"2020-08-20","IC"
"35 - 39",1,"2020-08-20","IC"
"40 - 44",2,"2020-08-20","IC"
"45 - 49",3,"2020-08-20","IC"
"50 - 54",6,"2020-08-20","IC"
"55 - 59",4,"2020-08-20","IC"
"60 - 64",10,"2020-08-20","IC"
"65 - 69",12,"2020-08-20","IC"
"70 - 74",5,"2020-08-20","IC"
"75 - 79",4,"2020-08-20","IC"
"80 - 84",2,"2020-08-20","IC"
"85 - 89",0,"2020-08-20","IC"
">90",2,"2020-08-20","IC"
"<20",0,"2020-08-21","IC"
"20 - 24",1,"2020-08-21","IC"
"25 - 29",0,"2020-08-21","IC"
"30 - 34",1,"2020-08-21","IC"
"35 - 39",3,"2020-08-21","IC"
"40 - 44",2,"2020-08-21","IC"
"45 - 49",4,"2020-08-21","IC"
"50 - 54",6,"2020-08-21","IC"
"55 - 59",5,"2020-08-21","IC"
"60 - 64",11,"2020-08-21","IC"
"65 - 69",12,"2020-08-21","IC"
"70 - 74",6,"2020-08-21","IC"
"75 - 79",3,"2020-08-21","IC"
"80 - 84",3,"2020-08-21","IC"
"85 - 89",0,"2020-08-21","IC"
">90",0,"2020-08-21","IC"
"<20",0,"2020-08-22","IC"
"20 - 24",1,"2020-08-22","IC"
"25 - 29",0,"2020-08-22","IC"
"30 - 34",1,"2020-08-22","IC"
"35 - 39",2,"2020-08-22","IC"
"40 - 44",2,"2020-08-22","IC"
"45 - 49",3,"2020-08-22","IC"
"50 - 54",7,"2020-08-22","IC"
"55 - 59",6,"2020-08-22","IC"
"60 - 64",10,"2020-08-22","IC"
"65 - 69",11,"2020-08-22","IC"
"70 - 74",6,"2020-08-22","IC"
"75 - 79",3,"2020-08-22","IC"
"80 - 84",2,"2020-08-22","IC"
"85 - 89",0,"2020-08-22","IC"
">90",0,"2020-08-22","IC"
"<20",0,"2020-08-23","IC"
"20 - 24",1,"2020-08-23","IC"
"25 - 29",0,"2020-08-23","IC"
"30 - 34",1,"2020-08-23","IC"
"35 - 39",1,"2020-08-23","IC"
"40 - 44",2,"2020-08-23","IC"
"45 - 49",3,"2020-08-23","IC"
"50 - 54",7,"2020-08-23","IC"
"55 - 59",6,"2020-08-23","IC"
"60 - 64",10,"2020-08-23","IC"
"65 - 69",12,"2020-08-23","IC"
"70 - 74",5,"2020-08-23","IC"
"75 - 79",3,"2020-08-23","IC"
"80 - 84",2,"2020-08-23","IC"
"85 - 89",0,"2020-08-23","IC"
">90",0,"2020-08-23","IC"
"<20",0,"2020-08-24","IC"
"20 - 24",1,"2020-08-24","IC"
"25 - 29",0,"2020-08-24","IC"
"30 - 34",1,"2020-08-24","IC"
"35 - 39",1,"2020-08-24","IC"
"40 - 44",2,"2020-08-24","IC"
"45 - 49",3,"2020-08-24","IC"
"50 - 54",9,"2020-08-24","IC"
"55 - 59",6,"2020-08-24","IC"
"60 - 64",12,"2020-08-24","IC"
"65 - 69",11,"2020-08-24","IC"
"70 - 74",7,"2020-08-24","IC"
"75 - 79",2,"2020-08-24","IC"
"80 - 84",2,"2020-08-24","IC"
"85 - 89",0,"2020-08-24","IC"
">90",0,"2020-08-24","IC"
"<20",0,"2020-08-25","IC"
"20 - 24",1,"2020-08-25","IC"
"25 - 29",0,"2020-08-25","IC"
"30 - 34",1,"2020-08-25","IC"
"35 - 39",1,"2020-08-25","IC"
"40 - 44",2,"2020-08-25","IC"
"45 - 49",3,"2020-08-25","IC"
"50 - 54",6,"2020-08-25","IC"
"55 - 59",7,"2020-08-25","IC"
"60 - 64",9,"2020-08-25","IC"
"65 - 69",12,"2020-08-25","IC"
"70 - 74",6,"2020-08-25","IC"
"75 - 79",1,"2020-08-25","IC"
"80 - 84",3,"2020-08-25","IC"
"85 - 89",0,"2020-08-25","IC"
">90",0,"2020-08-25","IC"
"<20",0,"2020-08-26","IC"
"20 - 24",1,"2020-08-26","IC"
"25 - 29",0,"2020-08-26","IC"
"30 - 34",0,"2020-08-26","IC"
"35 - 39",1,"2020-08-26","IC"
"40 - 44",2,"2020-08-26","IC"
"45 - 49",2,"2020-08-26","IC"
"50 - 54",6,"2020-08-26","IC"
"55 - 59",6,"2020-08-26","IC"
"60 - 64",10,"2020-08-26","IC"
"65 - 69",10,"2020-08-26","IC"
"70 - 74",6,"2020-08-26","IC"
"75 - 79",1,"2020-08-26","IC"
"80 - 84",2,"2020-08-26","IC"
"85 - 89",0,"2020-08-26","IC"
">90",0,"2020-08-26","IC"
"<20",0,"2020-08-27","IC"
"20 - 24",1,"2020-08-27","IC"
"25 - 29",0,"2020-08-27","IC"
"30 - 34",0,"2020-08-27","IC"
"35 - 39",1,"2020-08-27","IC"
"40 - 44",2,"2020-08-27","IC"
"45 - 49",2,"2020-08-27","IC"
"50 - 54",9,"2020-08-27","IC"
"55 - 59",5,"2020-08-27","IC"
"60 - 64",10,"2020-08-27","IC"
"65 - 69",9,"2020-08-27","IC"
"70 - 74",7,"2020-08-27","IC"
"75 - 79",2,"2020-08-27","IC"
"80 - 84",2,"2020-08-27","IC"
"85 - 89",0,"2020-08-27","IC"
">90",0,"2020-08-27","IC"
"<20",0,"2020-08-28","IC"
"20 - 24",1,"2020-08-28","IC"
"25 - 29",0,"2020-08-28","IC"
"30 - 34",0,"2020-08-28","IC"
"35 - 39",1,"2020-08-28","IC"
"40 - 44",2,"2020-08-28","IC"
"45 - 49",2,"2020-08-28","IC"
"50 - 54",8,"2020-08-28","IC"
"55 - 59",4,"2020-08-28","IC"
"60 - 64",9,"2020-08-28","IC"
"65 - 69",10,"2020-08-28","IC"
"70 - 74",6,"2020-08-28","IC"
"75 - 79",1,"2020-08-28","IC"
"80 - 84",3,"2020-08-28","IC"
"85 - 89",0,"2020-08-28","IC"
">90",0,"2020-08-28","IC"
"<20",0,"2020-08-31","IC"
"20 - 24",1,"2020-08-31","IC"
"25 - 29",0,"2020-08-31","IC"
"30 - 34",0,"2020-08-31","IC"
"35 - 39",1,"2020-08-31","IC"
"40 - 44",2,"2020-08-31","IC"
"45 - 49",2,"2020-08-31","IC"
"50 - 54",8,"2020-08-31","IC"
"55 - 59",3,"2020-08-31","IC"
"60 - 64",9,"2020-08-31","IC"
"65 - 69",11,"2020-08-31","IC"
"70 - 74",8,"2020-08-31","IC"
"75 - 79",3,"2020-08-31","IC"
"80 - 84",2,"2020-08-31","IC"
"85 - 89",1,"2020-08-31","IC"
">90",0,"2020-08-31","IC"
"<20",0,"2020-09-01","IC"
"20 - 24",1,"2020-09-01","IC"
"25 - 29",0,"2020-09-01","IC"
"30 - 34",0,"2020-09-01","IC"
"35 - 39",1,"2020-09-01","IC"
"40 - 44",2,"2020-09-01","IC"
"45 - 49",1,"2020-09-01","IC"
"50 - 54",5,"2020-09-01","IC"
"55 - 59",3,"2020-09-01","IC"
"60 - 64",9,"2020-09-01","IC"
