"Leeftijd","Aanwezig","Datum","Type"
"35 - 39",15,"2020-11-15","Klinisch"
"40 - 44",32,"2020-11-15","Klinisch"
"45 - 49",48,"2020-11-15","Klinisch"
"50 - 54",95,"2020-11-15","Klinisch"
"55 - 59",126,"2020-11-15","Klinisch"
"60 - 64",159,"2020-11-15","Klinisch"
"65 - 69",173,"2020-11-15","Klinisch"
"70 - 74",215,"2020-11-15","Klinisch"
"75 - 79",238,"2020-11-15","Klinisch"
"80 - 84",255,"2020-11-15","Klinisch"
"85 - 89",140,"2020-11-15","Klinisch"
">90",63,"2020-11-15","Klinisch"
"<20",40,"2020-11-16","Klinisch"
"20 - 24",4,"2020-11-16","Klinisch"
"25 - 29",13,"2020-11-16","Klinisch"
"30 - 34",21,"2020-11-16","Klinisch"
"35 - 39",18,"2020-11-16","Klinisch"
"40 - 44",35,"2020-11-16","Klinisch"
"45 - 49",47,"2020-11-16","Klinisch"
"50 - 54",92,"2020-11-16","Klinisch"
"55 - 59",126,"2020-11-16","Klinisch"
"60 - 64",169,"2020-11-16","Klinisch"
"65 - 69",181,"2020-11-16","Klinisch"
"70 - 74",218,"2020-11-16","Klinisch"
"75 - 79",253,"2020-11-16","Klinisch"
"80 - 84",260,"2020-11-16","Klinisch"
"85 - 89",166,"2020-11-16","Klinisch"
">90",71,"2020-11-16","Klinisch"
"<20",37,"2020-11-17","Klinisch"
"20 - 24",5,"2020-11-17","Klinisch"
"25 - 29",15,"2020-11-17","Klinisch"
"30 - 34",23,"2020-11-17","Klinisch"
"35 - 39",18,"2020-11-17","Klinisch"
"40 - 44",38,"2020-11-17","Klinisch"
"45 - 49",50,"2020-11-17","Klinisch"
"50 - 54",94,"2020-11-17","Klinisch"
"55 - 59",127,"2020-11-17","Klinisch"
"60 - 64",156,"2020-11-17","Klinisch"
"65 - 69",177,"2020-11-17","Klinisch"
"70 - 74",219,"2020-11-17","Klinisch"
"75 - 79",248,"2020-11-17","Klinisch"
"80 - 84",267,"2020-11-17","Klinisch"
"85 - 89",163,"2020-11-17","Klinisch"
">90",54,"2020-11-17","Klinisch"
"<20",41,"2020-11-18","Klinisch"
"20 - 24",8,"2020-11-18","Klinisch"
"25 - 29",15,"2020-11-18","Klinisch"
"30 - 34",26,"2020-11-18","Klinisch"
"35 - 39",21,"2020-11-18","Klinisch"
"40 - 44",40,"2020-11-18","Klinisch"
"45 - 49",47,"2020-11-18","Klinisch"
"50 - 54",87,"2020-11-18","Klinisch"
"55 - 59",121,"2020-11-18","Klinisch"
"60 - 64",166,"2020-11-18","Klinisch"
"65 - 69",178,"2020-11-18","Klinisch"
"70 - 74",216,"2020-11-18","Klinisch"
"75 - 79",245,"2020-11-18","Klinisch"
"80 - 84",251,"2020-11-18","Klinisch"
"85 - 89",155,"2020-11-18","Klinisch"
">90",51,"2020-11-18","Klinisch"
"<20",40,"2020-11-19","Klinisch"
"20 - 24",9,"2020-11-19","Klinisch"
"25 - 29",14,"2020-11-19","Klinisch"
"30 - 34",25,"2020-11-19","Klinisch"
"35 - 39",19,"2020-11-19","Klinisch"
"40 - 44",35,"2020-11-19","Klinisch"
"45 - 49",43,"2020-11-19","Klinisch"
"50 - 54",91,"2020-11-19","Klinisch"
"55 - 59",123,"2020-11-19","Klinisch"
"60 - 64",167,"2020-11-19","Klinisch"
"65 - 69",176,"2020-11-19","Klinisch"
"70 - 74",207,"2020-11-19","Klinisch"
"75 - 79",244,"2020-11-19","Klinisch"
"80 - 84",252,"2020-11-19","Klinisch"
"85 - 89",139,"2020-11-19","Klinisch"
">90",48,"2020-11-19","Klinisch"
"<20",37,"2020-11-20","Klinisch"
"20 - 24",7,"2020-11-20","Klinisch"
"25 - 29",12,"2020-11-20","Klinisch"
"30 - 34",20,"2020-11-20","Klinisch"
"35 - 39",17,"2020-11-20","Klinisch"
"40 - 44",37,"2020-11-20","Klinisch"
"45 - 49",41,"2020-11-20","Klinisch"
"50 - 54",101,"2020-11-20","Klinisch"
"55 - 59",114,"2020-11-20","Klinisch"
"60 - 64",167,"2020-11-20","Klinisch"
"65 - 69",171,"2020-11-20","Klinisch"
"70 - 74",200,"2020-11-20","Klinisch"
"75 - 79",235,"2020-11-20","Klinisch"
"80 - 84",230,"2020-11-20","Klinisch"
"85 - 89",145,"2020-11-20","Klinisch"
">90",45,"2020-11-20","Klinisch"
"<20",34,"2020-11-21","Klinisch"
"20 - 24",7,"2020-11-21","Klinisch"
"25 - 29",14,"2020-11-21","Klinisch"
"30 - 34",23,"2020-11-21","Klinisch"
"35 - 39",18,"2020-11-21","Klinisch"
"40 - 44",30,"2020-11-21","Klinisch"
"45 - 49",34,"2020-11-21","Klinisch"
"50 - 54",96,"2020-11-21","Klinisch"
"55 - 59",109,"2020-11-21","Klinisch"
"60 - 64",160,"2020-11-21","Klinisch"
"65 - 69",168,"2020-11-21","Klinisch"
"70 - 74",189,"2020-11-21","Klinisch"
"75 - 79",241,"2020-11-21","Klinisch"
"80 - 84",223,"2020-11-21","Klinisch"
"85 - 89",133,"2020-11-21","Klinisch"
">90",45,"2020-11-21","Klinisch"
"<20",41,"2020-11-22","Klinisch"
"20 - 24",7,"2020-11-22","Klinisch"
"25 - 29",10,"2020-11-22","Klinisch"
"30 - 34",26,"2020-11-22","Klinisch"
"35 - 39",23,"2020-11-22","Klinisch"
"40 - 44",31,"2020-11-22","Klinisch"
"45 - 49",37,"2020-11-22","Klinisch"
"50 - 54",93,"2020-11-22","Klinisch"
"55 - 59",105,"2020-11-22","Klinisch"
