"Datum","<20","20 - 24","25 - 29","30 - 34","35 - 39","40 - 44","45 - 49","50 - 54","55 - 59","60 - 64","65 - 69","70 - 74","75 - 79","80 - 84","85 - 89",">90","Totaal","Type"
"2021-02-14",0,0,0,0,0,0,0,0,0,1,2,5,3,5,2,4,22,"Klinisch"
"2021-02-15",0,0,0,0,0,0,0,1,0,0,3,6,8,9,5,5,37,"Klinisch"
"2021-02-16",0,0,0,0,0,0,0,0,0,1,2,2,8,8,3,4,28,"Klinisch"
"2021-02-17",0,0,0,0,0,0,0,1,0,0,2,3,6,9,4,4,29,"Klinisch"
"2021-02-18",0,0,0,0,0,0,0,0,0,2,0,2,4,6,4,1,19,"Klinisch"
"2021-02-19",0,0,0,0,0,0,0,0,1,2,2,4,5,3,4,1,22,"Klinisch"
"2021-02-20",0,0,0,0,0,0,0,0,0,0,1,3,5,5,10,1,25,"Klinisch"
"2021-02-21",0,0,0,0,0,0,0,0,1,1,2,1,7,1,6,2,21,"Klinisch"
"2021-02-22",0,0,0,1,0,0,0,1,1,2,11,12,16,24,12,6,86,"Klinisch"
"2021-02-23",0,0,0,0,0,0,0,1,0,3,3,0,6,5,5,2,25,"Klinisch"
"2021-02-24",0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,1,15,"Klinisch"
"2021-02-25",0,0,0,0,0,0,0,0,0,0,0,2,5,5,8,2,22,"Klinisch"
"2021-02-26",0,0,0,0,0,0,0,0,0,0,3,1,5,6,7,3,25,"Klinisch"
"2021-02-27",0,0,0,0,0,0,1,0,0,1,1,2,2,4,5,1,17,"Klinisch"
"2021-02-28",0,0,0,0,0,0,0,0,1,2,5,4,2,8,8,2,32,"Klinisch"
"2021-03-01",0,0,0,0,0,0,0,0,1,0,0,5,5,4,6,6,27,"Klinisch"
"2021-03-02",0,0,0,0,0,0,0,0,1,2,2,7,10,11,4,0,37,"Klinisch"
"2021-03-03",0,0,0,0,0,0,0,0,0,1,1,1,2,3,5,1,14,"Klinisch"
"2021-03-04",0,0,0,0,0,0,0,0,1,2,2,3,5,6,5,2,26,"Klinisch"
"2021-03-05",0,0,0,0,0,0,0,0,0,0,1,2,6,10,2,-2,19,"Klinisch"
"2021-03-06",0,0,0,0,0,0,0,0,1,0,0,0,4,2,1,1,9,"Klinisch"
"2021-03-07",0,0,0,0,0,0,0,0,1,1,1,3,0,4,1,0,11,"Klinisch"
"2021-03-08",0,0,0,0,0,0,0,0,1,0,3,4,7,5,2,1,23,"Klinisch"
"2021-03-09",0,1,0,0,0,0,0,0,0,0,1,1,8,4,2,4,21,"Klinisch"
"2021-03-10",0,0,0,0,0,0,0,0,0,0,0,1,6,4,2,1,14,"Klinisch"
"2021-03-11",0,0,0,0,0,0,0,0,2,0,4,5,3,5,4,0,23,"Klinisch"
"2021-03-12",0,0,0,0,0,0,0,0,0,0,1,2,5,2,7,0,17,"Klinisch"
"2021-03-13",0,0,0,0,0,0,0,1,0,1,1,2,3,7,3,1,19,"Klinisch"
"2021-03-14",0,0,0,0,0,0,0,0,1,0,0,2,2,3,0,0,8,"Klinisch"
"2021-03-15",0,0,0,0,0,0,0,0,0,2,0,4,10,7,5,0,28,"Klinisch"
"2021-03-16",0,0,0,0,0,0,0,0,0,1,0,4,7,1,2,2,17,"Klinisch"
"2021-03-17",0,0,0,0,0,0,0,0,1,0,1,1,4,5,3,3,18,"Klinisch"
"2021-03-18",0,0,0,1,0,0,0,0,0,0,3,2,1,5,0,2,14,"Klinisch"
"2021-03-19",0,0,0,0,0,0,0,0,1,0,1,6,7,5,2,3,25,"Klinisch"
"2021-03-20",0,0,0,0,0,0,0,0,0,2,0,1,6,4,0,0,13,"Klinisch"
"2021-03-21",0,0,0,0,0,0,0,1,0,0,2,3,7,1,1,0,15,"Klinisch"
"2021-03-22",0,0,0,0,0,0,0,0,0,0,2,8,6,7,4,1,28,"Klinisch"
"2021-03-23",0,0,0,0,0,1,0,0,1,2,3,6,6,5,4,3,31,"Klinisch"
"2021-03-24",0,0,0,0,0,1,0,0,0,1,1,3,3,3,2,2,16,"Klinisch"
"2021-03-25",0,0,0,0,0,0,0,0,0,0,1,2,8,7,2,1,21,"Klinisch"
"2021-03-26",0,0,0,0,0,0,0,1,0,0,0,4,7,4,3,4,23,"Klinisch"
"2021-03-27",0,0,0,0,0,0,0,0,0,0,1,0,2,3,1,0,7,"Klinisch"
"2021-03-28",0,0,0,0,0,0,0,0,0,1,1,2,6,2,1,2,15,"Klinisch"
"2021-03-29",0,0,0,0,1,0,0,1,0,2,2,4,10,11,2,2,35,"Klinisch"
"2021-03-30",0,0,0,0,0,0,0,1,0,0,1,4,5,7,0,3,21,"Klinisch"
"2021-03-31",1,0,0,0,0,0,0,0,0,1,1,2,9,5,3,1,23,"Klinisch"
"2021-04-01",0,0,0,0,0,0,0,1,1,1,1,7,7,6,5,1,30,"Klinisch"
"2021-04-02",0,0,0,1,0,0,0,0,0,0,2,7,6,5,5,3,29,"Klinisch"
"2021-04-03",0,0,0,0,0,0,0,0,1,1,0,3,6,9,4,1,25,"Klinisch"
"2021-04-04",0,0,0,0,0,0,0,0,0,0,2,3,4,3,4,0,16,"Klinisch"
"2021-04-05",0,0,0,0,0,0,0,0,2,2,3,3,6,3,3,1,23,"Klinisch"
"2021-04-06",0,0,0,0,0,0,0,0,2,2,0,2,14,7,5,3,35,"Klinisch"
"2021-04-07",0,0,0,0,0,0,0,0,1,2,1,1,7,3,3,0,18,"Klinisch"
"2021-04-08",0,0,0,0,0,0,0,0,2,0,1,1,7,4,2,2,19,"Klinisch"
"2021-04-09",0,0,0,0,0,0,3,0,0,3,3,3,5,4,5,0,26,"Klinisch"
"2021-04-10",0,0,0,0,0,0,0,0,1,0,1,3,4,5,0,1,15,"Klinisch"
"2021-04-11",0,0,0,0,0,0,0,0,0,0,2,1,3,2,1,2,11,"Klinisch"
"2021-04-12",0,0,0,0,0,0,-1,0,0,1,1,4,7,6,3,1,22,"Klinisch"
"2021-04-13",0,0,0,1,0,0,0,0,0,0,0,11,5,8,4,2,31,"Klinisch"
"2021-04-14",0,0,0,0,0,0,0,0,0,1,0,4,10,5,1,2,23,"Klinisch"
"2021-04-15",0,0,0,0,0,0,0,1,0,1,1,3,8,8,1,2,25,"Klinisch"
"2021-04-16",0,0,0,0,0,0,0,0,0,0,1,0,5,4,2,0,12,"Klinisch"
"2021-04-17",0,0,0,1,0,0,0,0,2,0,1,6,5,3,3,1,22,"Klinisch"
"2021-04-18",0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,4,"Klinisch"
"2021-04-19",0,0,0,0,0,0,0,0,0,1,0,7,9,3,4,0,24,"Klinisch"
"2021-04-20",0,0,0,0,0,0,0,0,1,0,4,1,6,2,3,0,17,"Klinisch"
"2021-04-21",0,0,0,0,0,0,0,0,-1,0,2,3,2,3,1,0,10,"Klinisch"
"2021-04-22",0,0,0,0,0,0,0,1,1,0,1,3,9,6,4,1,26,"Klinisch"
"2021-04-23",0,0,0,0,0,0,0,0,1,0,2,2,7,6,0,0,18,"Klinisch"
"2021-04-24",0,0,0,0,0,0,0,0,1,0,2,2,1,3,3,0,12,"Klinisch"
"2021-04-25",0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,5,"Klinisch"
"2021-04-26",0,0,0,0,0,0,1,0,0,3,2,3,11,4,3,1,28,"Klinisch"
"2021-04-27",0,0,0,0,0,0,0,0,1,0,0,2,4,2,2,1,12,"Klinisch"
"2021-04-28",0,0,0,0,0,1,0,0,1,0,3,7,10,5,3,2,32,"Klinisch"
"2021-04-29",0,0,0,0,0,0,0,0,1,2,2,4,3,1,0,0,13,"Klinisch"
"2021-04-30",0,0,0,0,0,0,0,0,0,0,3,6,8,5,2,0,24,"Klinisch"
"2021-05-01",0,0,0,0,0,0,0,1,0,0,1,6,2,5,0,1,16,"Klinisch"
"2021-05-02",0,0,0,0,0,0,0,0,0,0,2,5,3,1,0,0,11,"Klinisch"
"2021-05-03",0,0,0,0,0,0,0,0,1,0,2,5,7,2,2,4,23,"Klinisch"
"2021-05-04",0,0,0,0,0,0,0,1,3,1,4,1,10,4,2,0,26,"Klinisch"
"2021-05-05",0,0,0,0,0,0,0,0,0,0,1,0,2,4,1,2,10,"Klinisch"
"2021-05-06",0,0,0,0,0,0,0,0,0,0,3,2,8,4,0,1,18,"Klinisch"
"2021-05-07",0,0,0,0,1,0,0,0,0,0,1,3,4,3,2,0,14,"Klinisch"
"2021-05-08",0,0,0,0,0,0,0,1,0,1,2,2,0,7,2,0,15,"Klinisch"
"2021-05-09",0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,7,"Klinisch"
"2021-05-10",0,0,0,0,0,0,0,0,2,-1,4,4,4,5,4,1,23,"Klinisch"
"2021-05-11",1,0,0,1,0,0,0,1,1,1,3,3,6,4,3,2,26,"Klinisch"
"2021-05-12",0,0,0,0,0,0,0,0,0,2,0,4,5,2,2,1,16,"Klinisch"
"2021-05-13",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,4,"Klinisch"
"2021-05-14",0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,8,"Klinisch"
"2021-05-15",0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,6,"Klinisch"
"2021-05-16",0,0,0,0,0,0,0,0,1,0,0,2,5,4,1,0,13,"Klinisch"
"2021-05-17",0,0,0,0,0,0,0,0,0,1,0,1,5,1,1,0,9,"Klinisch"
"2021-05-18",0,0,0,0,0,0,0,1,0,0,2,2,1,4,2,2,14,"Klinisch"
"2021-05-19",0,0,0,0,0,0,0,0,1,2,0,6,3,2,2,0,16,"Klinisch"
"2021-05-20",0,1,0,0,0,0,0,0,0,3,2,1,2,3,0,1,13,"Klinisch"
"2021-05-21",0,0,0,0,0,0,0,0,2,1,0,3,1,2,2,0,11,"Klinisch"
"2021-05-22",0,0,0,0,0,0,0,0,0,0,1,2,6,2,0,2,13,"Klinisch"
"2021-05-23",0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,7,"Klinisch"
"2021-05-24",0,0,0,0,0,0,0,0,0,0,2,1,1,3,0,0,7,"Klinisch"
"2021-05-25",0,0,0,0,0,0,0,0,0,3,2,3,2,1,0,1,12,"Klinisch"
"2021-05-26",0,0,0,0,1,0,0,1,0,1,1,2,2,4,0,0,12,"Klinisch"
"2021-05-27",0,0,0,0,0,1,0,0,1,0,1,3,1,2,1,0,10,"Klinisch"
"2021-05-28",0,1,0,0,0,0,0,0,0,1,2,1,3,3,0,0,11,"Klinisch"
