"week","year","cbs_deaths","covid_deaths"
9,2008,1583,0
10,2008,1484,0
11,2008,1504,0
12,2008,1476,0
13,2008,1499,0
14,2008,1499,0
15,2008,1505,0
16,2008,1491,0
17,2008,1375,0
18,2008,1392,0
19,2008,1395,0
20,2008,1391,0
21,2008,1386,0
22,2008,1383,0
23,2008,1334,0
24,2008,1332,0
25,2008,1291,0
26,2008,1377,0
27,2008,1349,0
28,2008,1311,0
29,2008,1307,0
30,2008,1310,0
31,2008,1399,0
32,2008,1270,0
33,2008,1329,0
34,2008,1278,0
35,2008,1314,0
36,2008,1343,0
37,2008,1350,0
38,2008,1347,0
39,2008,1395,0
40,2008,1496,0
41,2008,1457,0
42,2008,1453,0
43,2008,1411,0
44,2008,1413,0
45,2008,1348,0
46,2008,1394,0
47,2008,1421,0
48,2008,1476,0
49,2008,1473,0
50,2008,1487,0
51,2008,1487,0
52,2008,1563,0
1,2009,1681,0
2,2009,1775,0
3,2009,1915,0
4,2009,1992,0
5,2009,1974,0
6,2009,1920,0
7,2009,1723,0
8,2009,1751,0
9,2009,1715,0
10,2009,1619,0
11,2009,1479,0
12,2009,1446,0
13,2009,1493,0
14,2009,1473,0
15,2009,1492,0
16,2009,1446,0
17,2009,1436,0
18,2009,1350,0
19,2009,1458,0
20,2009,1347,0
21,2009,1439,0
22,2009,1374,0
23,2009,1335,0
24,2009,1348,0
25,2009,1327,0
26,2009,1330,0
27,2009,1311,0
28,2009,1328,0
29,2009,1445,0
30,2009,1383,0
31,2009,1354,0
32,2009,1331,0
33,2009,1314,0
34,2009,1462,0
35,2009,1289,0
36,2009,1319,0
37,2009,1325,0
38,2009,1406,0
39,2009,1340,0
40,2009,1348,0
41,2009,1455,0
42,2009,1356,0
43,2009,1509,0
44,2009,1479,0
45,2009,1436,0
46,2009,1398,0
47,2009,1461,0
48,2009,1438,0
49,2009,1446,0
50,2009,1489,0
51,2009,1507,0
52,2009,1577,0
1,2010,1557,0
2,2010,1582,0
3,2010,1573,0
4,2010,1573,0
5,2010,1544,0
6,2010,1551,0
7,2010,1598,0
8,2010,1647,0
9,2010,1554,0
10,2010,1554,0
11,2010,1560,0
12,2010,1578,0
13,2010,1509,0
14,2010,1352,0
15,2010,1486,0
16,2010,1442,0
17,2010,1453,0
18,2010,1446,0
19,2010,1410,0
20,2010,1388,0
21,2010,1425,0
22,2010,1455,0
23,2010,1582,0
24,2010,1326,0
25,2010,1359,0
26,2010,1509,0
27,2010,1451,0
28,2010,1673,0
29,2010,1373,0
30,2010,1327,0
31,2010,1342,0
32,2010,1422,0
33,2010,1369,0
34,2010,1427,0
35,2010,1309,0
36,2010,1378,0
37,2010,1339,0
38,2010,1483,0
39,2010,1493,0
40,2010,1490,0
41,2010,1465,0
42,2010,1477,0
43,2010,1403,0
44,2010,1528,0
45,2010,1426,0
46,2010,1400,0
47,2010,1445,0
48,2010,1527,0
49,2010,1631,0
50,2010,1654,0
51,2010,1609,0
52,2010,1544,0
1,2011,1579,0
2,2011,1671,0
3,2011,1513,0
4,2011,1560,0
5,2011,1521,0
6,2011,1598,0
7,2011,1622,0
8,2011,1586,0
9,2011,1520,0
10,2011,1597,0
11,2011,1588,0
12,2011,1555,0
13,2011,1497,0
14,2011,1463,0
15,2011,1426,0
16,2011,1482,0
17,2011,1482,0
18,2011,1402,0
19,2011,1470,0
20,2011,1347,0
21,2011,1473,0
22,2011,1353,0
23,2011,1382,0
24,2011,1340,0
25,2011,1381,0
26,2011,1349,0
27,2011,1462,0
28,2011,1427,0
29,2011,1330,0
30,2011,1324,0
31,2011,1356,0
32,2011,1318,0
33,2011,1420,0
34,2011,1517,0
35,2011,1376,0
36,2011,1380,0
37,2011,1270,0
38,2011,1431,0
39,2011,1349,0
40,2011,1392,0
41,2011,1440,0
42,2011,1447,0
43,2011,1465,0
44,2011,1476,0
45,2011,1419,0
46,2011,1504,0
47,2011,1564,0
48,2011,1536,0
49,2011,1533,0
50,2011,1576,0
51,2011,1581,0
52,2011,1606,0
1,2012,1574,0
2,2012,1563,0
3,2012,1586,0
4,2012,1595,0
5,2012,1545,0
6,2012,1760,0
7,2012,1895,0
8,2012,1796,0
9,2012,1805,0
10,2012,1762,0
11,2012,1763,0
12,2012,1650,0
13,2012,1653,0
14,2012,1508,0
15,2012,1499,0
16,2012,1499,0
17,2012,1525,0
18,2012,1516,0
19,2012,1437,0
20,2012,1450,0
21,2012,1457,0
22,2012,1379,0
23,2012,1419,0
24,2012,1344,0
25,2012,1557,0
26,2012,1470,0
27,2012,1570,0
28,2012,1337,0
29,2012,1353,0
30,2012,1442,0
31,2012,1394,0
32,2012,1313,0
33,2012,1337,0
34,2012,1507,0
35,2012,1311,0
36,2012,1385,0
37,2012,1401,0
38,2012,1399,0
39,2012,1488,0
40,2012,1425,0
41,2012,1436,0
42,2012,1512,0
43,2012,1487,0
44,2012,1543,0
45,2012,1498,0
46,2012,1485,0
47,2012,1515,0
48,2012,1456,0
49,2012,1524,0
50,2012,1678,0
51,2012,1594,0
52,2012,1599,0
1,2013,1637,0
2,2013,1659,0
3,2013,1612,0
4,2013,1584,0
5,2013,1752,0
6,2013,1748,0
7,2013,1815,0
8,2013,1711,0
9,2013,1668,0
10,2013,1729,0
11,2013,1690,0
12,2013,1684,0
13,2013,1650,0
14,2013,1611,0
15,2013,1627,0
16,2013,1569,0
17,2013,1532,0
18,2013,1407,0
19,2013,1432,0
20,2013,1443,0
21,2013,1398,0
22,2013,1477,0
23,2013,1460,0
24,2013,1435,0
25,2013,1631,0
26,2013,1358,0
27,2013,1426,0
28,2013,1369,0
29,2013,1422,0
30,2013,1542,0
31,2013,1605,0
32,2013,1634,0
33,2013,1390,0
34,2013,1359,0
35,2013,1324,0
36,2013,1481,0
37,2013,1365,0
38,2013,1446,0
39,2013,1381,0
40,2013,1418,0
41,2013,1506,0
42,2013,1437,0
43,2013,1474,0
44,2013,1407,0
45,2013,1457,0
46,2013,1467,0
47,2013,1490,0
48,2013,1463,0
49,2013,1529,0
50,2013,1524,0
51,2013,1504,0
52,2013,1537,0
1,2014,1549,0
2,2014,1543,0
3,2014,1578,0
4,2014,1463,0
5,2014,1574,0
6,2014,1677,0
7,2014,1671,0
8,2014,1600,0
9,2014,1623,0
10,2014,1564,0
11,2014,1647,0
12,2014,1607,0
13,2014,1492,0
14,2014,1590,0
15,2014,1497,0
16,2014,1538,0
17,2014,1476,0
18,2014,1536,0
19,2014,1539,0
20,2014,NA,0
21,2014,1515,0
22,2014,1442,0
23,2014,1407,0
24,2014,1476,0
25,2014,1440,0
26,2014,1503,0
27,2014,1398,0
28,2014,1391,0
29,2014,1438,0
30,2014,1427,0
31,2014,1326,0
32,2014,1404,0
33,2014,1331,0
34,2014,1381,0
35,2014,1416,0
36,2014,1446,0
37,2014,1392,0
38,2014,1454,0
39,2014,1407,0
40,2014,1473,0
41,2014,1478,0
42,2014,1449,0
43,2014,1476,0
44,2014,1457,0
45,2014,1567,0
46,2014,1487,0
47,2014,1517,0
48,2014,1541,0
49,2014,1566,0
50,2014,1586,0
51,2014,1601,0
52,2014,1625,0
1,2015,1704,0
2,2015,1768,0
3,2015,1837,0
4,2015,1792,0
5,2015,1837,0
6,2015,1926,0
7,2015,1992,0
8,2015,2020,0
9,2015,1883,0
10,2015,1846,0
11,2015,1763,0
12,2015,1696,0
13,2015,1725,0
14,2015,1604,0
15,2015,1563,0
16,2015,1614,0
17,2015,1547,0
18,2015,1453,0
19,2015,1452,0
20,2015,1461,0
21,2015,1396,0
22,2015,1304,0
23,2015,1437,0
24,2015,1502,0
25,2015,1285,0
26,2015,1374,0
27,2015,1487,0
28,2015,1476,0
29,2015,1475,0
30,2015,1633,0
31,2015,1446,0
32,2015,1500,0
33,2015,1692,0
34,2015,1376,0
35,2015,1476,0
36,2015,1389,0
37,2015,1447,0
38,2015,1459,0
39,2015,1410,0
40,2015,1494,0
41,2015,1409,0
42,2015,1481,0
43,2015,1498,0
44,2015,1433,0
45,2015,1460,0
46,2015,1527,0
47,2015,1486,0
48,2015,1488,0
49,2015,1509,0
50,2015,1517,0
51,2015,1538,0
52,2015,1545,0
1,2016,1634,0
2,2016,1626,0
3,2016,1608,0
4,2016,1578,0
5,2016,1609,0
6,2016,1650,0
7,2016,1621,0
8,2016,1581,0
9,2016,1714,0
10,2016,1532,0
11,2016,1516,0
12,2016,1499,0
13,2016,1598,0
14,2016,1562,0
15,2016,1520,0
16,2016,1413,0
17,2016,1460,0
18,2016,1447,0
19,2016,1486,0
20,2016,1453,0
21,2016,1505,0
22,2016,1402,0
23,2016,1360,0
24,2016,1348,0
25,2016,1452,0
26,2016,1338,0
27,2016,1328,0
28,2016,1323,0
29,2016,1458,0
30,2016,1424,0
31,2016,1390,0
32,2016,1359,0
33,2016,1394,0
34,2016,1408,0
35,2016,1414,0
36,2016,1380,0
37,2016,1392,0
38,2016,1376,0
39,2016,1442,0
40,2016,1469,0
41,2016,1556,0
42,2016,1607,0
43,2016,1522,0
44,2016,1484,0
45,2016,1541,0
46,2016,1616,0
47,2016,1550,0
48,2016,1601,0
49,2016,1619,0
50,2016,1670,0
51,2016,1847,0
52,2016,2160,0
1,2017,2293,0
2,2017,2340,0
3,2017,2060,0
4,2017,1938,0
5,2017,2045,0
6,2017,1874,0
7,2017,1750,0
8,2017,1807,0
9,2017,1696,0
10,2017,1614,0
11,2017,1542,0
12,2017,1535,0
13,2017,1489,0
14,2017,1537,0
15,2017,1532,0
16,2017,1475,0
17,2017,1440,0
18,2017,1527,0
19,2017,1434,0
20,2017,1501,0
21,2017,1327,0
22,2017,1456,0
23,2017,1312,0
24,2017,1421,0
25,2017,1476,0
26,2017,1419,0
27,2017,1413,0
28,2017,1346,0
29,2017,1475,0
30,2017,1375,0
31,2017,1616,0
32,2017,1334,0
33,2017,1380,0
34,2017,1472,0
35,2017,1329,0
36,2017,1318,0
37,2017,1426,0
38,2017,1407,0
39,2017,1496,0
40,2017,1481,0
41,2017,1529,0
42,2017,1453,0
43,2017,1489,0
44,2017,1551,0
45,2017,1490,0
46,2017,1505,0
47,2017,1570,0
48,2017,1531,0
49,2017,1632,0
50,2017,1554,0
51,2017,1653,0
52,2017,1646,0
1,2018,1767,0
2,2018,1842,0
3,2018,1786,0
4,2018,1714,0
5,2018,1870,0
6,2018,1938,0
7,2018,1881,0
8,2018,1951,0
9,2018,2021,0
10,2018,1965,0
11,2018,1946,0
12,2018,1641,0
13,2018,1766,0
14,2018,1617,0
15,2018,1560,0
16,2018,1557,0
17,2018,1383,0
18,2018,1434,0
19,2018,1372,0
20,2018,1342,0
21,2018,1383,0
22,2018,1415,0
23,2018,1433,0
24,2018,1392,0
25,2018,1401,0
26,2018,1414,0
27,2018,1441,0
28,2018,1404,0
29,2018,1511,0
30,2018,1455,0
31,2018,1615,0
32,2018,1532,0
33,2018,1430,0
34,2018,1460,0
35,2018,1414,0
36,2018,1376,0
37,2018,1452,0
38,2018,1421,0
39,2018,1436,0
40,2018,1553,0
41,2018,1509,0
42,2018,1488,0
43,2018,1491,0
44,2018,1561,0
45,2018,1501,0
46,2018,1556,0
47,2018,1531,0
48,2018,1525,0
49,2018,1656,0
50,2018,1626,0
51,2018,1639,0
52,2018,1689,0
1,2019,1648,0
2,2019,1710,0
3,2019,1642,0
4,2019,1714,0
5,2019,1733,0
6,2019,1797,0
7,2019,1820,0
8,2019,1752,0
9,2019,1767,0
10,2019,1812,0
11,2019,1792,0
12,2019,1621,0
13,2019,1653,0
14,2019,1607,0
15,2019,1557,0
16,2019,1559,0
17,2019,1521,0
18,2019,1464,0
19,2019,1456,0
20,2019,1558,0
21,2019,1499,0
22,2019,1496,0
23,2019,1525,0
24,2019,1558,0
25,2019,1427,0
26,2019,1459,0
27,2019,1508,0
28,2019,1338,0
29,2019,1430,0
30,2019,1558,0
31,2019,1459,0
32,2019,1406,0
33,2019,1408,0
34,2019,1454,0
35,2019,1501,0
36,2019,1426,0
37,2019,1410,0
38,2019,1454,0
39,2019,1577,0
40,2019,1557,0
41,2019,1592,0
42,2019,1497,0
43,2019,1545,0
44,2019,1536,0
45,2019,1556,0
46,2019,1559,0
47,2019,1556,0
48,2019,1587,0
49,2019,1599,0
50,2019,1668,0
51,2019,1592,0
52,2019,1637,0
1,2020,1614,0
2,2020,1702,0
3,2020,1797,0
4,2020,1779,0
5,2020,1947,0
6,2020,1682,0
7,2020,1721,0
8,2020,1719,0
9,2020,1768,0
10,2020,1744,0
11,2020,1718,3
12,2020,1836,31
13,2020,1765,100
14,2020,1828,131
15,2020,1793,151
16,2020,1704,117
17,2020,1588,75
18,2020,1480,40
19,2020,1520,23
20,2020,1489,9
21,2020,1481,13
22,2020,1418,4
23,2020,1490,7
24,2020,1461,9
25,2020,1413,12
26,2020,1438,9
27,2020,1561,2
28,2020,1383,3
29,2020,1443,2
30,2020,1452,4
31,2020,1527,5
32,2020,1433,4
33,2020,1607,6
34,2020,1477,2
35,2020,1500,1
36,2020,1523,4
37,2020,1568,11
38,2020,1569,15
39,2020,1532,26
40,2020,1587,30
41,2020,1624,49
42,2020,1619,57
43,2020,1780,102
44,2020,1896,235
45,2020,2006,366
46,2020,2287,548
47,2020,2414,667
48,2020,2442,730
49,2020,2550,782
50,2020,2479,701
51,2020,2264,582
52,2020,2131,463
