STATcube

"Deceased in Austria by calendar week (excl. abroad) from 2000 (Q)"
"Calendar week"
"Counting: Number of deaths"

Filters:
"Default Summation","Number of deaths"


"Calendar week",
"14. Calendar week 2003 (week from 31.3.2003 to 6.4.2003)",1524,,
"15. Calendar week 2003 (week from 7.4.2003 to 13.4.2003)",1452,,
"16. Calendar week 2003 (week from 14.4.2003 to 20.4.2003)",1432,,
"17. Calendar week 2003 (week from 21.4.2003 to 27.4.2003)",1415,,
"18. Calendar week 2003 (week from 28.4.2003 to 4.5.2003)",1410,,
"19. Calendar week 2003 (week from 5.5.2003 to 11.5.2003)",1490,,
"20. Calendar week 2003 (week from 12.5.2003 to 18.5.2003)",1345,,
"21. Calendar week 2003 (week from 19.5.2003 to 25.5.2003)",1353,,
"22. Calendar week 2003 (week from 26.5.2003 to 1.6.2003)",1419,,
"23. Calendar week 2003 (week from 2.6.2003 to 8.6.2003)",1410,,
"24. Calendar week 2003 (week from 9.6.2003 to 15.6.2003)",1475,,
"25. Calendar week 2003 (week from 16.6.2003 to 22.6.2003)",1271,,
"26. Calendar week 2003 (week from 23.6.2003 to 29.6.2003)",1382,,
"27. Calendar week 2003 (week from 30.6.2003 to 6.7.2003)",1374,,
"28. Calendar week 2003 (week from 7.7.2003 to 13.7.2003)",1340,,
"29. Calendar week 2003 (week from 14.7.2003 to 20.7.2003)",1422,,
"30. Calendar week 2003 (week from 21.7.2003 to 27.7.2003)",1451,,
"31. Calendar week 2003 (week from 28.7.2003 to 3.8.2003)",1428,,
"32. Calendar week 2003 (week from 4.8.2003 to 10.8.2003)",1464,,
"33. Calendar week 2003 (week from 11.8.2003 to 17.8.2003)",1476,,
"34. Calendar week 2003 (week from 18.8.2003 to 24.8.2003)",1310,,
"35. Calendar week 2003 (week from 25.8.2003 to 31.8.2003)",1303,,
"36. Calendar week 2003 (week from 1.9.2003 to 7.9.2003)",1351,,
"37. Calendar week 2003 (week from 8.9.2003 to 14.9.2003)",1324,,
"38. Calendar week 2003 (week from 15.9.2003 to 21.9.2003)",1353,,
"39. Calendar week 2003 (week from 22.9.2003 to 28.9.2003)",1385,,
"40. Calendar week 2003 (week from 29.9.2003 to 5.10.2003)",1357,,
"41. Calendar week 2003 (week from 6.10.2003 to 12.10.2003)",1387,,
"42. Calendar week 2003 (week from 13.10.2003 to 19.10.2003)",1396,,
"43. Calendar week 2003 (week from 20.10.2003 to 26.10.2003)",1463,,
"44. Calendar week 2003 (week from 27.10.2003 to 2.11.2003)",1508,,
"45. Calendar week 2003 (week from 3.11.2003 to 9.11.2003)",1457,,
"46. Calendar week 2003 (week from 10.11.2003 to 16.11.2003)",1397,,
"47. Calendar week 2003 (week from 17.11.2003 to 23.11.2003)",1429,,
"48. Calendar week 2003 (week from 24.11.2003 to 30.11.2003)",1393,,
"49. Calendar week 2003 (week from 1.12.2003 to 7.12.2003)",1439,,
"50. Calendar week 2003 (week from 8.12.2003 to 14.12.2003)",1348,,
"51. Calendar week 2003 (week from 15.12.2003 to 21.12.2003)",1455,,
"52. Calendar week 2003 (week from 22.12.2003 to 28.12.2003)",1549,,
"1. Calendar week 2004 (week from 29.12.2003 to 4.1.2004)",1718,,
"2. Calendar week 2004 (week from 5.1.2004 to 11.1.2004)",1649,,
"3. Calendar week 2004 (week from 12.1.2004 to 18.1.2004)",1661,,
"4. Calendar week 2004 (week from 19.1.2004 to 25.1.2004)",1658,,
"5. Calendar week 2004 (week from 26.1.2004 to 1.2.2004)",1723,,
