week,year,cbs_deaths,covid_deaths
9,2017,1179,0
10,2017,1101,0
11,2017,1132,0
12,2017,1126,0
13,2017,1041,0
14,2017,988,0
15,2017,1009,0
16,2017,967,0
17,2017,974,0
18,2017,1059,0
19,2017,1015,0
20,2017,1022,0
21,2017,969,0
22,2017,956,0
23,2017,985,0
24,2017,1023,0
25,2017,980,0
26,2017,938,0
27,2017,905,0
28,2017,941,0
29,2017,931,0
30,2017,925,0
31,2017,934,0
32,2017,932,0
33,2017,906,0
34,2017,953,0
35,2017,951,0
36,2017,918,0
37,2017,991,0
38,2017,979,0
39,2017,983,0
40,2017,978,0
41,2017,985,0
42,2017,970,0
43,2017,934,0
44,2017,976,0
45,2017,956,0
46,2017,1070,0
47,2017,1011,0
48,2017,1027,0
49,2017,1067,0
50,2017,1102,0
51,2017,1058,0
52,2017,1134,0
1,2018,1134,0
2,2018,1136,0
3,2018,1156,0
4,2018,1119,0
5,2018,1157,0
6,2018,1186,0
7,2018,1265,0
8,2018,1260,0
9,2018,1323,0
10,2018,1337,0
11,2018,1253,0
12,2018,1286,0
13,2018,1186,0
14,2018,1138,0
15,2018,1164,0
16,2018,1052,0
17,2018,1008,0
18,2018,1010,0
19,2018,1025,0
20,2018,1012,0
21,2018,953,0
22,2018,977,0
23,2018,1009,0
24,2018,941,0
25,2018,958,0
26,2018,915,0
27,2018,1007,0
28,2018,971,0
29,2018,994,0
30,2018,1091,0
31,2018,1084,0
32,2018,1029,0
33,2018,1017,0
34,2018,990,0
35,2018,935,0
36,2018,975,0
37,2018,949,0
38,2018,994,0
39,2018,950,0
40,2018,1033,0
41,2018,992,0
42,2018,958,0
43,2018,973,0
44,2018,1007,0
45,2018,992,0
46,2018,954,0
47,2018,996,0
48,2018,994,0
49,2018,1085,0
50,2018,1044,0
51,2018,1096,0
52,2018,1006,0
1,2019,1130,0
2,2019,1155,0
3,2019,1118,0
4,2019,1085,0
5,2019,1209,0
6,2019,1250,0
7,2019,1176,0
8,2019,1110,0
9,2019,1090,0
10,2019,1051,0
11,2019,1063,0
12,2019,1039,0
13,2019,1022,0
14,2019,1085,0
15,2019,1018,0
16,2019,1046,0
17,2019,1015,0
18,2019,1067,0
19,2019,1028,0
20,2019,974,0
21,2019,970,0
22,2019,983,0
23,2019,991,0
24,2019,969,0
25,2019,1015,0
26,2019,1002,0
27,2019,935,0
28,2019,953,0
29,2019,977,0
30,2019,967,0
31,2019,962,0
32,2019,936,0
33,2019,931,0
34,2019,1006,0
35,2019,996,0
36,2019,983,0
37,2019,966,0
38,2019,1007,0
39,2019,1016,0
40,2019,972,0
41,2019,1033,0
42,2019,998,0
43,2019,1026,0
44,2019,954,0
45,2019,1046,0
46,2019,1037,0
47,2019,1057,0
48,2019,1095,0
49,2019,1104,0
50,2019,1107,0
51,2019,1042,0
52,2019,1038,0
1,2020,1117,0
2,2020,1150,0
3,2020,1071,0
4,2020,1033,0
5,2020,1094,0
6,2020,1079,0
7,2020,1059,0
8,2020,1034,0
9,2020,1025,0
10,2020,1061,0
11,2020,1066,4
12,2020,1140,21
13,2020,1112,59
14,2020,1156,113
15,2020,1143,95
16,2020,1078,75
17,2020,1086,59
18,2020,1048,65
19,2020,1027,34
20,2020,951,28
21,2020,994,13
22,2020,968,11
23,2020,962,16
24,2020,1000,5
25,2020,948,5
26,2020,984,3
27,2020,996,1
28,2020,957,3
29,2020,1026,1
30,2020,944,2
31,2020,983,3
32,2020,957,4
33,2020,993,1
34,2020,995,2
35,2020,953,1
36,2020,985,4
37,2020,984,5
38,2020,1082,8
39,2020,974,8
40,2020,996,12
41,2020,938,11
42,2020,1008,15
43,2020,1096,23
44,2020,979,14
45,2020,1026,24
46,2020,1097,17
47,2020,1082,30
48,2020,1097,46
49,2020,1105,60
50,2020,1095,56
51,2020,1273,106
52,2020,1212,157
53,2020,1256,118
1,2021,1232,198
2,2021,1213,208
3,2021,1269,194
4,2021,1216,135
5,2021,1205,80
6,2021,1112,71
7,2021,1061,39
8,2021,968,21
9,2021,975,14
10,2021,1051,13
11,2021,967,8
12,2021,1030,13
13,2021,972,15
14,2021,970,14
15,2021,1027,18
16,2021,1054,16
