"","model","week","Laag","Gemiddeld","Hoog"
"66","Statisch",34,233.187436356386,560.009678001876,880.621508615914
"67","Statisch",35,233.561732915772,560.90856999716,882.035025959526
"68","Statisch",36,235.058921937558,564.504137945477,887.689094703951
"69","Statisch",37,236.930404885887,568.998597965169,894.756686225925
"70","Statisch",38,239.924776618595,576.189733988354,906.064820759088
"71","Statisch",39,242.919137938518,583.380869876943,917.372947293483
"72","Statisch",40,247.410671297365,594.167573303945,934.335123514964
"73","Statisch",41,251.5279144337,604.055384898509,949.883782316037
"74","Statisch",42,257.142339520171,617.538763842958,971.086506541603
"75","Statisch",43,265.75112358131,638.213277970514,1003.59736342084
"76","Statisch",44,270.991253708624,650.797764711013,1023.38656158077
"77","Statisch",45,279.974359307866,672.371170405781,1057.3108962766
"78","Statisch",46,286.337389505592,687.652332843912,1081.34063002795
"79","Statisch",47,297.566276630299,714.619090477258,1123.7460281322
"80","Statisch",48,314.783920236639,755.968117750695,1188.76766462874
"81","Statisch",49,337.241656420324,809.901630309804,1273.57850960954
"82","Statisch",50,358.202225549267,860.239577124677,1352.73530641276
"83","Statisch",51,397.877559702814,955.522119198733,1502.56787736341
"84","Statisch",52,456.642063186737,1096.64814667705,1724.48978755963
"85","Interventie",11,-5.94063756568218,45.991518981322,98.7188720983493
"86","Interventie",12,3.56740837756289,100.926892680504,198.363921616056
"87","Interventie",13,21.6021773738159,159.244274699454,297.435199368313
"88","Interventie",14,42.8910885111452,224.586952965725,402.11063462808
"89","Interventie",15,71.7323936055099,289.064715383348,508.004767710635
"90","Interventie",16,95.9898964855426,345.906283598435,599.301264511709
"91","Interventie",17,113.354485067928,398.626928445269,684.373738417686
"92","Interventie",18,118.530962140747,442.239737959871,760.969462093546
"93","Interventie",19,123.501180822091,477.886615357037,834.994220906503
"94","Interventie",20,105.507653463973,502.923235106855,895.918617706152
"95","Interventie",21,107.200557085026,526.374037199842,956.054209058133
"96","Interventie",22,96.0195357293745,546.505769784752,1021.78591859498
"97","Interventie",23,71.660250537346,565.969382246503,1058.59879873767
"98","Interventie",24,71.921597439754,588.808774214425,1124.86849356812
"99","Interventie",25,73.4522004185869,608.920543626339,1180.4159051877
"100","Interventie",26,66.0659461831888,632.832956721355,1244.08243730731
"101","Interventie",27,57.180534020688,659.131405842499,1303.65305889369
"102","Interventie",28,38.1321443461179,684.523026377864,1373.81935012567
"103","Interventie",29,37.78578165852,714.983407536199,1421.23319495151
"104","Interventie",30,28.6311407022468,739.377448746149,1472.05367837806
"105","Interventie",31,18.2029446791627,767.710104063077,1544.49522061913
"106","Interventie",32,16.7276749606768,795.538576056721,1608.47206997535
"107","Interventie",33,19.0758652500389,827.295507830727,1663.96266156862
"108","Interventie",34,3.30064733691392,860.535230374947,1741.89929176544
"109","Interventie",35,-0.475481660562298,893.135102301871,1795.311089906
"110","Interventie",36,-6.49363156427988,930.048473412666,1858.64636832342
"111","Interventie",37,7.23199239251328,969.638022555848,1921.45907507723
"112","Interventie",38,8.12108785703999,1017.45784605201,2013.48143622087
"113","Interventie",39,13.3527830463016,1057.06796206618,2111.3609760029
"114","Interventie",40,4.80715952630854,1095.92759569072,2205.10840828403
"115","Interventie",41,-17.2641244337669,1131.01466317369,2267.9868154119
"116","Interventie",42,-11.0475425750949,1173.54702495166,2333.80965763963
"117","Interventie",43,7.61043701986362,1225.32282007728,2428.02678460371
"118","Interventie",44,18.7051490074821,1271.50719716022,2509.97711248286
"119","Interventie",45,36.1262182706781,1324.21317615722,2593.07848101093
"120","Interventie",46,60.4365158149368,1386.35685410627,2693.99655791012
"121","Interventie",47,89.6170687486642,1452.17714564739,2791.56616202172
"122","Interventie",48,124.911972417532,1524.00192045342,2893.92876527289
"123","Interventie",49,141.577671065424,1602.53138960247,3005.86056663209
"124","Interventie",50,183.921610267098,1688.89656250596,3139.59814006922
"125","Interventie",51,236.463286594605,1794.87671691374,3289.74292388012
"126","Interventie",52,292.458805793889,1901.47438542197,3465.0501548624
"127","CBS/AMC",44,0,62634.6976744186,0
"128","CBS/AMC",45,0,131433.5,0
