"","week","model","mid","lwr","upr"
"79",47,"Statisch",1240.26115251941,1127.65809447538,1348.66959344666
"80",48,"Statisch",965.261134858251,877.62542437426,1049.63251077643
"81",49,"Statisch",771.988031914084,701.899102253741,839.466131714554
"82",50,"Statisch",735.542239847999,668.762884729416,799.834920593041
"83",51,"Statisch",722.289244348411,656.713000345091,785.42336026959
"84",52,"Statisch",589.759094724703,536.214575569255,641.308882580763
"85",11,"Interventie",121.372825287529,-83.13377912831,320.648140117818
"86",12,"Interventie",442.528713402472,194.213942127795,689.803669404053
"87",13,"Interventie",1037.49659081811,733.920251848218,1330.81418303706
"88",14,"Interventie",1747.56327857641,1487.31061797057,2010.90236582641
"89",15,"Interventie",1999.81877696754,1751.54109113735,2250.39985039613
"90",16,"Interventie",1551.94223258309,1356.64945509045,1734.62819091325
"91",17,"Interventie",1004.51439246081,780.266639059265,1219.28104413674
"92",18,"Interventie",474.769079073317,262.484857228287,679.699676497171
"93",19,"Interventie",402.746266262515,199.351885220104,619.826596058577
"94",20,"Interventie",122.398230799094,-129.930442790455,377.504993422607
"95",21,"Interventie",127.709763550548,-181.417755920947,414.203305476208
"96",22,"Interventie",37.5729724835167,-232.792925839155,291.677299999319
"97",23,"Interventie",-108.208254974922,-368.427633324065,171.041346814038
"98",24,"Interventie",-42.5451704759833,-313.05628638058,252.555539094039
"99",25,"Interventie",-111.501336098935,-519.208160398033,285.684632683367
"100",26,"Interventie",-3.08619506838674,-376.222991299801,359.960731115433
"101",27,"Interventie",-132.007502549039,-344.331223824023,84.9801986004703
"102",28,"Interventie",-185.052089563753,-453.316607256759,96.1574024212595
"103",29,"Interventie",-51.9277968048284,-339.407057610361,270.130706558584
"104",30,"Interventie",-70.1729312064376,-330.531050890253,195.459909404528
"105",31,"Interventie",63.5518971374037,-192.516188099847,334.638374495589
"106",32,"Interventie",164.167592662884,-34.8412817946947,367.488907499374
"107",33,"Interventie",818.868734680522,600.788264503846,1050.31521937709
"108",34,"Interventie",309.968506177069,77.170889879203,554.592605257471
"109",35,"Interventie",22.6764254206256,-222.247382756342,273.014202260792
"110",36,"Interventie",30.2204079939844,-231.314700452848,283.937470400209
"111",37,"Interventie",-53.3610278281838,-256.227784757607,151.328741464302
"112",38,"Interventie",85.8920883617736,-138.893025751856,325.345194132705
"113",39,"Interventie",17.9349608162496,-243.004408167746,310.094473861797
"114",40,"Interventie",20.4095049943417,-250.924736831266,288.194050068735
"115",41,"Interventie",152.823527362894,-56.3888589552728,389.260644889412
"116",42,"Interventie",251.606731471435,-0.457057644988979,528.173493436525
"117",43,"Interventie",644.735189070105,309.755288996597,996.787623963378
"118",44,"Interventie",1189.00718948562,927.528289439094,1455.70283137489
"119",45,"Interventie",1507.1051316606,1210.25741840209,1793.8464107273
"120",46,"Interventie",1284.45086640761,926.295966272645,1647.15552954413
"121",47,"Interventie",1042.7024607321,819.208191182706,1259.80338094962
"122",48,"Interventie",764.093374651444,529.581724950049,997.704452075583
"123",49,"Interventie",557.687254170333,344.72603996592,770.364839132105
"124",50,"Interventie",569.199192465168,370.532193536426,763.778229836818
"125",51,"Interventie",494.187904497353,285.295708780058,700.686124624606
"126",52,"Interventie",367.791205324968,165.933694087368,565.749965889828
"127",44,"CBS/AMC",2862.16279069767,NA,NA
"128",45,"CBS/AMC",3363.25,NA,NA
