"","model","week","Laag","Gemiddeld","Hoog","year"
"75","Statisch",43,11312.2270440954,12743.3843892614,14140.3760905927,2020
"76","Statisch",44,12091.7486191249,13621.5259890171,15114.7827552723,2020
"77","Statisch",45,12941.579967753,14578.8725255847,16177.0775049437,2020
"78","Statisch",46,13641.6208745217,15367.4781104818,17052.132969849,2020
"79","Statisch",47,14201.0423374389,15997.6738454016,17751.4129343552,2020
"80","Statisch",48,14739.0651728379,16603.763735691,18423.9444428431,2020
"81","Statisch",49,15223.5913609617,17149.5890082685,19029.6047908252,2020
"82","Statisch",50,15812.0541785205,17812.49982908,19765.1858700755,2020
"83","Statisch",51,16593.1042685449,18692.3632802965,20741.5025013017,2020
"84","Statisch",52,17530.0583910734,19747.8550617223,21912.6998973759,2020
"85","Interventie",11,48.7479656812418,235.666022144118,429.972022317932,2020
"86","Interventie",12,517.931812775927,874.554950036037,1234.53870026968,2020
"87","Interventie",13,1734.29174093834,2237.3470076076,2731.77446228179,2020
"88","Interventie",14,3532.97864299497,4141.57867143662,4742.54346522539,2020
"89","Interventie",15,5316.84687812491,6005.74624951353,6691.31455046181,2020
"90","Interventie",16,6575.07998138965,7349.17243107335,8114.91785091773,2020
"91","Interventie",17,7480.08361152539,8319.55475872508,9185.78809979852,2020
"92","Interventie",18,7846.51386448563,8837.99943158782,9827.11109936345,2020
"93","Interventie",19,7869.59692359323,9005.03711037766,10088.5611231278,2020
"94","Interventie",20,7732.56379628137,8976.40230066575,10184.3012313699,2020
"95","Interventie",21,7596.50448682357,8919.10244224298,10212.2374143542,2020
"96","Interventie",22,7402.35368715814,8830.8274066085,10200.9567424549,2020
"97","Interventie",23,7144.92020319769,8715.13387733491,10192.0549049814,2020
"98","Interventie",24,6979.53256659011,8610.62937907485,10198.4661228992,2020
"99","Interventie",25,6746.15297694757,8513.73879264731,10132.7538227982,2020
"100","Interventie",26,6560.68050066637,8398.54445594813,10181.4024312089,2020
"101","Interventie",27,6262.13785550697,8271.50577730921,10204.1760774429,2020
"102","Interventie",28,6002.29447356399,8134.20817201443,10206.2620783423,2020
"103","Interventie",29,5700.2545747654,7937.04078462177,10119.1415608679,2020
"104","Interventie",30,5477.25246023299,7854.79123084506,10160.3917780861,2020
"105","Interventie",31,5285.69085884033,7784.55355826592,10204.7802770804,2020
"106","Interventie",32,5076.68108727082,7729.62133911072,10238.3499285065,2020
"107","Interventie",33,5298.41314858953,8085.62049539748,10681.3581783159,2020
"108","Interventie",34,5278.33112833075,8194.57156774835,10938.670639452,2020
"109","Interventie",35,5115.99602555555,8196.48809210533,11109.0399310112,2020
"110","Interventie",36,4957.12548559154,8151.28444886525,11161.2918597436,2020
"111","Interventie",37,4818.66601938628,8132.68631217064,11266.231813522,2020
"112","Interventie",38,4677.46477428241,8100.77940093006,11361.9359791359,2020
"113","Interventie",39,4616.84711049534,8197.72813409777,11554.9077049268,2020
"114","Interventie",40,4694.67856686776,8385.32123141467,11928.9524685363,2020
"115","Interventie",41,4818.2110498865,8604.14362951755,12260.5415564546,2020
"116","Interventie",42,5054.01935343159,8984.02266354873,12843.8544468919,2020
"117","Interventie",43,5449.5301273825,9538.89776820047,13528.4013466582,2020
"118","Interventie",44,5949.07472532348,10254.6187491859,14373.6590381087,2020
"119","Interventie",45,6452.82868931611,10889.6825570852,15104.4841304186,2020
"120","Interventie",46,6895.67077631669,11477.3109038084,15706.4821310609,2020
"121","Interventie",47,7166.32872259753,11860.1102125071,16297.2009283314,2020
"122","Interventie",48,7532.38592328796,12267.4468842438,16812.6651012608,2020
"123","Interventie",49,7867.53710502647,12746.4745481001,17440.5392526769,2020
"124","Interventie",50,8244.16827973734,13298.4762743397,18151.4798729256,2020
"125","Interventie",51,8835.56403432511,14062.4729780956,19074.3852343985,2020
"126","Interventie",52,9477.65930243795,14802.2703780306,19970.668817648,2020
"127","Dynamisch",1,622.754624409477,908.363925145894,1183.29867275423,2021
"128","Dynamisch",2,1130.27967900411,1646.8066093888,2186.55468121764,2021
"129","Dynamisch",3,1551.04930766923,2324.60762752617,3062.4475067974,2021
"130","Dynamisch",4,1901.31834302256,2835.06517507176,3743.47639681956,2021
"131","Statisch",1,958.352648429521,1079.59761955565,1197.94564986125,2021
"132","Statisch",2,1779.14249917342,2004.22907632886,2223.93730204043,2021
"133","Statisch",3,2531.15130672752,2851.37743977408,3163.95166614001,2021
"134","Statisch",4,3082.93014297397,3472.96393861899,3853.67802892089,2021
"135","Interventie",1,661.876797881793,917.93747849508,1165.10815955506,2021
"136","Interventie",2,1138.99860992924,1615.44611472599,2084.96567253708,2021
"137","Interventie",3,1630.93594819717,2284.08611261197,2919.99544243393,2021
"138","Interventie",4,2053.51334058764,2897.83742282377,3724.91858182305,2021
