"","model","week","Laag","Gemiddeld","Hoog"
"46","Statisch",33,9973.05179289295,11383.9362302614,12813.4130782278
"47","Interventie",11,22.354921892907,228.671095892385,429.963908104652
"48","Interventie",12,546.535929841174,863.966171393798,1171.03636843546
"49","Interventie",13,1824.65611799534,2251.4982332029,2682.47583111605
"50","Interventie",14,3664.40708741029,4202.36760864071,4762.61082289598
"51","Interventie",15,5465.74050026296,6099.15394644641,6756.88520098472
"52","Interventie",16,6704.78052477393,7451.91680649609,8213.84146503381
"53","Interventie",17,7593.39996272742,8443.19297280023,9363.9392057838
"54","Interventie",18,8005.12441461194,8961.53993622185,10011.6439515576
"55","Interventie",19,8008.61488519767,9119.35787480629,10248.8100435419
"56","Interventie",20,7837.29626023465,9083.9281720243,10365.7194705138
"57","Interventie",21,7610.49712253183,9029.96571403757,10484.1904776369
"58","Interventie",22,7445.85482068912,8941.56530011571,10446.2956592379
"59","Interventie",23,7215.85260851498,8826.11213921996,10478.0454703638
"60","Interventie",24,6933.90515078659,8726.04831026899,10479.8825581853
"61","Interventie",25,6733.70436770919,8629.23893257407,10524.8248424476
"62","Interventie",26,6479.5992375596,8516.88774267961,10441.0929574438
"63","Interventie",27,6289.93294353391,8387.94723221093,10482.2727647418
"64","Interventie",28,6044.19942644848,8239.19679041271,10360.854593798
"65","Interventie",29,5746.93703214221,8035.9991341438,10338.0556984445
"66","Interventie",30,5473.71428513994,7951.65257715234,10329.5756974705
"67","Interventie",31,5261.89717157888,7869.59986976148,10346.3513744037
"68","Interventie",32,5060.74454830098,7802.56330844562,10343.8940267382
"69","Interventie",33,5328.68501700445,8174.14404254486,10807.6689036185
"70","CBS/AMC",11,0,165,0
"71","CBS/AMC",12,0,685,0
"72","CBS/AMC",13,0,2030,0
"73","CBS/AMC",14,0,4001,0
"74","CBS/AMC",15,0,6068,0
"75","CBS/AMC",16,0,7358,0
"76","CBS/AMC",17,0,8337,0
"77","CBS/AMC",18,0,8737,0
"78","CBS/AMC",19,0,8786,0
"79","CBS/AMC",20,0,8510,0
"80","CBS/AMC",21,0,8468,0
"81","CBS/AMC",22,0,8369,0
"82","CBS/AMC",23,0,8190,0
"83","CBS/AMC",24,0,8073,0
"84","CBS/AMC",25,0,7871,0
"85","CBS/AMC",26,0,7466,0
"86","CBS/AMC",27,0,7263,0
"87","CBS/AMC",28,0,7010,0
"88","CBS/AMC",29,0,6672,0
"89","CBS/AMC",30,0,6483,0
"90","CBS/AMC",31,0,6179,0
