"","model","week","Laag","Gemiddeld","Hoog","year","deaths_week_mid","deaths_week_low","deaths_week_high","deaths_low_cumsum","deaths_mid_cumsum","deaths_high_cumsum","weekyear"
"50","Dynamisch",6,3543.15352185432,4419.31420700226,5337.44592248621,"2021",592.651385373165,475.154052762999,715.777339138361,25448.7797508027,25687.3530801411,25937.3552067007,"2021-06"
"51","Dynamisch",7,4029.16137796903,5025.5033247189,6069.57371770931,"2021",606.189117716648,486.00785611471,732.127795223098,25934.7876069174,26293.5421978577,26669.4830019238,"2021-07"
"52","Dynamisch",8,4363.21649409625,5442.16433233213,6572.79812828734,"2021",416.661007613227,334.05511612722,503.224410578032,26268.8427230447,26710.203205471,27172.7074125019,"2021-08"
"53","Dynamisch",9,4652.65031817629,5803.17025798276,7008.80496587401,"2021",361.005925650634,289.433824080042,436.006837586669,26558.2765471247,27071.2091311216,27608.7142500885,"2021-09"
"54","Dynamisch",10,4873.34359450258,6078.43727336935,7341.26021367889,"2021",275.267015386584,220.693276326289,332.455247804877,26778.969823451,27346.4761465082,27941.1694978934,"2021-10"
"55","Dynamisch",11,5085.59515690229,6343.17494928592,7660.99851301861,"2021",264.737675916575,212.251562399709,319.738299339719,26991.2213858507,27611.2138224248,28260.9077972331,"2021-11"
"56","Dynamisch",12,5267.69725236145,6570.30784107712,7935.3193671078,"2021",227.132891791195,182.10209545916,274.320854089194,27173.3234813098,27838.3467142159,28535.2286513223,"2021-12"
"57","Dynamisch",13,5444.9754202003,6791.4239706637,8202.37339207528,"2021",221.116129586583,177.27816783885,267.05402496748,27350.6016491487,28059.4628438025,28802.2826762898,"2021-13"
"58","Dynamisch",14,5610.19388534448,6997.49818801987,8451.26049007142,"2021",206.074217356168,165.218465144173,248.887097996141,27515.8201142929,28265.5370611587,29051.169774286,"2021-14"
"59","Dynamisch",15,5787.47212843139,7218.61432162108,8718.31455884183,"2021",221.116133601213,177.278243086915,267.054068770412,27693.0983573798,28486.6531947599,29318.2238430564,"2021-15"
"60","Dynamisch",16,5947.86675058797,7418.67177636345,8959.93487039826,"2021",200.057454742368,160.39462215658,241.620311556426,27853.4929795364,28686.7106495023,29559.8441546128,"2021-16"
"61","Dynamisch",17,6115.49724674722,7627.75437897646,9212.45525495329,"2021",209.082602613013,167.630496159248,252.520384555033,28021.1234756956,28895.7932521153,29812.3645391678,"2021-17"
"62","Dynamisch",18,6266.24405325894,7815.77830141436,9439.54189913068,"2021",188.023922437894,150.746806511726,227.086644177392,28171.8702822073,29083.8171745532,30039.4511833452,"2021-18"
