GemeenteCode,GemeenteNaam,SchoolRegio
GM0370,Beemster,noord
GM0373,Bergen (NH.),noord
GM0375,Beverwijk,noord
GM0376,Blaricum,noord
GM0377,Bloemendaal,noord
GM0383,Castricum,noord
GM0384,Diemen,noord
GM0385,Edam-Volendam,noord
GM0388,Enkhuizen,noord
GM0392,Haarlem,noord
GM0394,Haarlemmermeer,noord
GM0396,Heemskerk,noord
GM0397,Heemstede,noord
GM0398,Heerhugowaard,noord
GM0399,Heiloo,noord
GM0400,Den Helder,noord
GM0402,Hilversum,noord
GM0405,Hoorn,noord
GM0406,Huizen,noord
GM0415,Landsmeer,noord
GM0416,Langedijk,noord
GM0417,Laren,noord
GM0420,Medemblik,noord
GM0431,Oostzaan,noord
GM0432,Opmeer,noord
GM0437,Ouder-Amstel,noord
GM0439,Purmerend,noord
GM0441,Schagen,noord
GM0448,Texel,noord
GM0450,Uitgeest,noord
GM0451,Uithoorn,noord
GM0453,Velsen,noord
GM0457,Weesp,noord
GM0473,Zandvoort,noord
GM0479,Zaanstad,noord
GM0482,Alblasserdam,midden
GM0484,Alphen aan den Rijn,midden
GM0489,Barendrecht,midden
GM0498,Drechterland,noord
GM0501,Brielle,midden
GM0502,Capelle aan den IJssel,midden
GM0503,Delft,midden
GM0505,Dordrecht,midden
GM0512,Gorinchem,midden
GM0513,Gouda,midden
GM0518,'s-Gravenhage,midden
GM0523,Hardinxveld-Giessendam,midden
GM0530,Hellevoetsluis,midden
GM0531,Hendrik-Ido-Ambacht,midden
GM0532,Stede Broec,noord
GM0534,Hillegom,midden
GM0537,Katwijk,midden
GM0542,Krimpen aan den IJssel,midden
GM0546,Leiden,midden
GM0547,Leiderdorp,midden
GM0553,Lisse,midden
GM0556,Maassluis,midden
GM0569,Nieuwkoop,midden
GM0575,Noordwijk,midden
GM0579,Oegstgeest,midden
GM0589,Oudewater,midden
GM0590,Papendrecht,midden
GM0597,Ridderkerk,midden
GM0599,Rotterdam,midden
GM0603,Rijswijk,midden
GM0606,Schiedam,midden
GM0610,Sliedrecht,midden
GM0613,Albrandswaard,midden
GM0614,Westvoorne,midden
GM0622,Vlaardingen,midden
GM0626,Voorschoten,midden
GM0627,Waddinxveen,midden
GM0629,Wassenaar,midden
GM0632,Woerden,midden
GM0637,Zoetermeer,midden
GM0638,Zoeterwoude,midden
GM0642,Zwijndrecht,midden
GM0654,Borsele,zuid
GM0664,Goes,zuid
GM0668,West Maas en Waal,zuid
GM0677,Hulst,zuid
GM0678,Kapelle,zuid
GM0687,Middelburg,zuid
GM0703,Reimerswaal,zuid
GM0715,Terneuzen,zuid
GM0716,Tholen,zuid
GM0717,Veere,zuid
GM0718,Vlissingen,zuid
GM0736,De Ronde Venen,midden
GM0737,Tytsjerksteradiel,noord
GM0743,Asten,zuid
GM0744,Baarle-Nassau,zuid
GM0748,Bergen op Zoom,zuid
GM0753,Best,zuid
GM0755,Boekel,zuid
GM0756,Boxmeer,zuid
GM0757,Boxtel,zuid
GM0758,Breda,zuid
GM0762,Deurne,zuid
GM0765,Pekela,noord
GM0766,Dongen,zuid
GM0770,Eersel,zuid
GM0772,Eindhoven,zuid
GM0777,Etten-Leur,zuid
GM0779,Geertruidenberg,zuid
GM0784,Gilze en Rijen,zuid
GM0785,Goirle,zuid
GM0786,Grave,zuid
GM0788,Haaren,zuid
GM0794,Helmond,zuid
GM0796,'s-Hertogenbosch,zuid
GM0797,Heusden,zuid
GM0798,Hilvarenbeek,zuid
GM0809,Loon op Zand,zuid
GM0815,Mill en Sint Hubert,zuid
GM0820,"Nuenen, Gerwen en Nederwetten",zuid
GM0823,Oirschot,zuid
GM0824,Oisterwijk,zuid
GM0826,Oosterhout,zuid
GM0828,Oss,zuid
GM0840,Rucphen,zuid
GM0845,Sint-Michielsgestel,zuid
GM0847,Someren,zuid
GM0848,Son en Breugel,zuid
GM0851,Steenbergen,zuid
GM0852,Waterland,noord
GM0855,Tilburg,zuid
GM0856,Uden,zuid
GM0858,Valkenswaard,zuid
GM0861,Veldhoven,zuid
GM0865,Vught,zuid
GM0866,Waalre,zuid
GM0867,Waalwijk,zuid
GM0873,Woensdrecht,zuid
GM0879,Zundert,zuid
GM0880,Wormerland,noord
GM0882,Landgraaf,zuid
GM0888,Beek,zuid
GM0889,Beesel,zuid
GM0893,Bergen (L.),zuid
GM0899,Brunssum,zuid
GM0907,Gennep,zuid
GM0917,Heerlen,zuid
GM0928,Kerkrade,zuid
GM0935,Maastricht,zuid
GM0938,Meerssen,zuid
GM0944,Mook en Middelaar,zuid
GM0946,Nederweert,zuid
GM0957,Roermond,zuid
GM0965,Simpelveld,zuid
GM0971,Stein,zuid
GM0981,Vaals,zuid
GM0983,Venlo,zuid
GM0984,Venray,zuid
GM0986,Voerendaal,zuid
GM0988,Weert,zuid
GM0994,Valkenburg aan de Geul,zuid
GM0995,Lelystad,noord
GM1507,Horst aan de Maas,zuid
GM1509,Oude IJsselstreek,midden
GM1525,Teylingen,midden
GM1581,Utrechtse Heuvelrug,midden
GM1586,Oost Gelre,midden
GM1598,Koggenland,noord
GM1621,Lansingerland,midden
GM1640,Leudal,zuid
GM1641,Maasgouw,zuid
GM1652,Gemert-Bakel,zuid
GM1655,Halderberge,zuid
GM1658,Heeze-Leende,zuid
GM1659,Laarbeek,zuid
GM1667,Reusel-De Mierden,zuid
GM1669,Roerdalen,zuid
GM1674,Roosendaal,zuid
GM1676,Schouwen-Duiveland,zuid
GM1680,Aa en Hunze,noord
GM1681,Borger-Odoorn,noord
GM1684,Cuijk,zuid
GM1685,Landerd,zuid
GM1690,De Wolden,noord
GM1695,Noord-Beveland,zuid
GM1696,Wijdemeren,noord
GM1699,Noordenveld,noord
GM1700,Twenterand,noord
