name,safetyRegion,Gemeentecode,0-9,okt-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+
Loon op Zand,VR20,GM0809,2213,2602,2407,2547,2938,3689,3252,2456,1118,186
Lopik,VR09,GM0331,1496,2009,1793,1491,1869,2366,1752,1175,453,63
Loppersum,VR01,GM0024,881,1126,881,938,1175,1556,1520,1020,366,74
Losser,VR05,GM0168,2097,2745,2219,2280,2720,3484,3435,2508,1061,134
Maasdriel,VR08,GM0263,2481,2972,2725,2859,3324,4097,3349,2227,839,157
Maasgouw,VR23,GM1641,1799,2218,2251,2454,2669,4063,3972,2961,1364,214
Maassluis,VR17,GM0556,3502,3595,3575,4087,4197,4472,4291,3814,1442,238
Maastricht,VR24,GM0935,8325,11972,25902,13125,11967,16023,15448,12011,5693,1109
Medemblik,VR10,GM0420,4548,5567,4791,4797,5754,6939,6199,4629,1625,252
Meerssen,VR24,GM0938,1454,1967,1696,1693,2234,3219,2839,2377,1153,196
Meierijstad,VR21,GM1948,8039,9607,8777,9289,10140,12604,10911,7766,3510,551
Meppel,VR03,GM0119,3417,4374,3682,4058,4575,4871,4183,3168,1310,282
Middelburg (Z.),VR19,GM0687,5013,5818,5524,5477,6102,6802,6197,5071,2341,477
Midden-Delfland,VR15,GM1842,2147,2427,1996,2111,2431,3163,2462,1641,795,168
Midden-Drenthe,VR03,GM1731,2961,3919,3112,3237,4057,5450,4909,3749,1516,275
Midden-Groningen,VR01,GM1952,5666,6902,6048,6381,7983,9818,8480,6488,2568,463
Mill en Sint Hubert,VR21,GM0815,905,1279,1204,1012,1382,1887,1599,1107,482,82
Moerdijk,VR20,GM1709,3482,4260,3722,3985,4848,6127,4928,3923,1565,289
Molenlanden,VR18,GM1978,5102,6264,5235,4646,5346,6299,5166,4067,1513,271
Montferland,VR06,GM1955,3016,4043,3724,3448,4298,6250,5094,4092,1789,257
Montfoort,VR09,GM0335,1511,1917,1530,1428,1821,2126,1623,1439,457,65
Mook en Middelaar,VR23,GM0944,551,957,657,586,941,1397,1242,1016,443,57
Neder-Betuwe,VR08,GM1740,3324,3452,3245,2661,2834,3262,2683,1986,759,133
Nederweert,VR23,GM0946,1527,1752,1819,1745,2053,2822,2505,1788,878,130
Nieuwegein,VR09,GM0356,6577,6771,7609,8517,7948,8782,8757,6229,1996,276
Nieuwkoop,VR16,GM0569,2931,3299,3271,3169,3420,4653,3887,2895,1096,190
Nijkerk,VR07,GM0267,5076,5733,4589,5192,5649,6207,4860,3925,1694,246
Nijmegen,VR08,GM0268,16382,17679,38817,23578,20353,22173,19188,12873,5600,1016
Nissewaard,VR17,GM1930,8826,9181,9774,10879,10343,12693,12035,7809,3162,517
Noardeast-Fryslân,VR02,GM1970,4836,5776,4779,4766,5545,6799,5859,4524,1989,355
Noord-Beveland,VR19,GM1695,547,712,589,723,909,1241,1184,1027,370,90
Noordenveld,VR03,GM1699,2851,3552,2292,2931,3806,4884,4650,4109,1868,310
Noordoostpolder,VR25,GM0171,5640,6270,5252,6087,5838,6700,5821,3765,1621,297
Noordwijk,VR16,GM0575,4085,4789,4775,4973,5553,6621,5881,4651,1848,332
"Nuenen, Gerwen en Nederwetten",VR22,GM0820,2278,2629,2002,2331,2708,3642,3349,3008,1272,164
Nunspeet,VR06,GM0302,3341,3582,3229,3081,3211,3878,3476,2592,1214,247
Oegstgeest,VR16,GM0579,2960,3182,2170,2815,3342,3621,3064,2285,1142,259
Oirschot,VR22,GM0823,1722,2159,2029,1868,2176,3186,2755,1836,821,162
Oisterwijk,VR20,GM0824,2379,3169,2623,2476,3235,4122,3591,2966,1472,212
Oldambt,VR01,GM1895,3203,4173,3698,3736,4776,6144,5711,4508,1890,370
Oldebroek,VR06,GM0269,2819,3090,2571,2680,2840,3556,2985,2009,948,148
Oldenzaal,VR05,GM0173,3093,3993,3202,3241,4109,4632,4215,3504,1582,265
Olst-Wijhe,VR04,GM1773,1724,2245,1831,1845,2166,3152,2542,1798,787,162
Ommen,VR04,GM0175,1849,2249,1817,1876,2156,2680,2513,1936,763,170
Oost Gelre,VR06,GM1586,2703,3747,3125,3012,3368,4861,4240,2966,1365,240
Oosterhout,VR20,GM0826,5581,6182,5767,6282,7156,8621,7505,6071,2448,369
Ooststellingwerf,VR02,GM0085,2384,2860,2381,2562,3115,4065,3743,2834,1292,233
Oostzaan,VR11,GM0431,1007,1145,980,1029,1263,1633,1190,973,452,63
Opmeer,VR10,GM0432,1104,1482,1437,1265,1445,1802,1531,1213,487,70
Opsterland,VR02,GM0086,2930,3758,2979,2969,3663,4809,4117,2930,1320,258
Oss,VR21,GM0828,9029,10473,10986,10770,11799,14225,11714,8539,3738,642
Oude IJsselstreek,VR06,GM1509,3436,4701,3925,3725,4781,6499,5722,4361,1917,321
Ouder-Amstel,VR13,GM0437,1497,1755,1444,1484,1839,2164,1784,1351,580,128
Oudewater,VR09,GM0589,1134,1242,1150,1066,1301,1571,1220,1010,461,75
Overbetuwe,VR07,GM1734,5268,6316,4527,5199,6628,7474,5968,4504,1769,253
Papendrecht,VR18,GM0590,3302,3854,3452,3614,4095,4688,3836,3507,1557,231
Peel en Maas,VR23,GM1894,3846,4841,4772,4651,5203,7070,6225,4582,1952,283
Pekela,VR01,GM0765,1209,1272,1290,1276,1584,1879,1697,1367,527,95
Pijnacker-Nootdorp,VR15,GM1926,6699,8331,5465,6360,8567,8687,5304,3737,1861,297
Purmerend,VR11,GM0439,7582,9194,9679,9495,10500,12937,10261,7451,3502,648
Putten,VR06,GM0273,2638,3107,2685,2673,2861,3589,2846,2339,1182,192
Raalte,VR04,GM0177,3725,4538,4016,3809,4227,6052,5495,3760,1757,333
Reimerswaal,VR19,GM0703,3109,3128,2886,2804,2723,2945,2323,1785,849,178
Renkum,VR07,GM0274,2654,3492,2288,2626,3953,5166,4639,3989,2146,466
Renswoude,VR09,GM0339,792,745,744,666,684,701,540,434,119,19
Reusel-De Mierden,VR22,GM1667,1466,1418,1391,1639,1520,1914,2054,1186,456,68
Rheden,VR07,GM0275,3848,4734,4379,4433,5257,6568,5941,5071,2925,605
