,Municipality_code,Municipality_name,population
287,GM1681,Borger-Odoorn,25587
288,GM1684,Cuijk,25373
289,GM1685,Landerd,15838
290,GM1690,De Wolden,24374
291,GM1695,Noord-Beveland,7570
292,GM1696,Wijdemeren,24440
293,GM1699,Noordenveld,31216
294,GM1700,Twenterand,33696
295,GM1701,Westerveld,19638
296,GM1702,Sint Anthonis,11687
297,GM1705,Lingewaard,46781
298,GM1706,Cranendonck,21007
299,GM1708,Steenwijkerland,44301
300,GM1709,Moerdijk,37193
301,GM1711,Echt-Susteren,31751
302,GM1714,Sluis,23143
303,GM1719,Drimmelen,27334
304,GM1721,Bernheze,31398
305,GM1723,Alphen-Chaam,10362
306,GM1724,Bergeijk,18745
307,GM1728,Bladel,20552
308,GM1729,Gulpen-Wittem,14184
309,GM1730,Tynaarlo,33927
310,GM1731,Midden-Drenthe,33357
311,GM1734,Overbetuwe,48147
312,GM1735,Hof van Twente,35037
313,GM1740,Neder-Betuwe,24634
314,GM1742,Rijssen-Holten,38182
315,GM1771,Geldrop-Mierlo,40097
316,GM1773,Olst-Wijhe,18348
317,GM1774,Dinkelland,26616
318,GM1783,Westland,111342
319,GM1842,Midden-Delfland,19378
320,GM1859,Berkelland,43821
321,GM1876,Bronckhorst,36103
322,GM1883,Sittard-Geleen,91781
323,GM1884,Kaag en Braassem,27547
324,GM1891,Dantumadiel,18927
325,GM1892,Zuidplas,45015
326,GM1894,Peel en Maas,43695
327,GM1895,Oldambt,38281
328,GM1896,Zwartewaterland,22797
329,GM1900,Súdwest-Fryslân,89930
330,GM1901,Bodegraven-Reeuwijk,35288
331,GM1903,Eijsden-Margraten,25903
332,GM1904,Stichtse Vecht,65142
333,GM1911,Hollands Kroon,48532
334,GM1916,Leidschendam-Voorburg,76451
335,GM1924,Goeree-Overflakkee,50567
336,GM1926,Pijnacker-Nootdorp,55592
337,GM1930,Nissewaard,85302
338,GM1931,Krimpenerwaard,56559
339,GM1940,De Fryske Marren,51735
340,GM1942,Gooise Meren,58466
341,GM1945,Berg en Dal,35015
342,GM1948,Meierijstad,81653
343,GM1949,Waadhoeke,46082
344,GM1950,Westerwolde,26284
345,GM1952,Midden-Groningen,60745
346,GM1954,Beekdaelen,36073
347,GM1955,Montferland,36062
348,GM1959,Altena,56308
349,GM1960,West Betuwe,51489
350,GM1961,Vijfheerenlanden,57786
351,GM1963,Hoeksche Waard,87963
352,GM1966,Het Hogeland,47859
353,GM1969,Westerkwartier,63603
354,GM1970,Noardeast-Fryslân,45479
355,GM1978,Molenlanden,44105
