"","Municipality_name","Gemeente","Totaal","Municipality_code","population","Mondkapje_publiekeruimte","Noodverordening_percentage","Verbod_groepsvorming","Verbod_alcohol","Veilige_afstand","Mondkapje_OV","Totaal_percentage"
"123","Hardinxveld-Giessendam","Hardinxveld-Giessendam",111,"GM0523",18428,0,0.26,0.02,0.01,0,0,0.6
"124","Harlingen","Harlingen",52,"GM0072",15809,0.01,0.11,0,0,0.01,0,0.33
"125","Hattem","Hattem",47,"GM0244",12239,0,0.13,0,0,0.02,0,0.38
"126","Heemskerk","Heemskerk",124,"GM0396",39158,0,0.04,0,0,0.03,0,0.32
"127","Heemstede","Heemstede",148,"GM0397",27524,0,0.09,0.07,0.02,0.01,0,0.54
"128","Heerde","Heerde",116,"GM0246",18840,0,0.23,0.07,0,0.02,0,0.62
"129","Heerenveen","Heerenveen",146,"GM0074",50733,0,0.05,0.01,0,0.01,0,0.29
"130","Heerhugowaard","Heerhugowaard",243,"GM0398",58496,0.01,0.1,0.04,0,0.01,0,0.42
"131","Heerlen","Heerlen",524,"GM0917",86886,0.01,0.15,0.02,0,0.03,0,0.6
"132","Heeze-Leende","Heeze-Leende",56,"GM1658",16263,0,0.04,0.02,0,0.02,0,0.34
"133","Heiloo","Heiloo",90,"GM0399",24214,0,0.08,0,0,0.03,0,0.37
"134","Hellendoorn","Hellendoorn",72,"GM0163",35876,0,0.08,0,0,0,0,0.2
"135","Hellevoetsluis","Hellevoetsluis",143,"GM0530",40350,0.01,0.03,0.14,0,0.03,0,0.35
"136","Helmond","Helmond",767,"GM0794",92688,0.01,0.23,0.1,0.01,0.06,0,0.83
"137","Hendrik-Ido-Ambacht","Hendrik-Ido-Ambacht",80,"GM0531",31254,0,0.08,0,0,0.01,0,0.26
"138","Hengelo","Hengelo",438,"GM0164",81068,0,0.15,0.03,0,0.05,0,0.54
"139","Het Hogeland","Het Hogeland",128,"GM1966",47832,0,0.03,0,0,0.02,0,0.27
"140","Heumen","Heumen",65,"GM0252",16566,0.01,0.13,0.05,0,0.02,0,0.39
"141","Heusden","Heusden",146,"GM0797",45019,0,0.06,0.02,0,0,0,0.32
"142","Hillegom","Hillegom",62,"GM0534",22290,0,0.1,0,0,0.01,0,0.28
"143","Hilvarenbeek","Hilvarenbeek",39,"GM0798",15695,0.01,0.08,0,0,0.03,0,0.25
"144","Hilversum","Hilversum",554,"GM0402",91161,0.01,0.11,0.06,0,0.06,0,0.61
"145","Hoeksche Waard","Hoeksche Waard",375,"GM1963",88093,0,0.11,0.03,0.01,0.05,0,0.43
"146","Hof van Twente","Hof van Twente",100,"GM1735",35070,0,0.01,0.05,0,0,0,0.29
"147","Hollands Kroon","Hollands Kroon",149,"GM1911",48559,0,0.07,0.03,0,0.09,0,0.31
"148","Hoogeveen","Hoogeveen",206,"GM0118",55532,0,0.09,0,0,0.03,0,0.37
"149","Hoorn","Hoorn",458,"GM0405",73578,0.01,0.1,0.02,0.01,0,0,0.62
"150","Horst aan de Maas","Horst aan de Maas",65,"GM1507",42617,0,0.01,0,0,0,0,0.15
"151","Houten","Houten",226,"GM0321",50307,0,0.14,0.04,0,0.05,0,0.45
"152","Huizen","Huizen",154,"GM0406",41028,0,0.06,0.03,0,0,0,0.38
"153","Hulst","Hulst",152,"GM0677",27562,0,0.13,0,0,0.03,0,0.55
"154","IJsselstein","IJsselstein",156,"GM0353",33781,0,0.03,0.01,0,0.03,0,0.46
"155","Kaag en Braassem","Kaag en Braassem",162,"GM1884",27588,0,0.1,0.03,0,0.15,0,0.59
"156","Kampen","Kampen",291,"GM0166",54553,0,0.09,0.02,0,0.14,0,0.53
"157","Kapelle","Kapelle",68,"GM0678",12930,0.02,0.15,0,0.01,0,0,0.53
"158","Katwijk","Katwijk",258,"GM0537",65934,0,0.12,0.03,0,0.02,0,0.39
"159","Kerkrade","Kerkrade",247,"GM0928",45377,0,0.18,0.08,0,0.01,0,0.54
"160","Koggenland","Koggenland",82,"GM1598",22996,0,0.06,0.05,0,0,0,0.36
"161","Krimpen aan den IJssel","Krimpen aan den IJssel",50,"GM0542",29377,0,0.06,0,0,0.01,0,0.17
"162","Krimpenerwaard","Krimpenerwaard",173,"GM1931",56623,0,0.04,0,0.01,0.02,0,0.31
"163","Laarbeek","Laarbeek",84,"GM1659",22805,0,0.14,0.04,0,0.04,0,0.37
"164","Landerd","Landerd",63,"GM1685",15821,0,0.2,0.01,0.01,0.03,0,0.4
"165","Landgraaf","Landgraaf",103,"GM0882",37165,0,0.11,0.03,0,0.04,0,0.28
"166","Landsmeer","Landsmeer",75,"GM0415",11544,0,0.16,0.06,0.03,0.03,0,0.65
"167","Langedijk","Langedijk",113,"GM0416",28386,0,0.16,0,0,0,0,0.4
"168","Lansingerland","Lansingerland",211,"GM1621",63459,0,0.13,0.02,0,0,0,0.33
"169","Laren","Laren",60,"GM0417",11416,0,0.14,0.03,0,0.01,0,0.53
"170","Leeuwarden","Leeuwarden",925,"GM0080",124520,0,0.12,0.01,0,0.01,0,0.74
"171","Leiden","Leiden",989,"GM0546",124183,0,0.15,0.07,0.01,0.05,0,0.8
"172","Leiderdorp","Leiderdorp",27,"GM0547",27373,0,0.03,0,0,0,0,0.1
"173","Leidschendam-Voorburg","Leidschendam-Voorburg",351,"GM1916",76329,0,0.11,0.03,0,0.03,0,0.46
"174","Lelystad","Lelystad",554,"GM0995",80021,0.01,0.09,0.03,0.03,0.04,0,0.69
"175","Leudal","Leudal",91,"GM1640",36015,0,0.02,0.04,0,0.02,0,0.25
"176","Leusden","Leusden",97,"GM0327",30605,0,0.08,0.02,0.01,0.04,0,0.32
"177","Lingewaard","Lingewaard",105,"GM1705",46864,0.01,0.03,0,0,0.05,0,0.22
"178","Lisse","Lisse",69,"GM0553",22942,0,0.03,0.05,0,0,0,0.3
"179","Lochem","Lochem",68,"GM0262",34016,0,0.01,0,0,0.03,0,0.2
"180","Loon op Zand","Loon op Zand",168,"GM0809",23513,0,0.28,0.14,0,0.06,0,0.71
"181","Lopik","Lopik",33,"GM0331",14495,0,0,0,0,0,0,0.23
"182","Loppersum","Loppersum",124,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","Losser","Losser",91,"GM0168",22883,0,0.03,0,0,0.06,0,0.4
"184","Maasdriel","Maasdriel",128,"GM0263",25422,0,0.2,0,0,0.03,0,0.5
"185","Maasgouw","Maasgouw",69,"GM1641",23979,0,0.07,0.04,0.01,0,0,0.29
"186","Maassluis","Maassluis",72,"GM0556",33610,0,0.06,0.02,0,0,0,0.21
"187","Maastricht","Maastricht",955,"GM0935",120069,0.01,0.31,0.09,0.02,0.02,0,0.8
"188","Medemblik","Medemblik",101,"GM0420",45222,0,0.03,0,0,0.01,0,0.22
"189","Meerssen","Meerssen",138,"GM0938",18654,0,0.6,0.02,0,0,0,0.74
"190","Meierijstad","Meierijstad",387,"GM1948",81833,0,0.14,0.03,0,0.05,0,0.47
"191","Meppel","Meppel",208,"GM0119",34393,0,0.19,0.06,0,0.02,0,0.6
"192","Middelburg","Middelburg",202,"GM0687",49033,0.01,0.1,0.02,0,0.04,0,0.41
"193","Midden-Delfland","Midden-Delfland",78,"GM1842",19424,0,0.1,0,0,0.02,0,0.4
"194","Midden-Drenthe","Midden-Drenthe",66,"GM1731",33405,0,0.04,0,0,0,0,0.2
"195","Midden-Groningen","Midden-Groningen",195,"GM1952",60792,0,0.09,0.01,0,0,0,0.32
"196","Mill en Sint Hubert","Mill en Sint Hubert",69,"GM0815",11017,0,0.32,0.15,0,0.05,0,0.63
"197","Moerdijk","Moerdijk",233,"GM1709",37231,0.02,0.22,0.04,0,0.05,0,0.63
"198","Molenlanden","Molenlanden",275,"GM1978",44193,0,0.15,0.02,0,0.02,0,0.62
"199","Montferland","Montferland",131,"GM1955",36043,0,0.04,0.08,0,0.04,0,0.36
"200","Montfoort","Montfoort",107,"GM0335",13906,0,0.14,0.01,0,0.07,0,0.77
"201","Mook en Middelaar","Mook en Middelaar",30,"GM0944",7933,0,0.25,0.03,0,0,0,0.38
"202","Neder-Betuwe","Neder-Betuwe",183,"GM1740",24672,0,0.22,0,0,0.02,0.01,0.74
"203","Nederweert","Nederweert",58,"GM0946",17179,0,0.09,0.02,0,0.03,0,0.34
"204","Nieuwegein","Nieuwegein",661,"GM0356",63958,0,0.15,0.11,0,0.15,0,1.03
"205","Nieuwkoop","Nieuwkoop",88,"GM0569",29185,0,0.01,0.05,0,0.03,0,0.3
"206","Nijkerk","Nijkerk",143,"GM0267",43662,0,0.05,0.02,0,0.02,0,0.33
"207","Nijmegen","Nijmegen",1538,"GM0268",177461,0,0.36,0.06,0,0.04,0,0.87
"208","Nissewaard","Nissewaard",374,"GM1930",85488,0,0.07,0.05,0,0.02,0,0.44
"209","Noardeast-Fryslân","Noardeast-FryslÃ¢n",183,"GM1970",45503,0,0.17,0.03,0,0.02,0,0.4
"210","Noord-Beveland","Noord-Beveland",7,"GM1695",7564,0,0.04,0,0,0,0,0.09
"211","Noordenveld","Noordenveld",60,"GM1699",31202,0,0.07,0,0,0,0,0.19
"212","Noordoostpolder","Noordoostpolder",221,"GM0171",47631,0,0.01,0.07,0,0.02,0,0.46
"213","Noordwijk","Noordwijk",150,"GM0575",44091,0,0.09,0.01,0.01,0.02,0,0.34
"214","Nuenen, Gerwen en Nederwetten","Nuenen, Gerwen en Nederwetten",157,"GM0820",23682,0,0.14,0.19,0,0.1,0,0.66
"215","Nunspeet","Nunspeet",110,"GM0302",28028,0.01,0.09,0.03,0,0.04,0,0.39
"216","Oegstgeest","Oegstgeest",36,"GM0579",25089,0,0.02,0,0.01,0,0,0.14
"217","Oirschot","Oirschot",89,"GM0823",18855,0.02,0.04,0.02,0,0.03,0,0.47
"218","Oisterwijk","Oisterwijk",102,"GM0824",32409,0,0.01,0.01,0,0.01,0,0.31
