"","statcode","statnaam"
"197","GM0756","Boxmeer"
"198","GM0703","Reimerswaal"
"199","GM0715","Terneuzen"
"200","GM0848","Son en Breugel"
"201","GM0716","Tholen"
"202","GM0717","Veere"
"203","GM0718","Vlissingen"
"204","GM0736","De Ronde Venen"
"205","GM0737","Tytsjerksteradiel"
"206","GM0743","Asten"
"207","GM0744","Baarle-Nassau"
"208","GM0748","Bergen op Zoom"
"209","GM0753","Best"
"210","GM0755","Boekel"
"211","GM0757","Boxtel"
"212","GM0758","Breda"
"213","GM0762","Deurne"
"214","GM0765","Pekela"
"215","GM0766","Dongen"
"216","GM0770","Eersel"
"217","GM0772","Eindhoven"
"218","GM0777","Etten-Leur"
"219","GM0779","Geertruidenberg"
"220","GM0784","Gilze en Rijen"
"221","GM0785","Goirle"
"222","GM0786","Grave"
"223","GM0788","Haaren"
"224","GM0794","Helmond"
"225","GM0796","'s-Hertogenbosch"
"226","GM0797","Heusden"
"227","GM0798","Hilvarenbeek"
"228","GM0809","Loon op Zand"
"229","GM0815","Mill en Sint Hubert"
"230","GM0820","Nuenen, Gerwen en Nederwetten"
"231","GM0823","Oirschot"
"232","GM0824","Oisterwijk"
"233","GM0826","Oosterhout"
"234","GM0828","Oss"
"235","GM0840","Rucphen"
"236","GM0845","Sint-Michielsgestel"
"237","GM0847","Someren"
"238","GM0852","Waterland"
"239","GM0855","Tilburg"
"240","GM0856","Uden"
"241","GM0965","Simpelveld"
"242","GM0858","Valkenswaard"
"243","GM0861","Veldhoven"
"244","GM0865","Vught"
"245","GM0866","Waalre"
"246","GM0867","Waalwijk"
"247","GM0873","Woensdrecht"
"248","GM0879","Zundert"
"249","GM0880","Wormerland"
"250","GM0882","Landgraaf"
"251","GM0888","Beek"
"252","GM0889","Beesel"
"253","GM0893","Bergen (L.)"
"254","GM0899","Brunssum"
"255","GM0907","Gennep"
"256","GM0917","Heerlen"
"257","GM0928","Kerkrade"
"258","GM0935","Maastricht"
"259","GM0938","Meerssen"
"260","GM0944","Mook en Middelaar"
"261","GM0946","Nederweert"
"262","GM0957","Roermond"
"263","GM0971","Stein"
"264","GM0981","Vaals"
"265","GM0983","Venlo"
"266","GM0984","Venray"
"267","GM1667","Reusel-De Mierden"
"268","GM0988","Weert"
"269","GM0994","Valkenburg aan de Geul"
"270","GM0995","Lelystad"
"271","GM1658","Heeze-Leende"
"272","GM1507","Horst aan de Maas"
"273","GM1509","Oude IJsselstreek"
"274","GM1525","Teylingen"
"275","GM1581","Utrechtse Heuvelrug"
"276","GM1586","Oost Gelre"
"277","GM1598","Koggenland"
"278","GM1621","Lansingerland"
"279","GM1640","Leudal"
"280","GM1641","Maasgouw"
"281","GM1652","Gemert-Bakel"
"282","GM1655","Halderberge"
"283","GM1669","Roerdalen"
"284","GM1674","Roosendaal"
"285","GM1680","Aa en Hunze"
"286","GM1681","Borger-Odoorn"
"287","GM1676","Schouwen-Duiveland"
"288","GM1684","Cuijk"
"289","GM1685","Landerd"
"290","GM1690","De Wolden"
"291","GM1705","Lingewaard"
"292","GM1695","Noord-Beveland"
"293","GM1696","Wijdemeren"
"294","GM1699","Noordenveld"
"295","GM1700","Twenterand"
"296","GM1701","Westerveld"
"297","GM1702","Sint Anthonis"
"298","GM1706","Cranendonck"
"299","GM1708","Steenwijkerland"
"300","GM1714","Sluis"
"301","GM1709","Moerdijk"
"302","GM1711","Echt-Susteren"
"303","GM1728","Bladel"
"304","GM1719","Drimmelen"
"305","GM1721","Bernheze"
"306","GM1723","Alphen-Chaam"
"307","GM1724","Bergeijk"
"308","GM1729","Gulpen-Wittem"
"309","GM1730","Tynaarlo"
"310","GM1883","Sittard-Geleen"
"311","GM1731","Midden-Drenthe"
"312","GM1734","Overbetuwe"
"313","GM1735","Hof van Twente"
"314","GM1740","Neder-Betuwe"
"315","GM1742","Rijssen-Holten"
"316","GM1771","Geldrop-Mierlo"
"317","GM1773","Olst-Wijhe"
"318","GM1774","Dinkelland"
"319","GM1783","Westland"
"320","GM1842","Midden-Delfland"
"321","GM1859","Berkelland"
"322","GM1876","Bronckhorst"
"323","GM1884","Kaag en Braassem"
"324","GM1891","Dantumadiel"
"325","GM1892","Zuidplas"
"326","GM1894","Peel en Maas"
"327","GM1895","Oldambt"
"328","GM1896","Zwartewaterland"
"329","GM1900","Súdwest-Fryslân"
"330","GM1901","Bodegraven-Reeuwijk"
"331","GM1903","Eijsden-Margraten"
"332","GM1904","Stichtse Vecht"
"333","GM1930","Nissewaard"
"334","GM1911","Hollands Kroon"
"335","GM1916","Leidschendam-Voorburg"
"336","GM1931","Krimpenerwaard"
"337","GM1924","Goeree-Overflakkee"
"338","GM1926","Pijnacker-Nootdorp"
"339","GM1940","De Fryske Marren"
"340","GM1942","Gooise Meren"
"341","GM1945","Berg en Dal"
"342","GM1948","Meierijstad"
"343","GM1949","Waadhoeke"
"344","GM1950","Westerwolde"
"345","GM1952","Midden-Groningen"
"346","GM1954","Beekdaelen"
"347","GM1955","Montferland"
"348","GM1959","Altena"
"349","GM1960","West Betuwe"
"350","GM1961","Vijfheerenlanden"
"351","GM1963","Hoeksche Waard"
"352","GM1966","Het Hogeland"
"353","GM1969","Westerkwartier"
"354","GM1978","Molenlanden"
"355","GM1970","Noardeast-Fryslân"
