Version,Date_of_report,Date_of_statistics_week_start,Variant_code,Variant_name,ECDC_category,Sample_size,Variant_cases
1,2021-06-29T11:14:39Z,2021-04-12,B.1.617.1,Kappa,VOI,1649,1
1,2021-06-29T11:14:39Z,2021-04-12,B.1.620,"",VOI,1649,0
1,2021-06-29T11:14:39Z,2021-04-12,B.1.621,"",VOI,1649,1
1,2021-06-29T11:14:39Z,2021-04-19,B.1.1.7,Alpha,VOC,1543,1484
1,2021-06-29T11:14:39Z,2021-04-19,B.1.1.7+S:E484K,"",VOC,1543,7
1,2021-06-29T11:14:39Z,2021-04-19,B.1.351,Beta,VOC,1543,18
1,2021-06-29T11:14:39Z,2021-04-19,P.1,Gamma,VOC,1543,27
1,2021-06-29T11:14:39Z,2021-04-19,B.1.617.2,Delta,VOC,1543,1
1,2021-06-29T11:14:39Z,2021-04-19,B.1.525,Eta,VOI,1543,4
1,2021-06-29T11:14:39Z,2021-04-19,B.1.427/B.1.429,Epsilon,VOI,1543,0
1,2021-06-29T11:14:39Z,2021-04-19,P.3,Theta,VOI,1543,0
1,2021-06-29T11:14:39Z,2021-04-19,B.1.616,"",VOI,1543,0
1,2021-06-29T11:14:39Z,2021-04-19,B.1.617.1,Kappa,VOI,1543,0
1,2021-06-29T11:14:39Z,2021-04-19,B.1.620,"",VOI,1543,0
1,2021-06-29T11:14:39Z,2021-04-19,B.1.621,"",VOI,1543,2
1,2021-06-29T11:14:39Z,2021-04-26,B.1.1.7,Alpha,VOC,1723,1674
1,2021-06-29T11:14:39Z,2021-04-26,B.1.1.7+S:E484K,"",VOC,1723,4
1,2021-06-29T11:14:39Z,2021-04-26,B.1.351,Beta,VOC,1723,8
1,2021-06-29T11:14:39Z,2021-04-26,P.1,Gamma,VOC,1723,27
1,2021-06-29T11:14:39Z,2021-04-26,B.1.617.2,Delta,VOC,1723,5
1,2021-06-29T11:14:39Z,2021-04-26,B.1.525,Eta,VOI,1723,1
1,2021-06-29T11:14:39Z,2021-04-26,B.1.427/B.1.429,Epsilon,VOI,1723,0
1,2021-06-29T11:14:39Z,2021-04-26,P.3,Theta,VOI,1723,0
1,2021-06-29T11:14:39Z,2021-04-26,B.1.616,"",VOI,1723,0
1,2021-06-29T11:14:39Z,2021-04-26,B.1.617.1,Kappa,VOI,1723,0
1,2021-06-29T11:14:39Z,2021-04-26,B.1.620,"",VOI,1723,0
1,2021-06-29T11:14:39Z,2021-04-26,B.1.621,"",VOI,1723,1
1,2021-06-29T11:14:39Z,2021-05-03,B.1.1.7,Alpha,VOC,1665,1611
1,2021-06-29T11:14:39Z,2021-05-03,B.1.1.7+S:E484K,"",VOC,1665,2
1,2021-06-29T11:14:39Z,2021-05-03,B.1.351,Beta,VOC,1665,12
1,2021-06-29T11:14:39Z,2021-05-03,P.1,Gamma,VOC,1665,35
1,2021-06-29T11:14:39Z,2021-05-03,B.1.617.2,Delta,VOC,1665,1
1,2021-06-29T11:14:39Z,2021-05-03,B.1.525,Eta,VOI,1665,0
1,2021-06-29T11:14:39Z,2021-05-03,B.1.427/B.1.429,Epsilon,VOI,1665,0
1,2021-06-29T11:14:39Z,2021-05-03,P.3,Theta,VOI,1665,0
1,2021-06-29T11:14:39Z,2021-05-03,B.1.616,"",VOI,1665,0
1,2021-06-29T11:14:39Z,2021-05-03,B.1.617.1,Kappa,VOI,1665,0
1,2021-06-29T11:14:39Z,2021-05-03,B.1.620,"",VOI,1665,1
1,2021-06-29T11:14:39Z,2021-05-03,B.1.621,"",VOI,1665,3
1,2021-06-29T11:14:39Z,2021-05-10,B.1.1.7,Alpha,VOC,1635,1579
1,2021-06-29T11:14:39Z,2021-05-10,B.1.1.7+S:E484K,"",VOC,1635,4
1,2021-06-29T11:14:39Z,2021-05-10,B.1.351,Beta,VOC,1635,7
1,2021-06-29T11:14:39Z,2021-05-10,P.1,Gamma,VOC,1635,31
1,2021-06-29T11:14:39Z,2021-05-10,B.1.617.2,Delta,VOC,1635,10
1,2021-06-29T11:14:39Z,2021-05-10,B.1.525,Eta,VOI,1635,1
1,2021-06-29T11:14:39Z,2021-05-10,B.1.427/B.1.429,Epsilon,VOI,1635,0
1,2021-06-29T11:14:39Z,2021-05-10,P.3,Theta,VOI,1635,0
1,2021-06-29T11:14:39Z,2021-05-10,B.1.616,"",VOI,1635,0
1,2021-06-29T11:14:39Z,2021-05-10,B.1.617.1,Kappa,VOI,1635,0
1,2021-06-29T11:14:39Z,2021-05-10,B.1.620,"",VOI,1635,0
1,2021-06-29T11:14:39Z,2021-05-10,B.1.621,"",VOI,1635,3
1,2021-06-29T11:14:39Z,2021-05-17,B.1.1.7,Alpha,VOC,1361,1308
1,2021-06-29T11:14:39Z,2021-05-17,B.1.1.7+S:E484K,"",VOC,1361,6
1,2021-06-29T11:14:39Z,2021-05-17,B.1.351,Beta,VOC,1361,3
1,2021-06-29T11:14:39Z,2021-05-17,P.1,Gamma,VOC,1361,33
1,2021-06-29T11:14:39Z,2021-05-17,B.1.617.2,Delta,VOC,1361,8
1,2021-06-29T11:14:39Z,2021-05-17,B.1.525,Eta,VOI,1361,0
1,2021-06-29T11:14:39Z,2021-05-17,B.1.427/B.1.429,Epsilon,VOI,1361,0
1,2021-06-29T11:14:39Z,2021-05-17,P.3,Theta,VOI,1361,0
1,2021-06-29T11:14:39Z,2021-05-17,B.1.616,"",VOI,1361,0
1,2021-06-29T11:14:39Z,2021-05-17,B.1.617.1,Kappa,VOI,1361,0
1,2021-06-29T11:14:39Z,2021-05-17,B.1.620,"",VOI,1361,0
1,2021-06-29T11:14:39Z,2021-05-17,B.1.621,"",VOI,1361,5
1,2021-06-29T11:14:39Z,2021-05-24,B.1.1.7,Alpha,VOC,1269,1223
1,2021-06-29T11:14:39Z,2021-05-24,B.1.1.7+S:E484K,"",VOC,1269,3
1,2021-06-29T11:14:39Z,2021-05-24,B.1.351,Beta,VOC,1269,3
1,2021-06-29T11:14:39Z,2021-05-24,P.1,Gamma,VOC,1269,16
1,2021-06-29T11:14:39Z,2021-05-24,B.1.617.2,Delta,VOC,1269,18
